"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"10274.025000000001","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","10282","0.0-0.0","0dd6057w","","","","","","","",""
"34176.795","","","instructions","1","44460","0.0-1.0","0dd6057w","[{""page_index"":0,""viewing_time"":34176.615000000005}]","","","","","","",""
"9415.75","","","instructions","2","53877","0.0-2.0","0dd6057w","[{""page_index"":0,""viewing_time"":1935.5550000000003},{""page_index"":1,""viewing_time"":4637.959999999999},{""page_index"":2,""viewing_time"":2842.105000000003}]","","","","","","",""
"1543.4550000000017","","","instructions","3","55421","0.0-3.0","0dd6057w","[{""page_index"":0,""viewing_time"":1543.3350000000064}]","","","","","","",""
"null","","","video-keyboard-response","4","58493","0.0-4.0","0dd6057w","","","null","","","","",""
"17950.274999999994","","","instructions","5","76444","0.0-5.0","0dd6057w","[{""page_index"":0,""viewing_time"":9540.160000000003},{""page_index"":1,""viewing_time"":1079.929999999993},{""page_index"":2,""viewing_time"":558.4349999999977},{""page_index"":3,""viewing_time"":3226.5800000000017},{""page_index"":4,""viewing_time"":3545.0350000000035}]","","","","","","",""
"3502.3650000000052","","","instructions","6","79947","0.0-6.0","0dd6057w","[{""page_index"":0,""viewing_time"":3502.2350000000006}]","","","","","","",""
"","","","call-function","7","79948","0.0-7.0","0dd6057w","","","","","","","",""
"null","","","html-keyboard-response","8","81453","0.0-8.0","0dd6057w","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","84532","0.0-9.0","0dd6057w","","","null","","Agent A","veridical","STIM_SET_1/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","86035","0.0-10.0","0dd6057w","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","89116","0.0-11.0","0dd6057w","","","null","","Agent B","scrambled","STIM_SET_1/498155.bmp_pp61_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","12","89117","0.0-12.0","0dd6057w","","","","","","","",""
"2545.5250000000087","{""judgement"":0}","[0]","survey-likert","13","91664","0.0-13.0","0dd6057w","","","","","","","","0"
"1866.2599999999948","{""confidence"":2}","[0]","survey-likert","14","93531","0.0-14.0","0dd6057w","","","","","","","",""
"","","","call-function","15","93532","0.0-15.0","0dd6057w","","","","","","","",""
"null","","","html-keyboard-response","16","95035","0.0-16.0","0dd6057w","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","98108","0.0-17.0","0dd6057w","","","null","","Agent A","veridical","STIM_SET_1/1592581.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse.mp4",""
