"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"5570.254999999999","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","5583","0.0-0.0","0nfu026v","","","","","","","",""
"14221.899999999998","","","instructions","1","19807","0.0-1.0","0nfu026v","[{""page_index"":0,""viewing_time"":14221.34}]","","","","","","",""
"8118.435000000001","","","instructions","2","27927","0.0-2.0","0nfu026v","[{""page_index"":0,""viewing_time"":4779.560000000001},{""page_index"":1,""viewing_time"":819.7649999999994},{""page_index"":2,""viewing_time"":2518.9900000000016}]","","","","","","",""
"2187.665000000001","","","instructions","3","30116","0.0-3.0","0nfu026v","[{""page_index"":0,""viewing_time"":2187.5600000000013}]","","","","","","",""
"null","","","video-keyboard-response","4","33192","0.0-4.0","0nfu026v","","","null","","","","",""
"6727.3499999999985","","","instructions","5","39920","0.0-5.0","0nfu026v","[{""page_index"":0,""viewing_time"":3487.260000000002},{""page_index"":1,""viewing_time"":1920.989999999998},{""page_index"":2,""viewing_time"":1318.9850000000006}]","","","","","","",""
"1311.5199999999968","","","instructions","6","41232","0.0-6.0","0nfu026v","[{""page_index"":0,""viewing_time"":1311.4150000000009}]","","","","","","",""
"767.9249999999956","","","instructions","7","42001","0.0-7.0","0nfu026v","[{""page_index"":0,""viewing_time"":767.7149999999965}]","","","","","","",""
"null","","","video-keyboard-response","8","45075","0.0-8.0","0nfu026v","","","null","","","","",""
"3724.230000000003","","","instructions","9","48800","0.0-9.0","0nfu026v","[{""page_index"":0,""viewing_time"":733.6050000000032},{""page_index"":1,""viewing_time"":1080.5449999999983},{""page_index"":2,""viewing_time"":1909.9449999999997}]","","","","","","",""
"1684.1200000000026","","","instructions","10","50485","0.0-10.0","0nfu026v","[{""page_index"":0,""viewing_time"":1684}]","","","","","","",""
"","","","call-function","11","50486","0.0-11.0","0nfu026v","","","","","","","",""
"null","","","html-keyboard-response","12","51988","0.0-12.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","55059","0.0-13.0","0nfu026v","","","null","","Agent A","scrambled","STIM_SET_5/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","14","56566","0.0-14.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","59636","0.0-15.0","0nfu026v","","","null","","Agent B","veridical","STIM_SET_2_144/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","59636","0.0-16.0","0nfu026v","","","","","","","",""
"3447.875","{""judgement"":1}","[0]","survey-likert","17","63085","0.0-17.0","0nfu026v","","","","","","","","1"
"1561.5049999999974","{""confidence"":1}","[0]","survey-likert","18","64648","0.0-18.0","0nfu026v","","","","","","","",""
"","","","call-function","19","64649","0.0-19.0","0nfu026v","","","","","","","",""
"null","","","html-keyboard-response","20","66152","0.0-20.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","69238","0.0-21.0","0nfu026v","","","null","","Agent A","scrambled","STIM_SET_5/713689.bmp_pp153_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","22","70741","0.0-22.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","73822","0.0-23.0","0nfu026v","","","null","","Agent B","veridical","STIM_SET_2_144/713689.bmp_pp153_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","24","73823","0.0-24.0","0nfu026v","","","","","","","",""
"2172.3600000000006","{""judgement"":0}","[0]","survey-likert","25","75996","0.0-25.0","0nfu026v","","","","","","","","1"
"2209.7100000000064","{""confidence"":0}","[0]","survey-likert","26","78208","0.0-26.0","0nfu026v","","","","","","","",""
"","","","call-function","27","78208","0.0-27.0","0nfu026v","","","","","","","",""
"null","","","html-keyboard-response","28","79710","0.0-28.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","82787","0.0-29.0","0nfu026v","","","null","","Agent A","veridical","STIM_SET_2_144/1592150.bmp_pp77_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","30","84292","0.0-30.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","87365","0.0-31.0","0nfu026v","","","null","","Agent B","scrambled","STIM_SET_5/1592150.bmp_pp77_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","32","87366","0.0-32.0","0nfu026v","","","","","","","",""
"3435.125","{""judgement"":1}","[0]","survey-likert","33","90802","0.0-33.0","0nfu026v","","","","","","","","0"
"2261.0399999999936","{""confidence"":0}","[0]","survey-likert","34","93065","0.0-34.0","0nfu026v","","","","","","","",""
"","","","call-function","35","93066","0.0-35.0","0nfu026v","","","","","","","",""
"null","","","html-keyboard-response","36","94568","0.0-36.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","97636","0.0-37.0","0nfu026v","","","null","","Agent A","veridical","STIM_SET_2_144/1592305.bmp_pp65_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","38","99141","0.0-38.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","102225","0.0-39.0","0nfu026v","","","null","","Agent B","scrambled","STIM_SET_5/1592305.bmp_pp65_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","40","102226","0.0-40.0","0nfu026v","","","","","","","",""
"2947.6399999999994","{""judgement"":0}","[0]","survey-likert","41","105175","0.0-41.0","0nfu026v","","","","","","","","0"
"1639.2050000000017","{""confidence"":0}","[0]","survey-likert","42","106816","0.0-42.0","0nfu026v","","","","","","","",""
"","","","call-function","43","106817","0.0-43.0","0nfu026v","","","","","","","",""
"null","","","html-keyboard-response","44","108321","0.0-44.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","111389","0.0-45.0","0nfu026v","","","null","","Agent A","scrambled","STIM_SET_5/1592921.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","46","112891","0.0-46.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","115959","0.0-47.0","0nfu026v","","","null","","Agent B","veridical","STIM_SET_2_144/1592921.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","48","115960","0.0-48.0","0nfu026v","","","","","","","",""
"1820.6600000000035","{""judgement"":0}","[0]","survey-likert","49","117782","0.0-49.0","0nfu026v","","","","","","","","1"
"924.0699999999924","{""confidence"":1}","[0]","survey-likert","50","118708","0.0-50.0","0nfu026v","","","","","","","",""
"","","","call-function","51","118709","0.0-51.0","0nfu026v","","","","","","","",""
"null","","","html-keyboard-response","52","120210","0.0-52.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","53","123279","0.0-53.0","0nfu026v","","","null","","Agent A","scrambled","STIM_SET_5/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","54","124784","0.0-54.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","55","127871","0.0-55.0","0nfu026v","","","null","","Agent B","veridical","STIM_SET_2_144/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","56","127872","0.0-56.0","0nfu026v","","","","","","","",""
"3738.5949999999866","{""judgement"":1}","[0]","survey-likert","57","131611","0.0-57.0","0nfu026v","","","","","","","","1"
"1586.8699999999953","{""confidence"":1}","[0]","survey-likert","58","133200","0.0-58.0","0nfu026v","","","","","","","",""
"","","","call-function","59","133200","0.0-59.0","0nfu026v","","","","","","","",""
"null","","","html-keyboard-response","60","134703","0.0-60.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","61","137788","0.0-61.0","0nfu026v","","","null","","Agent A","scrambled","STIM_SET_5/713274.bmp_pp73_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","62","139292","0.0-62.0","0nfu026v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
