"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"26919.670000000002","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","26928","0.0-0.0","0zutxzx2","","","","","","","",""
"16714.195","","","instructions","1","43644","0.0-1.0","0zutxzx2","[{""page_index"":0,""viewing_time"":16714.04}]","","","","","","",""
"7442.9000000000015","","","instructions","2","51088","0.0-2.0","0zutxzx2","[{""page_index"":0,""viewing_time"":5340.1500000000015},{""page_index"":1,""viewing_time"":67.98500000000058},{""page_index"":2,""viewing_time"":2034.635000000002}]","","","","","","",""
"1055.5950000000012","","","instructions","3","52144","0.0-3.0","0zutxzx2","[{""page_index"":0,""viewing_time"":1055.4850000000006}]","","","","","","",""
"null","","","video-keyboard-response","4","55221","0.0-4.0","0zutxzx2","","","null","","","","",""
"4631.220000000001","","","instructions","5","59853","0.0-5.0","0zutxzx2","[{""page_index"":0,""viewing_time"":1176.4449999999997},{""page_index"":1,""viewing_time"":801.9099999999962},{""page_index"":2,""viewing_time"":2652.7550000000047}]","","","","","","",""
"2995.769999999997","","","instructions","6","62849","0.0-6.0","0zutxzx2","[{""page_index"":0,""viewing_time"":2995.665000000001}]","","","","","","",""
"1167.3899999999994","","","instructions","7","64017","0.0-7.0","0zutxzx2","[{""page_index"":0,""viewing_time"":1167.1749999999956}]","","","","","","",""
"null","","","video-keyboard-response","8","67094","0.0-8.0","0zutxzx2","","","null","","","","",""
"4620.62999999999","","","instructions","9","71715","0.0-9.0","0zutxzx2","[{""page_index"":0,""viewing_time"":1099.2649999999994},{""page_index"":1,""viewing_time"":1450.8999999999942},{""page_index"":2,""viewing_time"":2070.3099999999977}]","","","","","","",""
"1605.0699999999924","","","instructions","10","73321","0.0-10.0","0zutxzx2","[{""page_index"":0,""viewing_time"":1604.949999999997}]","","","","","","",""
"","","","call-function","11","73322","0.0-11.0","0zutxzx2","","","","","","","",""
"null","","","html-keyboard-response","12","74827","0.0-12.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","77670","0.0-13.0","0zutxzx2","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/498396.bmp_pp99_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","14","79176","0.0-14.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","82017","0.0-15.0","0zutxzx2","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/498396.bmp_pp99_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","82017","0.0-16.0","0zutxzx2","","","","","","","",""
"1775.9800000000105","{""judgement"":0}","[0]","survey-likert","17","83794","0.0-17.0","0zutxzx2","","","","","","","","1"
"1199.75499999999","{""confidence"":2}","[0]","survey-likert","18","84996","0.0-18.0","0zutxzx2","","","","","","","",""
"","","","call-function","19","84996","0.0-19.0","0zutxzx2","","","","","","","",""
"null","","","html-keyboard-response","20","86498","0.0-20.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","89336","0.0-21.0","0zutxzx2","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/107955.bmp_pp90_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","22","90839","0.0-22.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","93675","0.0-23.0","0zutxzx2","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/107955.bmp_pp90_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","24","93675","0.0-24.0","0zutxzx2","","","","","","","",""
"1730.7149999999965","{""judgement"":0}","[0]","survey-likert","25","95407","0.0-25.0","0zutxzx2","","","","","","","","0"
"1089.1199999999953","{""confidence"":1}","[0]","survey-likert","26","96498","0.0-26.0","0zutxzx2","","","","","","","",""
"","","","call-function","27","96498","0.0-27.0","0zutxzx2","","","","","","","",""
"null","","","html-keyboard-response","28","98000","0.0-28.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","100856","0.0-29.0","0zutxzx2","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/498326.bmp_pp57_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","30","102358","0.0-30.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","105211","0.0-31.0","0zutxzx2","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/498326.bmp_pp57_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","32","105211","0.0-32.0","0zutxzx2","","","","","","","",""
"1219.4100000000035","{""judgement"":0}","[0]","survey-likert","33","106432","0.0-33.0","0zutxzx2","","","","","","","","1"
"1280.4700000000012","{""confidence"":2}","[0]","survey-likert","34","107713","0.0-34.0","0zutxzx2","","","","","","","",""
"","","","call-function","35","107714","0.0-35.0","0zutxzx2","","","","","","","",""
"null","","","html-keyboard-response","36","109216","0.0-36.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","111654","0.0-37.0","0zutxzx2","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592951.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","38","113159","0.0-38.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","115590","0.0-39.0","0zutxzx2","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1592951.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","40","115591","0.0-40.0","0zutxzx2","","","","","","","",""
"1297.9800000000105","{""judgement"":1}","[0]","survey-likert","41","116889","0.0-41.0","0zutxzx2","","","","","","","","1"
"1443.5299999999988","{""confidence"":2}","[0]","survey-likert","42","118334","0.0-42.0","0zutxzx2","","","","","","","",""
"","","","call-function","43","118335","0.0-43.0","0zutxzx2","","","","","","","",""
"null","","","html-keyboard-response","44","119836","0.0-44.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","122614","0.0-45.0","0zutxzx2","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","46","124118","0.0-46.0","0zutxzx2","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","127015","0.0-47.0","0zutxzx2","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","48","127016","0.0-48.0","0zutxzx2","","","","","","","",""
"1316.375","{""judgement"":0}","[0]","survey-likert","49","128334","0.0-49.0","0zutxzx2","","","","","","","","0"
"934.9799999999959","{""confidence"":2}","[0]","survey-likert","50","129270","0.0-50.0","0zutxzx2","","","","","","","",""
"","","","call-function","51","129271","0.0-51.0","0zutxzx2","","","","","","","",""
