"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"13256.470000000001","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","13265","0.0-0.0","125dgcdr","","","","","","","",""
"11316.019999999999","","","instructions","1","24583","0.0-1.0","125dgcdr","[{""page_index"":0,""viewing_time"":11315.47}]","","","","","","",""
"10435.899999999998","","","instructions","2","35020","0.0-2.0","125dgcdr","[{""page_index"":0,""viewing_time"":4619.759999999998},{""page_index"":1,""viewing_time"":1399.9300000000003},{""page_index"":2,""viewing_time"":4416.080000000002}]","","","","","","",""
"1319.9599999999991","","","instructions","3","36341","0.0-3.0","125dgcdr","[{""page_index"":0,""viewing_time"":1319.854999999996}]","","","","","","",""
"null","","","video-keyboard-response","4","39417","0.0-4.0","125dgcdr","","","null","","","","",""
"12497.055","","","instructions","5","51915","0.0-5.0","125dgcdr","[{""page_index"":0,""viewing_time"":5513.875},{""page_index"":1,""viewing_time"":2045.1299999999974},{""page_index"":2,""viewing_time"":4937.945}]","","","","","","",""
"2755.510000000002","","","instructions","6","54671","0.0-6.0","125dgcdr","[{""page_index"":0,""viewing_time"":2755.404999999999}]","","","","","","",""
"1347.5650000000023","","","instructions","7","56019","0.0-7.0","125dgcdr","[{""page_index"":0,""viewing_time"":1347.3399999999965}]","","","","","","",""
"null","","","video-keyboard-response","8","59092","0.0-8.0","125dgcdr","","","null","","","","",""
"9174.399999999994","","","instructions","9","68267","0.0-9.0","125dgcdr","[{""page_index"":0,""viewing_time"":1591.449999999997},{""page_index"":1,""viewing_time"":2308.905000000006},{""page_index"":2,""viewing_time"":5273.909999999996}]","","","","","","",""
"3052.5050000000047","","","instructions","10","71320","0.0-10.0","125dgcdr","[{""page_index"":0,""viewing_time"":3052.3899999999994}]","","","","","","",""
"","","","call-function","11","71321","0.0-11.0","125dgcdr","","","","","","","",""
"null","","","html-keyboard-response","12","72826","0.0-12.0","125dgcdr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","75901","0.0-13.0","125dgcdr","","","null","","Agent A","scrambled","STIM_SET_2/713920.bmp_pp76_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","77405","0.0-14.0","125dgcdr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","80480","0.0-15.0","125dgcdr","","","null","","Agent B","veridical","STIM_SET_2/713920.bmp_pp76_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","80481","0.0-16.0","125dgcdr","","","","","","","",""
"1338.8150000000023","{""judgement"":1}","[0]","survey-likert","17","81821","0.0-17.0","125dgcdr","","","","","","","","1"
"1428.4700000000012","{""confidence"":1}","[0]","survey-likert","18","83250","0.0-18.0","125dgcdr","","","","","","","",""
"","","","call-function","19","83251","0.0-19.0","125dgcdr","","","","","","","",""
"null","","","html-keyboard-response","20","84756","0.0-20.0","125dgcdr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","87845","0.0-21.0","125dgcdr","","","null","","Agent A","scrambled","STIM_SET_2/498025.bmp_pp81_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","89349","0.0-22.0","125dgcdr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","92437","0.0-23.0","125dgcdr","","","null","","Agent B","veridical","STIM_SET_2/498025.bmp_pp81_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","24","92437","0.0-24.0","125dgcdr","","","","","","","",""
"1741.5950000000012","{""judgement"":1}","[0]","survey-likert","25","94179","0.0-25.0","125dgcdr","","","","","","","","1"
"1794.824999999997","{""confidence"":2}","[0]","survey-likert","26","95975","0.0-26.0","125dgcdr","","","","","","","",""
"","","","call-function","27","95976","0.0-27.0","125dgcdr","","","","","","","",""
"null","","","html-keyboard-response","28","97478","0.0-28.0","125dgcdr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","100581","0.0-29.0","125dgcdr","","","null","","Agent A","scrambled","STIM_SET_2/1592350.bmp_pp55_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","102083","0.0-30.0","125dgcdr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","105156","0.0-31.0","125dgcdr","","","null","","Agent B","veridical","STIM_SET_2/1592350.bmp_pp55_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","32","105156","0.0-32.0","125dgcdr","","","","","","","",""
"1412.104999999996","{""judgement"":1}","[0]","survey-likert","33","106569","0.0-33.0","125dgcdr","","","","","","","","1"
"2106.1749999999884","{""confidence"":2}","[0]","survey-likert","34","108676","0.0-34.0","125dgcdr","","","","","","","",""
"","","","call-function","35","108677","0.0-35.0","125dgcdr","","","","","","","",""
"null","","","html-keyboard-response","36","110178","0.0-36.0","125dgcdr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","113265","0.0-37.0","125dgcdr","","","null","","Agent A","veridical","STIM_SET_2/1592951.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","114768","0.0-38.0","125dgcdr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","117833","0.0-39.0","125dgcdr","","","null","","Agent B","scrambled","STIM_SET_2/1592951.bmp_pp80_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","40","117834","0.0-40.0","125dgcdr","","","","","","","",""
"1527.7750000000087","{""judgement"":1}","[0]","survey-likert","41","119362","0.0-41.0","125dgcdr","","","","","","","","0"
"1099.7649999999994","{""confidence"":1}","[0]","survey-likert","42","120463","0.0-42.0","125dgcdr","","","","","","","",""
"","","","call-function","43","120465","0.0-43.0","125dgcdr","","","","","","","",""
"null","","","html-keyboard-response","44","121969","0.0-44.0","125dgcdr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
