"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"65090.895","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","65099","0.0-0.0","1rst85k5","","","","","","","",""
"59268.700000000004","","","instructions","1","124369","0.0-1.0","1rst85k5","[{""page_index"":0,""viewing_time"":59268.39000000001}]","","","","","","",""
"7827.385000000009","{""Age"":2,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","132198","0.0-2.0","1rst85k5","","","","","","","",""
"11500.380000000005","","","instructions","3","143699","0.0-3.0","1rst85k5","[{""page_index"":0,""viewing_time"":2992.235000000015},{""page_index"":1,""viewing_time"":2381.9199999999837},{""page_index"":2,""viewing_time"":6126.095000000001}]","","","","","","",""
"2960.6849999999977","","","instructions","4","146660","0.0-4.0","1rst85k5","[{""page_index"":0,""viewing_time"":2960.5800000000163}]","","","","","","",""
"null","","","video-keyboard-response","5","149738","0.0-5.0","1rst85k5","","","null","","","","",""
"12057.535000000003","","","instructions","6","161796","0.0-6.0","1rst85k5","[{""page_index"":0,""viewing_time"":3754.209999999992},{""page_index"":1,""viewing_time"":3917.3250000000116},{""page_index"":2,""viewing_time"":4385.889999999985}]","","","","","","",""
"3793.4949999999953","","","instructions","7","165590","0.0-7.0","1rst85k5","[{""page_index"":0,""viewing_time"":3793.390000000014}]","","","","","","",""
"1163.2200000000012","","","instructions","8","166754","0.0-8.0","1rst85k5","[{""page_index"":0,""viewing_time"":1162.6849999999977}]","","","","","","",""
"null","","","video-keyboard-response","9","169827","0.0-9.0","1rst85k5","","","null","","","","",""
"17884.600000000006","","","instructions","10","187713","0.0-10.0","1rst85k5","[{""page_index"":0,""viewing_time"":1455.515000000014},{""page_index"":1,""viewing_time"":4708.024999999994},{""page_index"":2,""viewing_time"":11720.449999999983}]","","","","","","",""
"11932.50999999998","","","instructions","11","199647","0.0-11.0","1rst85k5","[{""page_index"":0,""viewing_time"":11932.399999999994}]","","","","","","",""
"","","","call-function","12","199648","0.0-12.0","1rst85k5","","","","","","","",""
"null","","","html-keyboard-response","13","201149","0.0-13.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","203973","0.0-14.0","1rst85k5","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/713742.bmp_pp91_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","15","205474","0.0-15.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","208297","0.0-16.0","1rst85k5","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/713742.bmp_pp91_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","17","208297","0.0-17.0","1rst85k5","","","","","","","",""
"3268.960000000021","{""judgement"":1}","[0]","survey-likert","18","211567","0.0-18.0","1rst85k5","","","","","","","","1"
"3225.5599999999977","{""confidence"":1}","[0]","survey-likert","19","214794","0.0-19.0","1rst85k5","","","","","","","",""
"","","","call-function","20","214794","0.0-20.0","1rst85k5","","","","","","","",""
"null","","","html-keyboard-response","21","216298","0.0-21.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","22","219098","0.0-22.0","1rst85k5","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1592530.bmp_pp75_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","23","220603","0.0-23.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","24","223440","0.0-24.0","1rst85k5","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592530.bmp_pp75_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","25","223440","0.0-25.0","1rst85k5","","","","","","","",""
"3714.7000000000116","{""judgement"":0}","[0]","survey-likert","26","227156","0.0-26.0","1rst85k5","","","","","","","","0"
"1452.4599999999919","{""confidence"":1}","[0]","survey-likert","27","228609","0.0-27.0","1rst85k5","","","","","","","",""
"","","","call-function","28","228609","0.0-28.0","1rst85k5","","","","","","","",""
"null","","","html-keyboard-response","29","230115","0.0-29.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","30","232906","0.0-30.0","1rst85k5","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1159860.bmp_pp152_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","31","234408","0.0-31.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","32","237192","0.0-32.0","1rst85k5","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1159860.bmp_pp152_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","33","237192","0.0-33.0","1rst85k5","","","","","","","",""
"3385.5100000000093","{""judgement"":0}","[0]","survey-likert","34","240579","0.0-34.0","1rst85k5","","","","","","","","0"
"4565.209999999992","{""confidence"":2}","[0]","survey-likert","35","245145","0.0-35.0","1rst85k5","","","","","","","",""
"","","","call-function","36","245145","0.0-36.0","1rst85k5","","","","","","","",""
"null","","","html-keyboard-response","37","246650","0.0-37.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","38","249482","0.0-38.0","1rst85k5","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/107955.bmp_pp90_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","39","250989","0.0-39.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","40","253823","0.0-40.0","1rst85k5","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/107955.bmp_pp90_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","41","253823","0.0-41.0","1rst85k5","","","","","","","",""
"2441.4649999999965","{""judgement"":0}","[0]","survey-likert","42","256266","0.0-42.0","1rst85k5","","","","","","","","0"
"1265.0049999999756","{""confidence"":2}","[0]","survey-likert","43","257532","0.0-43.0","1rst85k5","","","","","","","",""
"","","","call-function","44","257532","0.0-44.0","1rst85k5","","","","","","","",""
"null","","","html-keyboard-response","45","259038","0.0-45.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","46","260932","0.0-46.0","1rst85k5","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/285946.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","47","262434","0.0-47.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","48","264330","0.0-48.0","1rst85k5","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/285946.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","49","264330","0.0-49.0","1rst85k5","","","","","","","",""
"3576.820000000007","{""judgement"":0}","[0]","survey-likert","50","267907","0.0-50.0","1rst85k5","","","","","","","","0"
"1289.2000000000116","{""confidence"":1}","[0]","survey-likert","51","269198","0.0-51.0","1rst85k5","","","","","","","",""
"","","","call-function","52","269199","0.0-52.0","1rst85k5","","","","","","","",""
"null","","","html-keyboard-response","53","270700","0.0-53.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","54","273461","0.0-54.0","1rst85k5","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/150277.bmp_pp65_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","55","274966","0.0-55.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","56","277730","0.0-56.0","1rst85k5","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/150277.bmp_pp65_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","57","277730","0.0-57.0","1rst85k5","","","","","","","",""
"7958.640000000014","{""judgement"":1}","[0]","survey-likert","58","285690","0.0-58.0","1rst85k5","","","","","","","","1"
"2349.2949999999837","{""confidence"":2}","[0]","survey-likert","59","288041","0.0-59.0","1rst85k5","","","","","","","",""
"","","","call-function","60","288042","0.0-60.0","1rst85k5","","","","","","","",""
"null","","","html-keyboard-response","61","289548","0.0-61.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","62","292323","0.0-62.0","1rst85k5","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/713790.bmp_pp100_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","63","293829","0.0-63.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","64","296606","0.0-64.0","1rst85k5","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/713790.bmp_pp100_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","65","296606","0.0-65.0","1rst85k5","","","","","","","",""
"2453.679999999993","{""judgement"":1}","[0]","survey-likert","66","299061","0.0-66.0","1rst85k5","","","","","","","","0"
"1234.5599999999977","{""confidence"":2}","[0]","survey-likert","67","300297","0.0-67.0","1rst85k5","","","","","","","",""
"","","","call-function","68","300297","0.0-68.0","1rst85k5","","","","","","","",""
"null","","","html-keyboard-response","69","301800","0.0-69.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","70","304549","0.0-70.0","1rst85k5","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1160247.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","71","306056","0.0-71.0","1rst85k5","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","72","308803","0.0-72.0","1rst85k5","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1160247.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","73","308803","0.0-73.0","1rst85k5","","","","","","","",""
