"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"79991.975","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","80000","0.0-0.0","23634kc7","","","","","","","",""
"35148.69500000001","","","instructions","1","115151","0.0-1.0","23634kc7","[{""page_index"":0,""viewing_time"":35148.535}]","","","","","","",""
"20387.770000000004","","","instructions","2","135539","0.0-2.0","23634kc7","[{""page_index"":0,""viewing_time"":12277.774999999994},{""page_index"":1,""viewing_time"":2448.0250000000087},{""page_index"":2,""viewing_time"":5661.845000000001}]","","","","","","",""
"2370.569999999978","","","instructions","3","137911","0.0-3.0","23634kc7","[{""page_index"":0,""viewing_time"":2370.459999999992}]","","","","","","",""
"null","","","video-keyboard-response","4","140987","0.0-4.0","23634kc7","","","null","","","","",""
"10193.39499999999","","","instructions","5","151181","0.0-5.0","23634kc7","[{""page_index"":0,""viewing_time"":2505.595000000001},{""page_index"":1,""viewing_time"":2728.485000000015},{""page_index"":2,""viewing_time"":4958.664999999979}]","","","","","","",""
"2244.149999999994","","","instructions","6","153427","0.0-6.0","23634kc7","[{""page_index"":0,""viewing_time"":2244.039999999979}]","","","","","","",""
"1061.8299999999872","","","instructions","7","154489","0.0-7.0","23634kc7","[{""page_index"":0,""viewing_time"":1061.7250000000058}]","","","","","","",""
"null","","","video-keyboard-response","8","157566","0.0-8.0","23634kc7","","","null","","","","",""
"14857.440000000002","","","instructions","9","172423","0.0-9.0","23634kc7","[{""page_index"":0,""viewing_time"":1143.4949999999953},{""page_index"":1,""viewing_time"":3009.725000000006},{""page_index"":2,""viewing_time"":10704.089999999997}]","","","","","","",""
"5663.470000000001","","","instructions","10","178087","0.0-10.0","23634kc7","[{""page_index"":0,""viewing_time"":5663.3550000000105}]","","","","","","",""
"","","","call-function","11","178088","0.0-11.0","23634kc7","","","","","","","",""
"null","","","html-keyboard-response","12","179595","0.0-12.0","23634kc7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","182166","0.0-13.0","23634kc7","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/498398.bmp_pp81_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","14","183670","0.0-14.0","23634kc7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","186241","0.0-15.0","23634kc7","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/498398.bmp_pp81_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","186241","0.0-16.0","23634kc7","","","","","","","",""
"3077.7700000000186","{""judgement"":0}","[0]","survey-likert","17","189320","0.0-17.0","23634kc7","","","","","","","","1"
"3124.9949999999953","{""confidence"":1}","[0]","survey-likert","18","192447","0.0-18.0","23634kc7","","","","","","","",""
"","","","call-function","19","192447","0.0-19.0","23634kc7","","","","","","","",""
"null","","","html-keyboard-response","20","193948","0.0-20.0","23634kc7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","196751","0.0-21.0","23634kc7","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/713652.bmp_pp89_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","22","198257","0.0-22.0","23634kc7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","201073","0.0-23.0","23634kc7","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/713652.bmp_pp89_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","24","201074","0.0-24.0","23634kc7","","","","","","","",""
"2510.194999999978","{""judgement"":0}","[0]","survey-likert","25","203585","0.0-25.0","23634kc7","","","","","","","","0"
"2623.445000000007","{""confidence"":2}","[0]","survey-likert","26","206210","0.0-26.0","23634kc7","","","","","","","",""
