"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"12643.470000000001","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","12652","0.0-0.0","328gfk49","","","","","","","",""
"142488.755","","","instructions","1","155143","0.0-1.0","328gfk49","[{""page_index"":0,""viewing_time"":142488.6}]","","","","","","",""
"5719.404999999999","","","instructions","2","160863","0.0-2.0","328gfk49","[{""page_index"":0,""viewing_time"":1104.3499999999767},{""page_index"":1,""viewing_time"":2434.9500000000116},{""page_index"":2,""viewing_time"":2179.975000000006}]","","","","","","",""
"1273.8950000000186","","","instructions","3","162138","0.0-3.0","328gfk49","[{""page_index"":0,""viewing_time"":1273.7850000000035}]","","","","","","",""
"null","","","video-keyboard-response","4","165213","0.0-4.0","328gfk49","","","null","","","","",""
"10911.485000000015","","","instructions","5","176125","0.0-5.0","328gfk49","[{""page_index"":0,""viewing_time"":3523.0250000000233},{""page_index"":1,""viewing_time"":2213.9799999999814},{""page_index"":2,""viewing_time"":931.015000000014},{""page_index"":3,""viewing_time"":1499.125},{""page_index"":4,""viewing_time"":2744.204999999987}]","","","","","","",""
"7514.739999999991","","","instructions","6","183640","0.0-6.0","328gfk49","[{""page_index"":0,""viewing_time"":7514.609999999986}]","","","","","","",""
"","","","call-function","7","183641","0.0-7.0","328gfk49","","","","","","","",""
"null","","","html-keyboard-response","8","185143","0.0-8.0","328gfk49","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","187810","0.0-9.0","328gfk49","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592133.bmp_pp75_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","10","189314","0.0-10.0","328gfk49","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","192070","0.0-11.0","328gfk49","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592133.bmp_pp75_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
