"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"153721.725","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","153730","0.0-0.0","37gvne9f","","","","","","","",""
"46066.234999999986","","","instructions","1","199798","0.0-1.0","37gvne9f","[{""page_index"":0,""viewing_time"":46066.09}]","","","","","","",""
"34793.75","","","instructions","2","234593","0.0-2.0","37gvne9f","[{""page_index"":0,""viewing_time"":6645.755000000005},{""page_index"":1,""viewing_time"":8813.994999999995},{""page_index"":2,""viewing_time"":19333.880000000005}]","","","","","","",""
"6145.625","","","instructions","3","240739","0.0-3.0","37gvne9f","[{""page_index"":0,""viewing_time"":6145.524999999994}]","","","","","","",""
"null","","","video-keyboard-response","4","243813","0.0-4.0","37gvne9f","","","null","","","","",""
"31927.304999999993","","","instructions","5","275741","0.0-5.0","37gvne9f","[{""page_index"":0,""viewing_time"":9687.080000000016},{""page_index"":1,""viewing_time"":5706.225000000006},{""page_index"":2,""viewing_time"":1487.9599999999919},{""page_index"":3,""viewing_time"":6975.849999999977},{""page_index"":4,""viewing_time"":8070.065000000002}]","","","","","","",""
"3676.445000000007","","","instructions","6","279418","0.0-6.0","37gvne9f","[{""page_index"":0,""viewing_time"":3676.320000000007}]","","","","","","",""
"","","","call-function","7","279419","0.0-7.0","37gvne9f","","","","","","","",""
"null","","","html-keyboard-response","8","280921","0.0-8.0","37gvne9f","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","284005","0.0-9.0","37gvne9f","","","null","","Agent A","veridical","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","285509","0.0-10.0","37gvne9f","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","288595","0.0-11.0","37gvne9f","","","null","","Agent B","scrambled","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","12","288596","0.0-12.0","37gvne9f","","","","","","","",""
"17464.275000000023","{""judgement"":1}","[0]","survey-likert","13","306061","0.0-13.0","37gvne9f","","","","","","","","0"
"2609.6399999999558","{""confidence"":0}","[0]","survey-likert","14","308672","0.0-14.0","37gvne9f","","","","","","","",""
"","","","call-function","15","308673","0.0-15.0","37gvne9f","","","","","","","",""
"null","","","html-keyboard-response","16","310174","0.0-16.0","37gvne9f","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","313245","0.0-17.0","37gvne9f","","","null","","Agent A","scrambled","STIM_SET_1/1159813.bmp_pp79_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","314747","0.0-18.0","37gvne9f","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","317822","0.0-19.0","37gvne9f","","","null","","Agent B","veridical","STIM_SET_1/1159813.bmp_pp79_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","20","317822","0.0-20.0","37gvne9f","","","","","","","",""
"1716.2300000000396","{""judgement"":0}","[0]","survey-likert","21","319540","0.0-21.0","37gvne9f","","","","","","","","1"
"2119.4199999999837","{""confidence"":2}","[0]","survey-likert","22","321661","0.0-22.0","37gvne9f","","","","","","","",""
"","","","call-function","23","321661","0.0-23.0","37gvne9f","","","","","","","",""
"null","","","html-keyboard-response","24","323167","0.0-24.0","37gvne9f","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","326281","0.0-25.0","37gvne9f","","","null","","Agent A","veridical","STIM_SET_1/1593035.bmp_pp94_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","327784","0.0-26.0","37gvne9f","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","330857","0.0-27.0","37gvne9f","","","null","","Agent B","scrambled","STIM_SET_1/1593035.bmp_pp94_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","28","330857","0.0-28.0","37gvne9f","","","","","","","",""
"2376.899999999965","{""judgement"":0}","[0]","survey-likert","29","333236","0.0-29.0","37gvne9f","","","","","","","","0"
"1942.045000000042","{""confidence"":2}","[0]","survey-likert","30","335180","0.0-30.0","37gvne9f","","","","","","","",""
"","","","call-function","31","335181","0.0-31.0","37gvne9f","","","","","","","",""
"null","","","html-keyboard-response","32","336685","0.0-32.0","37gvne9f","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","339753","0.0-33.0","37gvne9f","","","null","","Agent A","veridical","STIM_SET_1/713135.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","341259","0.0-34.0","37gvne9f","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","344328","0.0-35.0","37gvne9f","","","null","","Agent B","scrambled","STIM_SET_1/713135.bmp_pp54_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","36","344330","0.0-36.0","37gvne9f","","","","","","","",""
"1635.359999999986","{""judgement"":0}","[0]","survey-likert","37","345966","0.0-37.0","37gvne9f","","","","","","","","0"
"1272.030000000028","{""confidence"":2}","[0]","survey-likert","38","347239","0.0-38.0","37gvne9f","","","","","","","",""
"","","","call-function","39","347240","0.0-39.0","37gvne9f","","","","","","","",""
