"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"398167.53","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","398176","0.0-0.0","3ayv79za","","","","","","","",""
"25311.23999999999","","","instructions","1","423489","0.0-1.0","3ayv79za","[{""page_index"":0,""viewing_time"":25311.065000000002}]","","","","","","",""
"18952.89500000002","","","instructions","2","442443","0.0-2.0","3ayv79za","[{""page_index"":0,""viewing_time"":8065.424999999988},{""page_index"":1,""viewing_time"":1987.0750000000116},{""page_index"":2,""viewing_time"":8900.229999999981}]","","","","","","",""
"6336.140000000014","","","instructions","3","448779","0.0-3.0","3ayv79za","[{""page_index"":0,""viewing_time"":6336.040000000037}]","","","","","","",""
"null","","","video-keyboard-response","4","451870","0.0-4.0","3ayv79za","","","null","","","","",""
"16786.39500000002","","","instructions","5","468657","0.0-5.0","3ayv79za","[{""page_index"":0,""viewing_time"":5599.330000000016},{""page_index"":1,""viewing_time"":4406.744999999995},{""page_index"":2,""viewing_time"":6780.205000000016}]","","","","","","",""
"6299.450000000012","","","instructions","6","474957","0.0-6.0","3ayv79za","[{""page_index"":0,""viewing_time"":6299.349999999977}]","","","","","","",""
"30379.074999999953","","","instructions","7","505337","0.0-7.0","3ayv79za","[{""page_index"":0,""viewing_time"":30378.804999999993}]","","","","","","",""
"null","","","video-keyboard-response","8","508413","0.0-8.0","3ayv79za","","","null","","","","",""
"16804.764999999956","","","instructions","9","525218","0.0-9.0","3ayv79za","[{""page_index"":0,""viewing_time"":1519.9799999999814},{""page_index"":1,""viewing_time"":6952.295000000042},{""page_index"":2,""viewing_time"":8331.820000000007}]","","","","","","",""
"7493.9400000000605","","","instructions","10","532713","0.0-10.0","3ayv79za","[{""page_index"":0,""viewing_time"":7493.829999999958}]","","","","","","",""
"","","","call-function","11","532714","0.0-11.0","3ayv79za","","","","","","","",""
"null","","","html-keyboard-response","12","534218","0.0-12.0","3ayv79za","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","537293","0.0-13.0","3ayv79za","","","null","","Agent A","veridical","STIM_SET_2_144/498372.bmp_pp95_L2_V1_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","14","538798","0.0-14.0","3ayv79za","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","541874","0.0-15.0","3ayv79za","","","null","","Agent B","scrambled","STIM_SET_5/498372.bmp_pp95_L2_V1_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","16","541874","0.0-16.0","3ayv79za","","","","","","","",""
"4300.180000000051","{""judgement"":1}","[0]","survey-likert","17","546176","0.0-17.0","3ayv79za","","","","","","","","0"
"5981.819999999949","{""confidence"":1}","[0]","survey-likert","18","552159","0.0-18.0","3ayv79za","","","","","","","",""
