"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"62285.225","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","62294","0.0-0.0","3gprrsje","","","","","","","",""
"64465.94500000001","","","instructions","1","126762","0.0-1.0","3gprrsje","[{""page_index"":0,""viewing_time"":64465.795}]","","","","","","",""
"16709.630000000005","","","instructions","2","143473","0.0-2.0","3gprrsje","[{""page_index"":0,""viewing_time"":1872.9100000000035},{""page_index"":1,""viewing_time"":5853.654999999999},{""page_index"":2,""viewing_time"":8982.940000000002}]","","","","","","",""
"3462.695000000007","","","instructions","3","146936","0.0-3.0","3gprrsje","[{""page_index"":0,""viewing_time"":3462.5800000000163}]","","","","","","",""
"null","","","video-keyboard-response","4","150011","0.0-4.0","3gprrsje","","","null","","","","",""
"26750.464999999997","","","instructions","5","176762","0.0-5.0","3gprrsje","[{""page_index"":0,""viewing_time"":7357.649999999994},{""page_index"":1,""viewing_time"":6394.0199999999895},{""page_index"":2,""viewing_time"":1027.6050000000105},{""page_index"":3,""viewing_time"":3520.024999999994},{""page_index"":4,""viewing_time"":8451.040000000008}]","","","","","","",""
"5161.470000000001","","","instructions","6","181924","0.0-6.0","3gprrsje","[{""page_index"":0,""viewing_time"":5161.345000000001}]","","","","","","",""
"","","","call-function","7","181925","0.0-7.0","3gprrsje","","","","","","","",""
"null","","","html-keyboard-response","8","183427","0.0-8.0","3gprrsje","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","186508","0.0-9.0","3gprrsje","","","null","","Agent A","veridical","STIM_SET_1/498175.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","188012","0.0-10.0","3gprrsje","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","191091","0.0-11.0","3gprrsje","","","null","","Agent B","scrambled","STIM_SET_1/498175.bmp_pp154_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","12","191092","0.0-12.0","3gprrsje","","","","","","","",""
"5574.390000000014","{""judgement"":1}","[0]","survey-likert","13","196668","0.0-13.0","3gprrsje","","","","","","","","0"
"4954.720000000001","{""confidence"":0}","[0]","survey-likert","14","201624","0.0-14.0","3gprrsje","","","","","","","",""
