"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"110007.04000000001","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","110016","0.0-0.0","44qozdc8","","","","","","","",""
"35758.610000000015","","","instructions","1","145776","0.0-1.0","44qozdc8","[{""page_index"":0,""viewing_time"":35758.455000000016}]","","","","","","",""
"13249.085000000021","","","instructions","2","159026","0.0-2.0","44qozdc8","[{""page_index"":0,""viewing_time"":2322.8399999999965},{""page_index"":1,""viewing_time"":6439.895000000019},{""page_index"":2,""viewing_time"":4486.220000000001}]","","","","","","",""
"2527.0800000000163","","","instructions","3","161554","0.0-3.0","44qozdc8","[{""page_index"":0,""viewing_time"":2526.970000000001}]","","","","","","",""
"null","","","video-keyboard-response","4","164628","0.0-4.0","44qozdc8","","","null","","","","",""
"22328.35499999998","","","instructions","5","186957","0.0-5.0","44qozdc8","[{""page_index"":0,""viewing_time"":5296.039999999979},{""page_index"":1,""viewing_time"":3368.220000000001},{""page_index"":2,""viewing_time"":881.9000000000233},{""page_index"":3,""viewing_time"":5233.954999999987},{""page_index"":4,""viewing_time"":7548.1050000000105}]","","","","","","",""
"3154.4649999999965","","","instructions","6","190112","0.0-6.0","44qozdc8","[{""page_index"":0,""viewing_time"":3154.329999999987}]","","","","","","",""
"","","","call-function","7","190112","0.0-7.0","44qozdc8","","","","","","","",""
"null","","","html-keyboard-response","8","191614","0.0-8.0","44qozdc8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","194296","0.0-9.0","44qozdc8","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1160168.bmp_pp53_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","195802","0.0-10.0","44qozdc8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","198479","0.0-11.0","44qozdc8","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1160168.bmp_pp53_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","12","198481","0.0-12.0","44qozdc8","","","","","","","",""
"2549.279999999999","{""judgement"":0}","[0]","survey-likert","13","201031","0.0-13.0","44qozdc8","","","","","","","","0"
"3225.8800000000047","{""confidence"":2}","[0]","survey-likert","14","204259","0.0-14.0","44qozdc8","","","","","","","",""
"","","","call-function","15","204259","0.0-15.0","44qozdc8","","","","","","","",""
"null","","","html-keyboard-response","16","205761","0.0-16.0","44qozdc8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","208599","0.0-17.0","44qozdc8","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/498253.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","210100","0.0-18.0","44qozdc8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","212936","0.0-19.0","44qozdc8","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/498253.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","212936","0.0-20.0","44qozdc8","","","","","","","",""
"2169.36500000002","{""judgement"":0}","[0]","survey-likert","21","215107","0.0-21.0","44qozdc8","","","","","","","","0"
"1034.8450000000012","{""confidence"":2}","[0]","survey-likert","22","216143","0.0-22.0","44qozdc8","","","","","","","",""
"","","","call-function","23","216143","0.0-23.0","44qozdc8","","","","","","","",""
"null","","","html-keyboard-response","24","217646","0.0-24.0","44qozdc8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
