"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"12518.9","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","12526","0.0-0.0","4hptnk60","","","","","","","",""
"32821.265","","","instructions","1","45349","0.0-1.0","4hptnk60","[{""page_index"":0,""viewing_time"":32821.115000000005}]","","","","","","",""
"8248.659999999996","","","instructions","2","53599","0.0-2.0","4hptnk60","[{""page_index"":0,""viewing_time"":918.5349999999962},{""page_index"":1,""viewing_time"":3608.9950000000026},{""page_index"":2,""viewing_time"":3721.010000000002}]","","","","","","",""
"2373.790000000001","","","instructions","3","55974","0.0-3.0","4hptnk60","[{""page_index"":0,""viewing_time"":2373.6800000000003}]","","","","","","",""
"null","","","video-keyboard-response","4","59045","0.0-4.0","4hptnk60","","","null","","","","",""
"12901.160000000003","","","instructions","5","71947","0.0-5.0","4hptnk60","[{""page_index"":0,""viewing_time"":2105.975000000006},{""page_index"":1,""viewing_time"":1780.9349999999977},{""page_index"":2,""viewing_time"":883.9800000000032},{""page_index"":3,""viewing_time"":3499.064999999995},{""page_index"":4,""viewing_time"":4631.074999999997}]","","","","","","",""
"5425.240000000005","","","instructions","6","77373","0.0-6.0","4hptnk60","[{""page_index"":0,""viewing_time"":5425.115000000005}]","","","","","","",""
"","","","call-function","7","77374","0.0-7.0","4hptnk60","","","","","","","",""
"null","","","html-keyboard-response","8","78877","0.0-8.0","4hptnk60","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","81942","0.0-9.0","4hptnk60","","","null","","Agent A","veridical","STIM_SET_1_REAL/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","83447","0.0-10.0","4hptnk60","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","86513","0.0-11.0","4hptnk60","","","null","","Agent B","scrambled","STIM_SET_3/107955.bmp_pp90_L2_V2_veridical_freeview_isoFalsemismatch_498149.bmp_L2_fps90.mp4",""
"","","","call-function","12","86514","0.0-12.0","4hptnk60","","","","","","","",""
"2235.725000000006","{""judgement"":0}","[0]","survey-likert","13","88751","0.0-13.0","4hptnk60","","","","","","","","0"
