"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"71348.345","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","71356","0.0-0.0","4noq933n","","","","","","","",""
"23593.119999999995","","","instructions","1","94950","0.0-1.0","4noq933n","[{""page_index"":0,""viewing_time"":23592.969999999987}]","","","","","","",""
"22579.51000000001","","","instructions","2","117531","0.0-2.0","4noq933n","[{""page_index"":0,""viewing_time"":5840.955000000002},{""page_index"":1,""viewing_time"":11898.085000000006},{""page_index"":2,""viewing_time"":4840.264999999999}]","","","","","","",""
"4104.990000000005","","","instructions","3","121636","0.0-3.0","4noq933n","[{""page_index"":0,""viewing_time"":4104.895000000004}]","","","","","","",""
"null","","","video-keyboard-response","4","124711","0.0-4.0","4noq933n","","","null","","","","",""
"21869.065000000017","","","instructions","5","146582","0.0-5.0","4noq933n","[{""page_index"":0,""viewing_time"":4041.895000000004},{""page_index"":1,""viewing_time"":4428.024999999994},{""page_index"":2,""viewing_time"":1325.8699999999953},{""page_index"":3,""viewing_time"":4532.325000000012},{""page_index"":4,""viewing_time"":7540.755000000005}]","","","","","","",""
"5188.945000000007","","","instructions","6","151771","0.0-6.0","4noq933n","[{""page_index"":0,""viewing_time"":5188.834999999992}]","","","","","","",""
"","","","call-function","7","151772","0.0-7.0","4noq933n","","","","","","","",""
"null","","","html-keyboard-response","8","153274","0.0-8.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","156035","0.0-9.0","4noq933n","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592804.bmp_pp91_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","10","157541","0.0-10.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","160299","0.0-11.0","4noq933n","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592804.bmp_pp91_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","160299","0.0-12.0","4noq933n","","","","","","","",""
"5285.525000000023","{""judgement"":0}","[0]","survey-likert","13","165586","0.0-13.0","4noq933n","","","","","","","","1"
"4244.169999999984","{""confidence"":1}","[0]","survey-likert","14","169831","0.0-14.0","4noq933n","","","","","","","",""
"","","","call-function","15","169832","0.0-15.0","4noq933n","","","","","","","",""
"null","","","html-keyboard-response","16","171333","0.0-16.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","174065","0.0-17.0","4noq933n","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/713749.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","175567","0.0-18.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","178323","0.0-19.0","4noq933n","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/713749.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","178323","0.0-20.0","4noq933n","","","","","","","",""
"4800.859999999986","{""judgement"":1}","[0]","survey-likert","21","183126","0.0-21.0","4noq933n","","","","","","","","0"
"2372.459999999992","{""confidence"":1}","[0]","survey-likert","22","185500","0.0-22.0","4noq933n","","","","","","","",""
"","","","call-function","23","185500","0.0-23.0","4noq933n","","","","","","","",""
"null","","","html-keyboard-response","24","187004","0.0-24.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","189768","0.0-25.0","4noq933n","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","26","191272","0.0-26.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","194062","0.0-27.0","4noq933n","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","28","194062","0.0-28.0","4noq933n","","","","","","","",""
"2078.5750000000116","{""judgement"":0}","[0]","survey-likert","29","196141","0.0-29.0","4noq933n","","","","","","","","0"
"2070.079999999987","{""confidence"":2}","[0]","survey-likert","30","198213","0.0-30.0","4noq933n","","","","","","","",""
"","","","call-function","31","198213","0.0-31.0","4noq933n","","","","","","","",""
"null","","","html-keyboard-response","32","199718","0.0-32.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","202577","0.0-33.0","4noq933n","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","34","204080","0.0-34.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","206940","0.0-35.0","4noq933n","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","36","206941","0.0-36.0","4noq933n","","","","","","","",""
"3369.6849999999977","{""judgement"":0}","[0]","survey-likert","37","210311","0.0-37.0","4noq933n","","","","","","","","1"
"2157.054999999993","{""confidence"":1}","[0]","survey-likert","38","212469","0.0-38.0","4noq933n","","","","","","","",""
"","","","call-function","39","212470","0.0-39.0","4noq933n","","","","","","","",""
"null","","","html-keyboard-response","40","213972","0.0-40.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","216831","0.0-41.0","4noq933n","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/713017.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","42","218336","0.0-42.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","221167","0.0-43.0","4noq933n","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/713017.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","44","221168","0.0-44.0","4noq933n","","","","","","","",""
"4375.970000000001","{""judgement"":0}","[0]","survey-likert","45","225544","0.0-45.0","4noq933n","","","","","","","","0"
"3645.929999999993","{""confidence"":0}","[0]","survey-likert","46","229192","0.0-46.0","4noq933n","","","","","","","",""
"","","","call-function","47","229192","0.0-47.0","4noq933n","","","","","","","",""
"null","","","html-keyboard-response","48","230697","0.0-48.0","4noq933n","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","233224","0.0-49.0","4noq933n","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1591876.bmp_pp63_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
