"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"6961.54","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","6970","0.0-0.0","51yo2pet","","","","","","","",""
"27089.120000000003","","","instructions","1","34062","0.0-1.0","51yo2pet","[{""page_index"":0,""viewing_time"":27088.565000000002}]","","","","","","",""
"8613.435000000005","","","instructions","2","42677","0.0-2.0","51yo2pet","[{""page_index"":0,""viewing_time"":1041.395000000004},{""page_index"":1,""viewing_time"":4767},{""page_index"":2,""viewing_time"":2804.9199999999983}]","","","","","","",""
"2391.425000000003","","","instructions","3","45070","0.0-3.0","51yo2pet","[{""page_index"":0,""viewing_time"":2391.3150000000023}]","","","","","","",""
"null","","","video-keyboard-response","4","48145","0.0-4.0","51yo2pet","","","null","","","","",""
"15691.224999999999","","","instructions","5","63838","0.0-5.0","51yo2pet","[{""page_index"":0,""viewing_time"":1790.3199999999997},{""page_index"":1,""viewing_time"":3608.7050000000017},{""page_index"":2,""viewing_time"":1033.9400000000023},{""page_index"":3,""viewing_time"":3352.040000000001},{""page_index"":4,""viewing_time"":5906.0899999999965}]","","","","","","",""
"9261.299999999996","","","instructions","6","73100","0.0-6.0","51yo2pet","[{""page_index"":0,""viewing_time"":9261.165}]","","","","","","",""
"","","","call-function","7","73101","0.0-7.0","51yo2pet","","","","","","","",""
"null","","","html-keyboard-response","8","74605","0.0-8.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","77682","0.0-9.0","51yo2pet","","","null","","Agent A","veridical","STIM_SET_1_REAL/712977.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","79184","0.0-10.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","82287","0.0-11.0","51yo2pet","","","null","","Agent B","scrambled","STIM_SET_3/1592951.bmp_pp80_L3_V2_veridical_freeview_isoFalsemismatch_712977.bmp_L1_fps90.mp4",""
"","","","call-function","12","82288","0.0-12.0","51yo2pet","","","","","","","",""
"1856.7900000000081","{""judgement"":1}","[0]","survey-likert","13","84146","0.0-13.0","51yo2pet","","","","","","","","0"
"2751.300000000003","{""confidence"":2}","[0]","survey-likert","14","86899","0.0-14.0","51yo2pet","","","","","","","",""
"","","","call-function","15","86900","0.0-15.0","51yo2pet","","","","","","","",""
"null","","","html-keyboard-response","16","88401","0.0-16.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","91479","0.0-17.0","51yo2pet","","","null","","Agent A","veridical","STIM_SET_1_REAL/498253.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","92986","0.0-18.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","96099","0.0-19.0","51yo2pet","","","null","","Agent B","scrambled","STIM_SET_3/285959.bmp_pp93_L1_V2_veridical_freeview_isoFalsemismatch_498253.bmp_L2_fps90.mp4",""
"","","","call-function","20","96100","0.0-20.0","51yo2pet","","","","","","","",""
"2132.179999999993","{""judgement"":0}","[0]","survey-likert","21","98234","0.0-21.0","51yo2pet","","","","","","","","0"
"1630.6899999999878","{""confidence"":2}","[0]","survey-likert","22","99867","0.0-22.0","51yo2pet","","","","","","","",""
"","","","call-function","23","99868","0.0-23.0","51yo2pet","","","","","","","",""
"null","","","html-keyboard-response","24","101369","0.0-24.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","104472","0.0-25.0","51yo2pet","","","null","","Agent A","scrambled","STIM_SET_3/1592044.bmp_pp94_L2_V2_veridical_freeview_isoFalsemismatch_1159446.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","26","105975","0.0-26.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","109064","0.0-27.0","51yo2pet","","","null","","Agent B","veridical","STIM_SET_1_REAL/1159446.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","109065","0.0-28.0","51yo2pet","","","","","","","",""
"2214.7000000000116","{""judgement"":1}","[0]","survey-likert","29","111280","0.0-29.0","51yo2pet","","","","","","","","1"
"1408.0599999999977","{""confidence"":2}","[0]","survey-likert","30","112690","0.0-30.0","51yo2pet","","","","","","","",""
"","","","call-function","31","112691","0.0-31.0","51yo2pet","","","","","","","",""
"null","","","html-keyboard-response","32","114193","0.0-32.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","117298","0.0-33.0","51yo2pet","","","null","","Agent A","scrambled","STIM_SET_3/1592025.bmp_pp68_L1_V2_veridical_freeview_isoFalsemismatch_1592351.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","34","118804","0.0-34.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","121889","0.0-35.0","51yo2pet","","","null","","Agent B","veridical","STIM_SET_1_REAL/1592351.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","36","121890","0.0-36.0","51yo2pet","","","","","","","",""
"3557.300000000003","{""judgement"":0}","[0]","survey-likert","37","125448","0.0-37.0","51yo2pet","","","","","","","","1"
"1764.3350000000064","{""confidence"":0}","[0]","survey-likert","38","127213","0.0-38.0","51yo2pet","","","","","","","",""
"","","","call-function","39","127214","0.0-39.0","51yo2pet","","","","","","","",""
"null","","","html-keyboard-response","40","128716","0.0-40.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","131833","0.0-41.0","51yo2pet","","","null","","Agent A","scrambled","STIM_SET_3/1592298.bmp_pp56_L3_V2_veridical_freeview_isoFalsemismatch_1593146.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","42","133339","0.0-42.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","136442","0.0-43.0","51yo2pet","","","null","","Agent B","veridical","STIM_SET_1_REAL/1593146.bmp_pp93_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","44","136443","0.0-44.0","51yo2pet","","","","","","","",""
"2562.1750000000175","{""judgement"":1}","[0]","survey-likert","45","139006","0.0-45.0","51yo2pet","","","","","","","","1"
"1296.4249999999884","{""confidence"":1}","[0]","survey-likert","46","140304","0.0-46.0","51yo2pet","","","","","","","",""
"","","","call-function","47","140305","0.0-47.0","51yo2pet","","","","","","","",""
"null","","","html-keyboard-response","48","141810","0.0-48.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","144893","0.0-49.0","51yo2pet","","","null","","Agent A","scrambled","STIM_SET_3/498396.bmp_pp99_L2_V2_veridical_freeview_isoFalsemismatch_713371.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","50","146400","0.0-50.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","149476","0.0-51.0","51yo2pet","","","null","","Agent B","veridical","STIM_SET_1_REAL/713371.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","52","149477","0.0-52.0","51yo2pet","","","","","","","",""
"1847.4399999999732","{""judgement"":1}","[0]","survey-likert","53","151325","0.0-53.0","51yo2pet","","","","","","","","1"
"4583.645000000019","{""confidence"":3}","[0]","survey-likert","54","155911","0.0-54.0","51yo2pet","","","","","","","",""
"","","","call-function","55","155912","0.0-55.0","51yo2pet","","","","","","","",""
"null","","","html-keyboard-response","56","157413","0.0-56.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","160506","0.0-57.0","51yo2pet","","","null","","Agent A","scrambled","STIM_SET_3/713790.bmp_pp100_L3_V2_veridical_freeview_isoFalsemismatch_1592397.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","58","162010","0.0-58.0","51yo2pet","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
