"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"10417.34","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","10426","0.0-0.0","5xcenl4v","","","","","","","",""
"17338.265","","","instructions","1","27766","0.0-1.0","5xcenl4v","[{""page_index"":0,""viewing_time"":17337.71}]","","","","","","",""
"11318.82","","","instructions","2","39086","0.0-2.0","5xcenl4v","[{""page_index"":0,""viewing_time"":650.7649999999994},{""page_index"":1,""viewing_time"":1077.949999999997},{""page_index"":0,""viewing_time"":998.0400000000009},{""page_index"":1,""viewing_time"":3897.9449999999997},{""page_index"":2,""viewing_time"":4693.989999999998}]","","","","","","",""
"3066.8399999999965","","","instructions","3","42154","0.0-3.0","5xcenl4v","[{""page_index"":0,""viewing_time"":3066.7350000000006}]","","","","","","",""
"null","","","video-keyboard-response","4","45226","0.0-4.0","5xcenl4v","","","null","","","","",""
"14394.5","","","instructions","5","59621","0.0-5.0","5xcenl4v","[{""page_index"":0,""viewing_time"":2408.5550000000003},{""page_index"":1,""viewing_time"":2413.010000000002},{""page_index"":2,""viewing_time"":1564.9249999999956},{""page_index"":3,""viewing_time"":5050.1600000000035},{""page_index"":4,""viewing_time"":2957.709999999999}]","","","","","","",""
"3907.840000000004","","","instructions","6","63529","0.0-6.0","5xcenl4v","[{""page_index"":0,""viewing_time"":3907.7100000000064}]","","","","","","",""
"","","","call-function","7","63530","0.0-7.0","5xcenl4v","","","","","","","",""
"null","","","html-keyboard-response","8","65034","0.0-8.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","68103","0.0-9.0","5xcenl4v","","","null","","Agent A","scrambled","STIM_SET_1/1159572.bmp_pp71_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","69605","0.0-10.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","72676","0.0-11.0","5xcenl4v","","","null","","Agent B","veridical","STIM_SET_1/1159572.bmp_pp71_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","12","72677","0.0-12.0","5xcenl4v","","","","","","","",""
"7983.815000000002","{""judgement"":1}","[0]","survey-likert","13","80662","0.0-13.0","5xcenl4v","","","","","","","","1"
"1319.7750000000087","{""confidence"":1}","[0]","survey-likert","14","81983","0.0-14.0","5xcenl4v","","","","","","","",""
"","","","call-function","15","81984","0.0-15.0","5xcenl4v","","","","","","","",""
"null","","","html-keyboard-response","16","83487","0.0-16.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","86564","0.0-17.0","5xcenl4v","","","null","","Agent A","veridical","STIM_SET_1/1159768.bmp_pp89_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","88066","0.0-18.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","91182","0.0-19.0","5xcenl4v","","","null","","Agent B","scrambled","STIM_SET_1/1159768.bmp_pp89_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","91182","0.0-20.0","5xcenl4v","","","","","","","",""
"7498.479999999996","{""judgement"":1}","[0]","survey-likert","21","98683","0.0-21.0","5xcenl4v","","","","","","","","0"
"1087.090000000011","{""confidence"":1}","[0]","survey-likert","22","99771","0.0-22.0","5xcenl4v","","","","","","","",""
"","","","call-function","23","99772","0.0-23.0","5xcenl4v","","","","","","","",""
"null","","","html-keyboard-response","24","101274","0.0-24.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","104362","0.0-25.0","5xcenl4v","","","null","","Agent A","scrambled","STIM_SET_1/713779.bmp_pp152_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","105866","0.0-26.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","108927","0.0-27.0","5xcenl4v","","","null","","Agent B","veridical","STIM_SET_1/713779.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","28","108928","0.0-28.0","5xcenl4v","","","","","","","",""
"3805.1949999999924","{""judgement"":1}","[0]","survey-likert","29","112734","0.0-29.0","5xcenl4v","","","","","","","","1"
"1982.8349999999919","{""confidence"":2}","[0]","survey-likert","30","114718","0.0-30.0","5xcenl4v","","","","","","","",""
"","","","call-function","31","114719","0.0-31.0","5xcenl4v","","","","","","","",""
"null","","","html-keyboard-response","32","116222","0.0-32.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","119348","0.0-33.0","5xcenl4v","","","null","","Agent A","scrambled","STIM_SET_1/713707.bmp_pp154_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","120851","0.0-34.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","123975","0.0-35.0","5xcenl4v","","","null","","Agent B","veridical","STIM_SET_1/713707.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","36","123976","0.0-36.0","5xcenl4v","","","","","","","",""
"4565.615000000005","{""judgement"":1}","[0]","survey-likert","37","128542","0.0-37.0","5xcenl4v","","","","","","","","1"
"1851.4300000000076","{""confidence"":2}","[0]","survey-likert","38","130395","0.0-38.0","5xcenl4v","","","","","","","",""
"","","","call-function","39","130395","0.0-39.0","5xcenl4v","","","","","","","",""
"null","","","html-keyboard-response","40","131899","0.0-40.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","134977","0.0-41.0","5xcenl4v","","","null","","Agent A","veridical","STIM_SET_1/1592657.bmp_pp98_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","42","136482","0.0-42.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","139566","0.0-43.0","5xcenl4v","","","null","","Agent B","scrambled","STIM_SET_1/1592657.bmp_pp98_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","44","139567","0.0-44.0","5xcenl4v","","","","","","","",""
"2527.6350000000093","{""judgement"":0}","[0]","survey-likert","45","142096","0.0-45.0","5xcenl4v","","","","","","","","0"
"2810.4899999999907","{""confidence"":2}","[0]","survey-likert","46","144908","0.0-46.0","5xcenl4v","","","","","","","",""
"","","","call-function","47","144909","0.0-47.0","5xcenl4v","","","","","","","",""
"null","","","html-keyboard-response","48","146412","0.0-48.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","149483","0.0-49.0","5xcenl4v","","","null","","Agent A","scrambled","STIM_SET_1/1159621.bmp_pp92_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","50","150985","0.0-50.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","154056","0.0-51.0","5xcenl4v","","","null","","Agent B","veridical","STIM_SET_1/1159621.bmp_pp92_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","52","154057","0.0-52.0","5xcenl4v","","","","","","","",""
"1759.8000000000175","{""judgement"":1}","[0]","survey-likert","53","155817","0.0-53.0","5xcenl4v","","","","","","","","1"
"1732.4800000000105","{""confidence"":2}","[0]","survey-likert","54","157551","0.0-54.0","5xcenl4v","","","","","","","",""
"","","","call-function","55","157552","0.0-55.0","5xcenl4v","","","","","","","",""
"null","","","html-keyboard-response","56","159057","0.0-56.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","162129","0.0-57.0","5xcenl4v","","","null","","Agent A","scrambled","STIM_SET_1/1159515.bmp_pp84_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","58","163633","0.0-58.0","5xcenl4v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","166708","0.0-59.0","5xcenl4v","","","null","","Agent B","veridical","STIM_SET_1/1159515.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","60","166708","0.0-60.0","5xcenl4v","","","","","","","",""
"2567.75","{""judgement"":1}","[0]","survey-likert","61","169277","0.0-61.0","5xcenl4v","","","","","","","","1"
