"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"630619.14","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","630629","0.0-0.0","6gjx5yh0","","","","","","","",""
"42870.59999999998","","","instructions","1","673501","0.0-1.0","6gjx5yh0","[{""page_index"":0,""viewing_time"":42870.01000000001}]","","","","","","",""
"55610.765000000014","","","instructions","2","729113","0.0-2.0","6gjx5yh0","[{""page_index"":0,""viewing_time"":46297.609999999986},{""page_index"":1,""viewing_time"":6566.099999999977},{""page_index"":2,""viewing_time"":2746.930000000051}]","","","","","","",""
"1287.9949999999953","","","instructions","3","730402","0.0-3.0","6gjx5yh0","[{""page_index"":0,""viewing_time"":1287.8850000000093}]","","","","","","",""
"null","","","video-keyboard-response","4","733477","0.0-4.0","6gjx5yh0","","","null","","","","",""
"15913.814999999944","","","instructions","5","749392","0.0-5.0","6gjx5yh0","[{""page_index"":0,""viewing_time"":1593.765000000014},{""page_index"":1,""viewing_time"":1917.8699999999953},{""page_index"":2,""viewing_time"":896.1500000000233},{""page_index"":3,""viewing_time"":3035.019999999902},{""page_index"":4,""viewing_time"":8470.880000000005}]","","","","","","",""
"3389.6600000000326","","","instructions","6","752782","0.0-6.0","6gjx5yh0","[{""page_index"":0,""viewing_time"":3389.5250000000233}]","","","","","","",""
"","","","call-function","7","752783","0.0-7.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","8","754288","0.0-8.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","757066","0.0-9.0","6gjx5yh0","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/713620.bmp_pp65_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","758567","0.0-10.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","761349","0.0-11.0","6gjx5yh0","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/713620.bmp_pp65_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","12","761349","0.0-12.0","6gjx5yh0","","","","","","","",""
"6503.069999999949","{""judgement"":1}","[0]","survey-likert","13","767853","0.0-13.0","6gjx5yh0","","","","","","","","0"
"3451.975000000093","{""confidence"":1}","[0]","survey-likert","14","771307","0.0-14.0","6gjx5yh0","","","","","","","",""
"","","","call-function","15","771307","0.0-15.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","16","772809","0.0-16.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","775401","0.0-17.0","6gjx5yh0","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592397.bmp_pp85_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","776904","0.0-18.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","779494","0.0-19.0","6gjx5yh0","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592397.bmp_pp85_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","779495","0.0-20.0","6gjx5yh0","","","","","","","",""
"12143.640000000014","{""judgement"":1}","[0]","survey-likert","21","791639","0.0-21.0","6gjx5yh0","","","","","","","","0"
"2575.055000000051","{""confidence"":2}","[0]","survey-likert","22","794216","0.0-22.0","6gjx5yh0","","","","","","","",""
"","","","call-function","23","794216","0.0-23.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","24","795720","0.0-24.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","798471","0.0-25.0","6gjx5yh0","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","26","799977","0.0-26.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","802727","0.0-27.0","6gjx5yh0","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","802728","0.0-28.0","6gjx5yh0","","","","","","","",""
"2366.9749999999767","{""judgement"":1}","[0]","survey-likert","29","805096","0.0-29.0","6gjx5yh0","","","","","","","","1"
"1886.1149999999907","{""confidence"":3}","[0]","survey-likert","30","806983","0.0-30.0","6gjx5yh0","","","","","","","",""
"","","","call-function","31","806984","0.0-31.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","32","808488","0.0-32.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","811281","0.0-33.0","6gjx5yh0","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592351.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","34","812783","0.0-34.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","815596","0.0-35.0","6gjx5yh0","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592351.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","36","815596","0.0-36.0","6gjx5yh0","","","","","","","",""
"4296.4349999999395","{""judgement"":1}","[0]","survey-likert","37","819893","0.0-37.0","6gjx5yh0","","","","","","","","1"
"1699.155000000028","{""confidence"":2}","[0]","survey-likert","38","821594","0.0-38.0","6gjx5yh0","","","","","","","",""
"","","","call-function","39","821594","0.0-39.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","40","823095","0.0-40.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","825849","0.0-41.0","6gjx5yh0","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1591954.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","42","827352","0.0-42.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","830106","0.0-43.0","6gjx5yh0","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1591954.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","44","830106","0.0-44.0","6gjx5yh0","","","","","","","",""
"1597.5899999999674","{""judgement"":0}","[0]","survey-likert","45","831704","0.0-45.0","6gjx5yh0","","","","","","","","1"
"1842.8800000000047","{""confidence"":1}","[0]","survey-likert","46","833548","0.0-46.0","6gjx5yh0","","","","","","","",""
"","","","call-function","47","833549","0.0-47.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","48","835051","0.0-48.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","837792","0.0-49.0","6gjx5yh0","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","50","839296","0.0-50.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","842039","0.0-51.0","6gjx5yh0","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","52","842039","0.0-52.0","6gjx5yh0","","","","","","","",""
"3385.1300000000047","{""judgement"":1}","[0]","survey-likert","53","845425","0.0-53.0","6gjx5yh0","","","","","","","","1"
"1987.954999999958","{""confidence"":1}","[0]","survey-likert","54","847414","0.0-54.0","6gjx5yh0","","","","","","","",""
"","","","call-function","55","847415","0.0-55.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","56","848917","0.0-56.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","851628","0.0-57.0","6gjx5yh0","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1160168.bmp_pp53_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","58","853129","0.0-58.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","855830","0.0-59.0","6gjx5yh0","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1160168.bmp_pp53_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","60","855830","0.0-60.0","6gjx5yh0","","","","","","","",""
"2144.144999999902","{""judgement"":1}","[0]","survey-likert","61","857975","0.0-61.0","6gjx5yh0","","","","","","","","1"
"2187.305000000051","{""confidence"":2}","[0]","survey-likert","62","860163","0.0-62.0","6gjx5yh0","","","","","","","",""
"","","","call-function","63","860164","0.0-63.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","64","861670","0.0-64.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","864471","0.0-65.0","6gjx5yh0","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/498175.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","66","865973","0.0-66.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","868771","0.0-67.0","6gjx5yh0","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/498175.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","68","868771","0.0-68.0","6gjx5yh0","","","","","","","",""
"1339.8950000000186","{""judgement"":0}","[0]","survey-likert","69","870112","0.0-69.0","6gjx5yh0","","","","","","","","0"
"1551.2149999999674","{""confidence"":3}","[0]","survey-likert","70","871664","0.0-70.0","6gjx5yh0","","","","","","","",""
"","","","call-function","71","871665","0.0-71.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","72","873169","0.0-72.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","876002","0.0-73.0","6gjx5yh0","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","74","877506","0.0-74.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","880363","0.0-75.0","6gjx5yh0","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","76","880364","0.0-76.0","6gjx5yh0","","","","","","","",""
"1857.6049999999814","{""judgement"":0}","[0]","survey-likert","77","882222","0.0-77.0","6gjx5yh0","","","","","","","","1"
"1311.030000000028","{""confidence"":2}","[0]","survey-likert","78","883534","0.0-78.0","6gjx5yh0","","","","","","","",""
"","","","call-function","79","883535","0.0-79.0","6gjx5yh0","","","","","","","",""
"null","","","html-keyboard-response","80","885036","0.0-80.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","81","887585","0.0-81.0","6gjx5yh0","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159515.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","82","889088","0.0-82.0","6gjx5yh0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","83","891641","0.0-83.0","6gjx5yh0","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1159515.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","84","891642","0.0-84.0","6gjx5yh0","","","","","","","",""
"1576.7949999999255","{""judgement"":0}","[0]","survey-likert","85","893220","0.0-85.0","6gjx5yh0","","","","","","","","0"
"2563.340000000084","{""confidence"":2}","[0]","survey-likert","86","895785","0.0-86.0","6gjx5yh0","","","","","","","",""
"4236.040000000037","","","instructions","87","900022","0.0-87.0","6gjx5yh0","[{""page_index"":0,""viewing_time"":1480.7350000001024},{""page_index"":1,""viewing_time"":2149.0100000000093},{""page_index"":2,""viewing_time"":606.1199999999953}]","","","","","","",""
"1774.6650000000373","","","instructions","88","901797","0.0-88.0","6gjx5yh0","[{""page_index"":0,""viewing_time"":558.9799999999814},{""page_index"":1,""viewing_time"":612.5900000000838},{""page_index"":2,""viewing_time"":602.9799999999814}]","","","","","","",""
"","","","call-function","89","901798","0.0-89.0","6gjx5yh0","","","","","","","",""
