"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"12732.529999999999","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","12741","0.0-0.0","6hqtqp3j","","","","","","","",""
"15992.824999999999","","","instructions","1","28735","0.0-1.0","6hqtqp3j","[{""page_index"":0,""viewing_time"":15992.26}]","","","","","","",""
"19653.82","","","instructions","2","48390","0.0-2.0","6hqtqp3j","[{""page_index"":0,""viewing_time"":5456.735000000001},{""page_index"":1,""viewing_time"":1280.885000000002},{""page_index"":2,""viewing_time"":12916.07}]","","","","","","",""
"3289.25","","","instructions","3","51680","0.0-3.0","6hqtqp3j","[{""page_index"":0,""viewing_time"":3289.1299999999974}]","","","","","","",""
"null","","","video-keyboard-response","4","54756","0.0-4.0","6hqtqp3j","","","null","","","","",""
"14672.995000000003","","","instructions","5","69429","0.0-5.0","6hqtqp3j","[{""page_index"":0,""viewing_time"":2611.814999999995},{""page_index"":1,""viewing_time"":3720.095000000001},{""page_index"":2,""viewing_time"":8340.975000000006}]","","","","","","",""
"2855.529999999999","","","instructions","6","72285","0.0-6.0","6hqtqp3j","[{""page_index"":0,""viewing_time"":2855.425000000003}]","","","","","","",""
"1631.4699999999866","","","instructions","7","73917","0.0-7.0","6hqtqp3j","[{""page_index"":0,""viewing_time"":1631.25}]","","","","","","",""
"null","","","video-keyboard-response","8","76991","0.0-8.0","6hqtqp3j","","","null","","","","",""
"14307.369999999995","","","instructions","9","91299","0.0-9.0","6hqtqp3j","[{""page_index"":0,""viewing_time"":2023.3399999999965},{""page_index"":1,""viewing_time"":4319.955000000002},{""page_index"":2,""viewing_time"":7963.934999999998}]","","","","","","",""
"12671.154999999999","","","instructions","10","103971","0.0-10.0","6hqtqp3j","[{""page_index"":0,""viewing_time"":12670.524999999994}]","","","","","","",""
"","","","call-function","11","103973","0.0-11.0","6hqtqp3j","","","","","","","",""
"null","","","html-keyboard-response","12","105476","0.0-12.0","6hqtqp3j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","108557","0.0-13.0","6hqtqp3j","","","null","","Agent A","scrambled","STIM_SET_2/498372.bmp_pp95_L2_V1_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","110060","0.0-14.0","6hqtqp3j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","113141","0.0-15.0","6hqtqp3j","","","null","","Agent B","veridical","STIM_SET_2/498372.bmp_pp95_L2_V1_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","113142","0.0-16.0","6hqtqp3j","","","","","","","",""
"2480.0149999999994","{""judgement"":1}","[0]","survey-likert","17","115623","0.0-17.0","6hqtqp3j","","","","","","","","1"
"1781.824999999997","{""confidence"":0}","[0]","survey-likert","18","117406","0.0-18.0","6hqtqp3j","","","","","","","",""
"","","","call-function","19","117407","0.0-19.0","6hqtqp3j","","","","","","","",""
"null","","","html-keyboard-response","20","118910","0.0-20.0","6hqtqp3j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","121986","0.0-21.0","6hqtqp3j","","","null","","Agent A","scrambled","STIM_SET_2/1160204.bmp_pp54_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","123490","0.0-22.0","6hqtqp3j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","126564","0.0-23.0","6hqtqp3j","","","null","","Agent B","veridical","STIM_SET_2/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","24","126564","0.0-24.0","6hqtqp3j","","","","","","","",""
"1880.9100000000035","{""judgement"":1}","[0]","survey-likert","25","128446","0.0-25.0","6hqtqp3j","","","","","","","","1"
"2027.179999999993","{""confidence"":2}","[0]","survey-likert","26","130474","0.0-26.0","6hqtqp3j","","","","","","","",""
"","","","call-function","27","130475","0.0-27.0","6hqtqp3j","","","","","","","",""
"null","","","html-keyboard-response","28","131978","0.0-28.0","6hqtqp3j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","135079","0.0-29.0","6hqtqp3j","","","null","","Agent A","scrambled","STIM_SET_2/1592747.bmp_pp53_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","136581","0.0-30.0","6hqtqp3j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","139683","0.0-31.0","6hqtqp3j","","","null","","Agent B","veridical","STIM_SET_2/1592747.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","32","139683","0.0-32.0","6hqtqp3j","","","","","","","",""
"2010.9750000000058","{""judgement"":1}","[0]","survey-likert","33","141695","0.0-33.0","6hqtqp3j","","","","","","","","1"
"1252.6450000000186","{""confidence"":3}","[0]","survey-likert","34","142949","0.0-34.0","6hqtqp3j","","","","","","","",""
"","","","call-function","35","142949","0.0-35.0","6hqtqp3j","","","","","","","",""
"null","","","html-keyboard-response","36","144454","0.0-36.0","6hqtqp3j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","147534","0.0-37.0","6hqtqp3j","","","null","","Agent A","veridical","STIM_SET_2/498398.bmp_pp81_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","149037","0.0-38.0","6hqtqp3j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","152115","0.0-39.0","6hqtqp3j","","","null","","Agent B","scrambled","STIM_SET_2/498398.bmp_pp81_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","40","152116","0.0-40.0","6hqtqp3j","","","","","","","",""
"2616.595000000001","{""judgement"":0}","[0]","survey-likert","41","154733","0.0-41.0","6hqtqp3j","","","","","","","","0"
"3026.970000000001","{""confidence"":1}","[0]","survey-likert","42","157761","0.0-42.0","6hqtqp3j","","","","","","","",""
"","","","call-function","43","157762","0.0-43.0","6hqtqp3j","","","","","","","",""
"null","","","html-keyboard-response","44","159265","0.0-44.0","6hqtqp3j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
