"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"92582.205","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","92590","0.0-0.0","6p5gds8r","","","","","","","",""
"20980.059999999998","","","instructions","1","113572","0.0-1.0","6p5gds8r","[{""page_index"":0,""viewing_time"":20979.90999999999}]","","","","","","",""
"12952.970000000001","","","instructions","2","126525","0.0-2.0","6p5gds8r","[{""page_index"":0,""viewing_time"":6548.0899999999965},{""page_index"":1,""viewing_time"":1631.925000000003},{""page_index"":2,""viewing_time"":4772.830000000002}]","","","","","","",""
"3643.6600000000035","","","instructions","3","130169","0.0-3.0","6p5gds8r","[{""page_index"":0,""viewing_time"":3643.550000000003}]","","","","","","",""
"null","","","video-keyboard-response","4","133246","0.0-4.0","6p5gds8r","","","null","","","","",""
"13098.700000000012","","","instructions","5","146346","0.0-5.0","6p5gds8r","[{""page_index"":0,""viewing_time"":3846.820000000007},{""page_index"":1,""viewing_time"":2743.804999999993},{""page_index"":2,""viewing_time"":6507.9649999999965}]","","","","","","",""
"3802.5199999999895","","","instructions","6","150149","0.0-6.0","6p5gds8r","[{""page_index"":0,""viewing_time"":3802.414999999979}]","","","","","","",""
"1390.070000000007","","","instructions","7","151539","0.0-7.0","6p5gds8r","[{""page_index"":0,""viewing_time"":1389.8500000000058}]","","","","","","",""
"null","","","video-keyboard-response","8","154611","0.0-8.0","6p5gds8r","","","null","","","","",""
"10871.345000000001","","","instructions","9","165483","0.0-9.0","6p5gds8r","[{""page_index"":0,""viewing_time"":1395.2350000000151},{""page_index"":1,""viewing_time"":2398.084999999992},{""page_index"":2,""viewing_time"":7077.880000000005}]","","","","","","",""
"4617.485000000015","","","instructions","10","170101","0.0-10.0","6p5gds8r","[{""page_index"":0,""viewing_time"":4617.369999999995}]","","","","","","",""
"","","","call-function","11","170101","0.0-11.0","6p5gds8r","","","","","","","",""
"null","","","html-keyboard-response","12","171604","0.0-12.0","6p5gds8r","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","174669","0.0-13.0","6p5gds8r","","","null","","Agent A","scrambled","STIM_SET_5/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","14","176173","0.0-14.0","6p5gds8r","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","179240","0.0-15.0","6p5gds8r","","","null","","Agent B","veridical","STIM_SET_2_144/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","179240","0.0-16.0","6p5gds8r","","","","","","","",""
"3677.7750000000233","{""judgement"":0}","[0]","survey-likert","17","182919","0.0-17.0","6p5gds8r","","","","","","","","1"
"3931.0100000000093","{""confidence"":1}","[0]","survey-likert","18","186851","0.0-18.0","6p5gds8r","","","","","","","",""
"","","","call-function","19","186852","0.0-19.0","6p5gds8r","","","","","","","",""
"null","","","html-keyboard-response","20","188358","0.0-20.0","6p5gds8r","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","191440","0.0-21.0","6p5gds8r","","","null","","Agent A","scrambled","STIM_SET_5/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","22","192943","0.0-22.0","6p5gds8r","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","196019","0.0-23.0","6p5gds8r","","","null","","Agent B","veridical","STIM_SET_2_144/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","24","196019","0.0-24.0","6p5gds8r","","","","","","","",""
"2131.2849999999744","{""judgement"":1}","[0]","survey-likert","25","198151","0.0-25.0","6p5gds8r","","","","","","","","1"
"2049.6699999999837","{""confidence"":2}","[0]","survey-likert","26","200202","0.0-26.0","6p5gds8r","","","","","","","",""
