"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"42937.465000000004","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","42946","0.0-0.0","6pjv4goy","","","","","","","",""
"32860.66999999999","","","instructions","1","75809","0.0-1.0","6pjv4goy","[{""page_index"":0,""viewing_time"":32860.52}]","","","","","","",""
"15364.494999999995","","","instructions","2","91175","0.0-2.0","6pjv4goy","[{""page_index"":0,""viewing_time"":6118.235000000001},{""page_index"":1,""viewing_time"":2129.079999999987},{""page_index"":2,""viewing_time"":7117.055000000008}]","","","","","","",""
"4611.860000000001","","","instructions","3","95787","0.0-3.0","6pjv4goy","[{""page_index"":0,""viewing_time"":4611.755000000005}]","","","","","","",""
"null","","","video-keyboard-response","4","98866","0.0-4.0","6pjv4goy","","","null","","","","",""
"11118.375","","","instructions","5","109985","0.0-5.0","6pjv4goy","[{""page_index"":0,""viewing_time"":3287.345000000001},{""page_index"":1,""viewing_time"":3347.915000000008},{""page_index"":2,""viewing_time"":4483.009999999995}]","","","","","","",""
"4029.0899999999965","","","instructions","6","114015","0.0-6.0","6pjv4goy","[{""page_index"":0,""viewing_time"":4028.9850000000006}]","","","","","","",""
"1550.2850000000035","","","instructions","7","115566","0.0-7.0","6pjv4goy","[{""page_index"":0,""viewing_time"":1550.070000000007}]","","","","","","",""
"null","","","video-keyboard-response","8","118650","0.0-8.0","6pjv4goy","","","null","","","","",""
"15270.454999999987","","","instructions","9","133922","0.0-9.0","6pjv4goy","[{""page_index"":0,""viewing_time"":2202.395000000004},{""page_index"":1,""viewing_time"":4689.614999999991},{""page_index"":2,""viewing_time"":8377.470000000016}]","","","","","","",""
"5827.104999999981","","","instructions","10","139751","0.0-10.0","6pjv4goy","[{""page_index"":0,""viewing_time"":5826.994999999995}]","","","","","","",""
"","","","call-function","11","139752","0.0-11.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","12","141256","0.0-12.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","144330","0.0-13.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/1592038.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","14","145833","0.0-14.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","148921","0.0-15.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/1592038.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","16","148922","0.0-16.0","6pjv4goy","","","","","","","",""
"9370.324999999983","{""judgement"":0}","[0]","survey-likert","17","158294","0.0-17.0","6pjv4goy","","","","","","","","0"
"2896.6849999999977","{""confidence"":0}","[0]","survey-likert","18","161192","0.0-18.0","6pjv4goy","","","","","","","",""
"","","","call-function","19","161193","0.0-19.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","20","162695","0.0-20.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","165786","0.0-21.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/1591781.bmp_pp63_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","22","167289","0.0-22.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","170393","0.0-23.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/1591781.bmp_pp63_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","24","170394","0.0-24.0","6pjv4goy","","","","","","","",""
"2136.6849999999977","{""judgement"":0}","[0]","survey-likert","25","172531","0.0-25.0","6pjv4goy","","","","","","","","0"
"2446.820000000007","{""confidence"":1}","[0]","survey-likert","26","174980","0.0-26.0","6pjv4goy","","","","","","","",""
"","","","call-function","27","174981","0.0-27.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","28","176483","0.0-28.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","179576","0.0-29.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/498398.bmp_pp81_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","30","181079","0.0-30.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","184141","0.0-31.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/498398.bmp_pp81_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","32","184142","0.0-32.0","6pjv4goy","","","","","","","",""
"7355.899999999994","{""judgement"":0}","[0]","survey-likert","33","191498","0.0-33.0","6pjv4goy","","","","","","","","0"
"1487.6050000000105","{""confidence"":0}","[0]","survey-likert","34","192987","0.0-34.0","6pjv4goy","","","","","","","",""
"","","","call-function","35","192988","0.0-35.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","36","194490","0.0-36.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","197583","0.0-37.0","6pjv4goy","","","null","","Agent A","scrambled","STIM_SET_5/1592150.bmp_pp77_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","38","199089","0.0-38.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","202179","0.0-39.0","6pjv4goy","","","null","","Agent B","veridical","STIM_SET_2_144/1592150.bmp_pp77_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","40","202179","0.0-40.0","6pjv4goy","","","","","","","",""
"2993.2700000000186","{""judgement"":1}","[0]","survey-likert","41","205173","0.0-41.0","6pjv4goy","","","","","","","","1"
"2000.3550000000105","{""confidence"":1}","[0]","survey-likert","42","207175","0.0-42.0","6pjv4goy","","","","","","","",""
"","","","call-function","43","207176","0.0-43.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","44","208678","0.0-44.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","211741","0.0-45.0","6pjv4goy","","","null","","Agent A","scrambled","STIM_SET_5/285715.bmp_pp67_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","46","213242","0.0-46.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","216308","0.0-47.0","6pjv4goy","","","null","","Agent B","veridical","STIM_SET_2_144/285715.bmp_pp67_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","48","216309","0.0-48.0","6pjv4goy","","","","","","","",""
"8434.764999999985","{""judgement"":1}","[0]","survey-likert","49","224744","0.0-49.0","6pjv4goy","","","","","","","","1"
"2486.5899999999965","{""confidence"":0}","[0]","survey-likert","50","227232","0.0-50.0","6pjv4goy","","","","","","","",""
"","","","call-function","51","227233","0.0-51.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","52","228735","0.0-52.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","53","231803","0.0-53.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","54","233307","0.0-54.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","55","236394","0.0-55.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","56","236394","0.0-56.0","6pjv4goy","","","","","","","",""
"3831.890000000014","{""judgement"":0}","[0]","survey-likert","57","240227","0.0-57.0","6pjv4goy","","","","","","","","0"
"1192.9649999999965","{""confidence"":0}","[0]","survey-likert","58","241421","0.0-58.0","6pjv4goy","","","","","","","",""
"","","","call-function","59","241422","0.0-59.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","60","242923","0.0-60.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","61","246010","0.0-61.0","6pjv4goy","","","null","","Agent A","scrambled","STIM_SET_5/61513.bmp_pp75_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","62","247518","0.0-62.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","63","250586","0.0-63.0","6pjv4goy","","","null","","Agent B","veridical","STIM_SET_2_144/61513.bmp_pp75_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","64","250588","0.0-64.0","6pjv4goy","","","","","","","",""
"3733.414999999979","{""judgement"":1}","[0]","survey-likert","65","254322","0.0-65.0","6pjv4goy","","","","","","","","1"
"2031.5100000000093","{""confidence"":0}","[0]","survey-likert","66","256356","0.0-66.0","6pjv4goy","","","","","","","",""
"","","","call-function","67","256358","0.0-67.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","68","257859","0.0-68.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","69","260922","0.0-69.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/1592017.bmp_pp154_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","70","262427","0.0-70.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","71","265489","0.0-71.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/1592017.bmp_pp154_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","72","265490","0.0-72.0","6pjv4goy","","","","","","","",""
"2029.625","{""judgement"":0}","[0]","survey-likert","73","267521","0.0-73.0","6pjv4goy","","","","","","","","0"
"1951.0149999999558","{""confidence"":0}","[0]","survey-likert","74","269473","0.0-74.0","6pjv4goy","","","","","","","",""
"","","","call-function","75","269474","0.0-75.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","76","270976","0.0-76.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","77","274038","0.0-77.0","6pjv4goy","","","null","","Agent A","scrambled","STIM_SET_5/1592047.bmp_pp51_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","78","275544","0.0-78.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","79","278612","0.0-79.0","6pjv4goy","","","null","","Agent B","veridical","STIM_SET_2_144/1592047.bmp_pp51_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","80","278612","0.0-80.0","6pjv4goy","","","","","","","",""
"3744.7449999999953","{""judgement"":1}","[0]","survey-likert","81","282358","0.0-81.0","6pjv4goy","","","","","","","","1"
"1997.2149999999674","{""confidence"":0}","[0]","survey-likert","82","284357","0.0-82.0","6pjv4goy","","","","","","","",""
"","","","call-function","83","284358","0.0-83.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","84","285863","0.0-84.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","85","288942","0.0-85.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/285932.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","86","290450","0.0-86.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","87","293525","0.0-87.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/285932.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","88","293526","0.0-88.0","6pjv4goy","","","","","","","",""
"1845.2399999999907","{""judgement"":0}","[0]","survey-likert","89","295372","0.0-89.0","6pjv4goy","","","","","","","","0"
"1763.1049999999814","{""confidence"":0}","[0]","survey-likert","90","297137","0.0-90.0","6pjv4goy","","","","","","","",""
"6938.22000000003","","","instructions","91","304076","0.0-91.0","6pjv4goy","[{""page_index"":0,""viewing_time"":2236.2449999999953},{""page_index"":1,""viewing_time"":1551.8950000000186},{""page_index"":2,""viewing_time"":3149.9249999999884}]","","","","","","",""
"6117.160000000033","","","instructions","92","310194","0.0-92.0","6pjv4goy","[{""page_index"":0,""viewing_time"":1444.0100000000093},{""page_index"":1,""viewing_time"":3659.085000000021},{""page_index"":2,""viewing_time"":1013.9550000000163}]","","","","","","",""
"","","","call-function","93","310195","0.0-93.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","94","311700","0.0-94.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","95","314793","0.0-95.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/285959.bmp_pp93_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","96","316300","0.0-96.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","97","319390","0.0-97.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/285959.bmp_pp93_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","98","319391","0.0-98.0","6pjv4goy","","","","","","","",""
"3835.7849999999744","{""judgement"":1}","[0]","survey-likert","99","323228","0.0-99.0","6pjv4goy","","","","","","","","0"
"1814.6049999999814","{""confidence"":0}","[0]","survey-likert","100","325044","0.0-100.0","6pjv4goy","","","","","","","",""
"","","","call-function","101","325045","0.0-101.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","102","326548","0.0-102.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","103","329623","0.0-103.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/1160247.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","104","331127","0.0-104.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","105","334203","0.0-105.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/1160247.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","106","334204","0.0-106.0","6pjv4goy","","","","","","","",""
"1514.9500000000116","{""judgement"":1}","[0]","survey-likert","107","335720","0.0-107.0","6pjv4goy","","","","","","","","0"
"1273.679999999993","{""confidence"":1}","[0]","survey-likert","108","336995","0.0-108.0","6pjv4goy","","","","","","","",""
"","","","call-function","109","336996","0.0-109.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","110","338498","0.0-110.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","111","341562","0.0-111.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/713829.bmp_pp60_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","112","343065","0.0-112.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","113","346130","0.0-113.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/713829.bmp_pp60_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","114","346131","0.0-114.0","6pjv4goy","","","","","","","",""
"1519.649999999965","{""judgement"":0}","[0]","survey-likert","115","347652","0.0-115.0","6pjv4goy","","","","","","","","0"
"1233.5900000000256","{""confidence"":1}","[0]","survey-likert","116","348887","0.0-116.0","6pjv4goy","","","","","","","",""
"","","","call-function","117","348888","0.0-117.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","118","350390","0.0-118.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","119","353479","0.0-119.0","6pjv4goy","","","null","","Agent A","scrambled","STIM_SET_5/1591920.bmp_pp97_L3_V1_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","120","354983","0.0-120.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","121","358063","0.0-121.0","6pjv4goy","","","null","","Agent B","veridical","STIM_SET_2_144/1591920.bmp_pp97_L3_V1_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","122","358064","0.0-122.0","6pjv4goy","","","","","","","",""
"2171.225000000035","{""judgement"":1}","[0]","survey-likert","123","360237","0.0-123.0","6pjv4goy","","","","","","","","1"
"1437.149999999965","{""confidence"":1}","[0]","survey-likert","124","361677","0.0-124.0","6pjv4goy","","","","","","","",""
"","","","call-function","125","361678","0.0-125.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","126","363185","0.0-126.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","127","366248","0.0-127.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","128","367751","0.0-128.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","129","370813","0.0-129.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","130","370814","0.0-130.0","6pjv4goy","","","","","","","",""
"2549.1350000000093","{""judgement"":0}","[0]","survey-likert","131","373364","0.0-131.0","6pjv4goy","","","","","","","","0"
"1336.2949999999837","{""confidence"":1}","[0]","survey-likert","132","374703","0.0-132.0","6pjv4goy","","","","","","","",""
"","","","call-function","133","374704","0.0-133.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","134","376211","0.0-134.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","135","379275","0.0-135.0","6pjv4goy","","","null","","Agent A","veridical","STIM_SET_2_144/285684.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","136","380782","0.0-136.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","137","383844","0.0-137.0","6pjv4goy","","","null","","Agent B","scrambled","STIM_SET_5/285684.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","138","383845","0.0-138.0","6pjv4goy","","","","","","","",""
"1569.7050000000163","{""judgement"":1}","[0]","survey-likert","139","385416","0.0-139.0","6pjv4goy","","","","","","","","0"
"1257.960000000021","{""confidence"":1}","[0]","survey-likert","140","386675","0.0-140.0","6pjv4goy","","","","","","","",""
"","","","call-function","141","386676","0.0-141.0","6pjv4goy","","","","","","","",""
"null","","","html-keyboard-response","142","388178","0.0-142.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","143","391274","0.0-143.0","6pjv4goy","","","null","","Agent A","scrambled","STIM_SET_5/1592568.bmp_pp71_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","144","392778","0.0-144.0","6pjv4goy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
