"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"8097.205","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","8105","0.0-0.0","73n6wyuu","","","","","","","",""
"16154.404999999999","","","instructions","1","24261","0.0-1.0","73n6wyuu","[{""page_index"":0,""viewing_time"":16153.850000000002}]","","","","","","",""
"6861.185000000001","","","instructions","2","31124","0.0-2.0","73n6wyuu","[{""page_index"":0,""viewing_time"":932.9900000000016},{""page_index"":1,""viewing_time"":2572.0600000000013},{""page_index"":2,""viewing_time"":3356.0099999999984}]","","","","","","",""
"1482.7000000000007","","","instructions","3","32607","0.0-3.0","73n6wyuu","[{""page_index"":0,""viewing_time"":1482.5949999999975}]","","","","","","",""
"null","","","video-keyboard-response","4","35682","0.0-4.0","73n6wyuu","","","null","","","","",""
"10671.82","","","instructions","5","46354","0.0-5.0","73n6wyuu","[{""page_index"":0,""viewing_time"":2339.7350000000006},{""page_index"":1,""viewing_time"":1523.1849999999977},{""page_index"":2,""viewing_time"":872.7799999999988},{""page_index"":3,""viewing_time"":3249.9749999999985},{""page_index"":4,""viewing_time"":2686.0149999999994}]","","","","","","",""
"4851.915000000001","","","instructions","6","51207","0.0-6.0","73n6wyuu","[{""page_index"":0,""viewing_time"":4851.790000000001}]","","","","","","",""
"","","","call-function","7","51207","0.0-7.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","8","52711","0.0-8.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","55787","0.0-9.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/713017.bmp_pp152_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","57293","0.0-10.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","60367","0.0-11.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/713017.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","12","60368","0.0-12.0","73n6wyuu","","","","","","","",""
"2286.2649999999994","{""judgement"":1}","[0]","survey-likert","13","62655","0.0-13.0","73n6wyuu","","","","","","","","1"
"1244.4149999999936","{""confidence"":2}","[0]","survey-likert","14","63901","0.0-14.0","73n6wyuu","","","","","","","",""
"","","","call-function","15","63901","0.0-15.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","16","65402","0.0-16.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","68475","0.0-17.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/1592286.bmp_pp52_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","69980","0.0-18.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","73098","0.0-19.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/1592286.bmp_pp52_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","73098","0.0-20.0","73n6wyuu","","","","","","","",""
"1464.7050000000017","{""judgement"":0}","[0]","survey-likert","21","74565","0.0-21.0","73n6wyuu","","","","","","","","0"
"1398.3899999999994","{""confidence"":1}","[0]","survey-likert","22","75965","0.0-22.0","73n6wyuu","","","","","","","",""
"","","","call-function","23","75965","0.0-23.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","24","77468","0.0-24.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","80585","0.0-25.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","82091","0.0-26.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","85205","0.0-27.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/285933.bmp_pp81_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","28","85205","0.0-28.0","73n6wyuu","","","","","","","",""
"1836.0350000000035","{""judgement"":0}","[0]","survey-likert","29","87042","0.0-29.0","73n6wyuu","","","","","","","","0"
"861.1200000000099","{""confidence"":0}","[0]","survey-likert","30","87904","0.0-30.0","73n6wyuu","","","","","","","",""
"","","","call-function","31","87905","0.0-31.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","32","89409","0.0-32.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","92518","0.0-33.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/1159768.bmp_pp89_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","94021","0.0-34.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","97131","0.0-35.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/1159768.bmp_pp89_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","36","97131","0.0-36.0","73n6wyuu","","","","","","","",""
"2919.625","{""judgement"":1}","[0]","survey-likert","37","100052","0.0-37.0","73n6wyuu","","","","","","","","1"
"960.9799999999959","{""confidence"":0}","[0]","survey-likert","38","101014","0.0-38.0","73n6wyuu","","","","","","","",""
"","","","call-function","39","101014","0.0-39.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","40","102520","0.0-40.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","105582","0.0-41.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/713779.bmp_pp152_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","42","107089","0.0-42.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","110174","0.0-43.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/713779.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","44","110174","0.0-44.0","73n6wyuu","","","","","","","",""
"1178.7350000000006","{""judgement"":0}","[0]","survey-likert","45","111354","0.0-45.0","73n6wyuu","","","","","","","","1"
"1330.0800000000017","{""confidence"":3}","[0]","survey-likert","46","112685","0.0-46.0","73n6wyuu","","","","","","","",""
"","","","call-function","47","112686","0.0-47.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","48","114190","0.0-48.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","117303","0.0-49.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/498149.bmp_pp99_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","50","118806","0.0-50.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","121873","0.0-51.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","52","121873","0.0-52.0","73n6wyuu","","","","","","","",""
"1559.4700000000012","{""judgement"":1}","[0]","survey-likert","53","123434","0.0-53.0","73n6wyuu","","","","","","","","1"
"1215.1100000000006","{""confidence"":2}","[0]","survey-likert","54","124650","0.0-54.0","73n6wyuu","","","","","","","",""
"","","","call-function","55","124651","0.0-55.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","56","126157","0.0-56.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","129234","0.0-57.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","58","130741","0.0-58.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","133824","0.0-59.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","60","133824","0.0-60.0","73n6wyuu","","","","","","","",""
"2020.7649999999849","{""judgement"":1}","[0]","survey-likert","61","135846","0.0-61.0","73n6wyuu","","","","","","","","1"
"1585.1300000000047","{""confidence"":1}","[0]","survey-likert","62","137433","0.0-62.0","73n6wyuu","","","","","","","",""
"","","","call-function","63","137433","0.0-63.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","64","138935","0.0-64.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","142016","0.0-65.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/1593146.bmp_pp93_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","66","143518","0.0-66.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","146595","0.0-67.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/1593146.bmp_pp93_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","68","146596","0.0-68.0","73n6wyuu","","","","","","","",""
"1414.9349999999977","{""judgement"":0}","[0]","survey-likert","69","148011","0.0-69.0","73n6wyuu","","","","","","","","1"
"1065.125","{""confidence"":2}","[0]","survey-likert","70","149078","0.0-70.0","73n6wyuu","","","","","","","",""
"","","","call-function","71","149078","0.0-71.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","72","150580","0.0-72.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","153704","0.0-73.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/285905.bmp_pp57_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","74","155209","0.0-74.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","158327","0.0-75.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/285905.bmp_pp57_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","76","158328","0.0-76.0","73n6wyuu","","","","","","","",""
"1553.015000000014","{""judgement"":0}","[0]","survey-likert","77","159883","0.0-77.0","73n6wyuu","","","","","","","","0"
"1678.8250000000116","{""confidence"":1}","[0]","survey-likert","78","161563","0.0-78.0","73n6wyuu","","","","","","","",""
"","","","call-function","79","161563","0.0-79.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","80","163066","0.0-80.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","81","166173","0.0-81.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/713403.bmp_pp80_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","82","167675","0.0-82.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","83","170780","0.0-83.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/713403.bmp_pp80_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","84","170781","0.0-84.0","73n6wyuu","","","","","","","",""
"2202.529999999999","{""judgement"":0}","[0]","survey-likert","85","172984","0.0-85.0","73n6wyuu","","","","","","","","0"
"1126.1949999999779","{""confidence"":2}","[0]","survey-likert","86","174111","0.0-86.0","73n6wyuu","","","","","","","",""
"29610.98999999999","","","instructions","87","203723","0.0-87.0","73n6wyuu","[{""page_index"":0,""viewing_time"":1270.804999999993},{""page_index"":1,""viewing_time"":27694.040000000008},{""page_index"":2,""viewing_time"":645.984999999986}]","","","","","","",""
"2017.4349999999977","","","instructions","88","205741","0.0-88.0","73n6wyuu","[{""page_index"":0,""viewing_time"":421.66500000000815},{""page_index"":1,""viewing_time"":969.789999999979},{""page_index"":2,""viewing_time"":625.8550000000105}]","","","","","","",""
"","","","call-function","89","205741","0.0-89.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","90","207244","0.0-90.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","91","210316","0.0-91.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/1592581.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","92","211820","0.0-92.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","93","214893","0.0-93.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/1592581.bmp_pp100_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","94","214894","0.0-94.0","73n6wyuu","","","","","","","",""
"1804.0999999999767","{""judgement"":0}","[0]","survey-likert","95","216699","0.0-95.0","73n6wyuu","","","","","","","","0"
"1814.2749999999942","{""confidence"":1}","[0]","survey-likert","96","218514","0.0-96.0","73n6wyuu","","","","","","","",""
"","","","call-function","97","218515","0.0-97.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","98","220019","0.0-98.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","99","223093","0.0-99.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/1159515.bmp_pp84_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","100","224594","0.0-100.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","101","227668","0.0-101.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/1159515.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","102","227669","0.0-102.0","73n6wyuu","","","","","","","",""
"1607.8550000000105","{""judgement"":1}","[0]","survey-likert","103","229277","0.0-103.0","73n6wyuu","","","","","","","","1"
"1130.5500000000175","{""confidence"":0}","[0]","survey-likert","104","230409","0.0-104.0","73n6wyuu","","","","","","","",""
"","","","call-function","105","230409","0.0-105.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","106","231916","0.0-106.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","107","235034","0.0-107.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/1592804.bmp_pp91_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","108","236540","0.0-108.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","109","239657","0.0-109.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/1592804.bmp_pp91_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","110","239658","0.0-110.0","73n6wyuu","","","","","","","",""
"1561.7649999999849","{""judgement"":1}","[0]","survey-likert","111","241220","0.0-111.0","73n6wyuu","","","","","","","","0"
"4358.890000000014","{""confidence"":1}","[0]","survey-likert","112","245580","0.0-112.0","73n6wyuu","","","","","","","",""
"","","","call-function","113","245581","0.0-113.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","114","247082","0.0-114.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","115","250199","0.0-115.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/1592397.bmp_pp85_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","116","251702","0.0-116.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","117","254820","0.0-117.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/1592397.bmp_pp85_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","118","254820","0.0-118.0","73n6wyuu","","","","","","","",""
"2061.554999999993","{""judgement"":0}","[0]","survey-likert","119","256883","0.0-119.0","73n6wyuu","","","","","","","","1"
"1758.4550000000163","{""confidence"":1}","[0]","survey-likert","120","258642","0.0-120.0","73n6wyuu","","","","","","","",""
"","","","call-function","121","258643","0.0-121.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","122","260146","0.0-122.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","123","263255","0.0-123.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/1593035.bmp_pp94_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","124","264761","0.0-124.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","125","267873","0.0-125.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/1593035.bmp_pp94_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","126","267874","0.0-126.0","73n6wyuu","","","","","","","",""
"1686.859999999986","{""judgement"":1}","[0]","survey-likert","127","269562","0.0-127.0","73n6wyuu","","","","","","","","1"
"1709.5100000000093","{""confidence"":1}","[0]","survey-likert","128","271274","0.0-128.0","73n6wyuu","","","","","","","",""
"","","","call-function","129","271275","0.0-129.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","130","272777","0.0-130.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","131","275855","0.0-131.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/713371.bmp_pp68_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","132","277358","0.0-132.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","133","280447","0.0-133.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/713371.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","134","280448","0.0-134.0","73n6wyuu","","","","","","","",""
"4020.405000000028","{""judgement"":0}","[0]","survey-likert","135","284469","0.0-135.0","73n6wyuu","","","","","","","","1"
"1237.8649999999907","{""confidence"":0}","[0]","survey-likert","136","285709","0.0-136.0","73n6wyuu","","","","","","","",""
"","","","call-function","137","285709","0.0-137.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","138","287211","0.0-138.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","139","290295","0.0-139.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/713593.bmp_pp64_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","140","291799","0.0-140.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","141","294879","0.0-141.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/713593.bmp_pp64_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","142","294880","0.0-142.0","73n6wyuu","","","","","","","",""
"1179.1749999999884","{""judgement"":1}","[0]","survey-likert","143","296060","0.0-143.0","73n6wyuu","","","","","","","","1"
"1182.780000000028","{""confidence"":2}","[0]","survey-likert","144","297244","0.0-144.0","73n6wyuu","","","","","","","",""
"","","","call-function","145","297244","0.0-145.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","146","298745","0.0-146.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","147","301866","0.0-147.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/1159855.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","148","303371","0.0-148.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","149","306489","0.0-149.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/1159855.bmp_pp99_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","150","306489","0.0-150.0","73n6wyuu","","","","","","","",""
"1840.7449999999953","{""judgement"":0}","[0]","survey-likert","151","308331","0.0-151.0","73n6wyuu","","","","","","","","0"
"1085.664999999979","{""confidence"":3}","[0]","survey-likert","152","309417","0.0-152.0","73n6wyuu","","","","","","","",""
"","","","call-function","153","309418","0.0-153.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","154","310924","0.0-154.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","155","314030","0.0-155.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/713796.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","156","315533","0.0-156.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","157","318637","0.0-157.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/713796.bmp_pp84_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","158","318637","0.0-158.0","73n6wyuu","","","","","","","",""
"1483.375","{""judgement"":0}","[0]","survey-likert","159","320122","0.0-159.0","73n6wyuu","","","","","","","","0"
"1224.8950000000186","{""confidence"":2}","[0]","survey-likert","160","321348","0.0-160.0","73n6wyuu","","","","","","","",""
"","","","call-function","161","321348","0.0-161.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","162","322852","0.0-162.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","163","325967","0.0-163.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","164","327471","0.0-164.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","165","330586","0.0-165.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/1592499.bmp_pp96_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","166","330586","0.0-166.0","73n6wyuu","","","","","","","",""
"1366.1849999999977","{""judgement"":1}","[0]","survey-likert","167","331953","0.0-167.0","73n6wyuu","","","","","","","","0"
"861.109999999986","{""confidence"":1}","[0]","survey-likert","168","332815","0.0-168.0","73n6wyuu","","","","","","","",""
"35769.17499999999","","","instructions","169","368585","0.0-169.0","73n6wyuu","[{""page_index"":0,""viewing_time"":2137.7999999999884},{""page_index"":1,""viewing_time"":33151.185},{""page_index"":2,""viewing_time"":479.9400000000023}]","","","","","","",""
"7040.299999999988","","","instructions","170","375626","0.0-170.0","73n6wyuu","[{""page_index"":0,""viewing_time"":674.2299999999814},{""page_index"":1,""viewing_time"":853.9000000000233},{""page_index"":2,""viewing_time"":5512.054999999993}]","","","","","","",""
"","","","call-function","171","375627","0.0-171.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","172","377130","0.0-172.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","173","380200","0.0-173.0","73n6wyuu","","","null","","Agent A","veridical","STIM_SET_1/713135.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","174","381704","0.0-174.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","175","384774","0.0-175.0","73n6wyuu","","","null","","Agent B","scrambled","STIM_SET_1/713135.bmp_pp54_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","176","384775","0.0-176.0","73n6wyuu","","","","","","","",""
"2596.929999999993","{""judgement"":0}","[0]","survey-likert","177","387373","0.0-177.0","73n6wyuu","","","","","","","","0"
"1495.1650000000373","{""confidence"":0}","[0]","survey-likert","178","388869","0.0-178.0","73n6wyuu","","","","","","","",""
"","","","call-function","179","388869","0.0-179.0","73n6wyuu","","","","","","","",""
"null","","","html-keyboard-response","180","390373","0.0-180.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","181","393454","0.0-181.0","73n6wyuu","","","null","","Agent A","scrambled","STIM_SET_1/1592807.bmp_pp68_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","182","394956","0.0-182.0","73n6wyuu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","183","398037","0.0-183.0","73n6wyuu","","","null","","Agent B","veridical","STIM_SET_1/1592807.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","184","398038","0.0-184.0","73n6wyuu","","","","","","","",""
