"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"104336.91","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","104346","0.0-0.0","74dn64n2","","","","","","","",""
"34711.05","","","instructions","1","139060","0.0-1.0","74dn64n2","[{""page_index"":0,""viewing_time"":34710.40000000001}]","","","","","","",""
"15269.48999999999","","","instructions","2","154331","0.0-2.0","74dn64n2","[{""page_index"":0,""viewing_time"":2130.0599999999977},{""page_index"":1,""viewing_time"":7058.9800000000105},{""page_index"":2,""viewing_time"":6080.315000000002}]","","","","","","",""
"3566.8800000000047","","","instructions","3","157900","0.0-3.0","74dn64n2","[{""page_index"":0,""viewing_time"":3566.7699999999895}]","","","","","","",""
"null","","","video-keyboard-response","4","160990","0.0-4.0","74dn64n2","","","null","","","","",""
"21308.579999999987","","","instructions","5","182300","0.0-5.0","74dn64n2","[{""page_index"":0,""viewing_time"":4827.940000000002},{""page_index"":1,""viewing_time"":3702.6300000000047},{""page_index"":2,""viewing_time"":1222.2749999999942},{""page_index"":3,""viewing_time"":4894.774999999994},{""page_index"":4,""viewing_time"":6660.820000000007}]","","","","","","",""
"5648.860000000015","","","instructions","6","187950","0.0-6.0","74dn64n2","[{""page_index"":0,""viewing_time"":5648.7149999999965}]","","","","","","",""
"","","","call-function","7","187951","0.0-7.0","74dn64n2","","","","","","","",""
"null","","","html-keyboard-response","8","189457","0.0-8.0","74dn64n2","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","192716","0.0-9.0","74dn64n2","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592807.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","10","194220","0.0-10.0","74dn64n2","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","197212","0.0-11.0","74dn64n2","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592807.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","197213","0.0-12.0","74dn64n2","","","","","","","",""
"3091.9349999999977","{""judgement"":1}","[0]","survey-likert","13","200308","0.0-13.0","74dn64n2","","","","","","","","1"
"4283.2850000000035","{""confidence"":1}","[0]","survey-likert","14","204593","0.0-14.0","74dn64n2","","","","","","","",""
"","","","call-function","15","204594","0.0-15.0","74dn64n2","","","","","","","",""
"null","","","html-keyboard-response","16","206098","0.0-16.0","74dn64n2","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
