"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"80778.68000000001","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","80787","0.0-0.0","7yd9t1ql","","","","","","","",""
"29309.660000000003","","","instructions","1","110098","0.0-1.0","7yd9t1ql","[{""page_index"":0,""viewing_time"":29309.509999999995}]","","","","","","",""
"18644.020000000004","","","instructions","2","128743","0.0-2.0","7yd9t1ql","[{""page_index"":0,""viewing_time"":9277.930000000008},{""page_index"":1,""viewing_time"":2041.9399999999878},{""page_index"":2,""viewing_time"":7324.029999999999}]","","","","","","",""
"5555.234999999986","","","instructions","3","134299","0.0-3.0","7yd9t1ql","[{""page_index"":0,""viewing_time"":5555.130000000005}]","","","","","","",""
"null","","","video-keyboard-response","4","137375","0.0-4.0","7yd9t1ql","","","null","","","","",""
"16293.330000000016","","","instructions","5","153669","0.0-5.0","7yd9t1ql","[{""page_index"":0,""viewing_time"":4269.305000000022},{""page_index"":1,""viewing_time"":3762.014999999985},{""page_index"":2,""viewing_time"":8261.904999999999}]","","","","","","",""
"5050.734999999986","","","instructions","6","158720","0.0-6.0","7yd9t1ql","[{""page_index"":0,""viewing_time"":5050.625}]","","","","","","",""
"1778.2649999999849","","","instructions","7","160499","0.0-7.0","7yd9t1ql","[{""page_index"":0,""viewing_time"":1778.0499999999884}]","","","","","","",""
"null","","","video-keyboard-response","8","163573","0.0-8.0","7yd9t1ql","","","null","","","","",""
"18379.389999999985","","","instructions","9","181954","0.0-9.0","7yd9t1ql","[{""page_index"":0,""viewing_time"":1629.0799999999872},{""page_index"":1,""viewing_time"":3515.790000000008},{""page_index"":2,""viewing_time"":13233.920000000013}]","","","","","","",""
"57.55500000002212","","","instructions","10","182012","0.0-10.0","7yd9t1ql","[{""page_index"":0,""viewing_time"":57.43000000002212}]","","","","","","",""
"","","","call-function","11","182013","0.0-11.0","7yd9t1ql","","","","","","","",""
"null","","","html-keyboard-response","12","183515","0.0-12.0","7yd9t1ql","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","186591","0.0-13.0","7yd9t1ql","","","null","","Agent A","scrambled","STIM_SET_2/713920.bmp_pp76_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","188096","0.0-14.0","7yd9t1ql","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","191171","0.0-15.0","7yd9t1ql","","","null","","Agent B","veridical","STIM_SET_2/713920.bmp_pp76_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","191172","0.0-16.0","7yd9t1ql","","","","","","","",""
"3047.404999999999","{""judgement"":1}","[0]","survey-likert","17","194221","0.0-17.0","7yd9t1ql","","","","","","","","1"
"5944.940000000002","{""confidence"":0}","[0]","survey-likert","18","200167","0.0-18.0","7yd9t1ql","","","","","","","",""
"","","","call-function","19","200168","0.0-19.0","7yd9t1ql","","","","","","","",""
"null","","","html-keyboard-response","20","201672","0.0-20.0","7yd9t1ql","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","204740","0.0-21.0","7yd9t1ql","","","null","","Agent A","veridical","STIM_SET_2/285684.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","206242","0.0-22.0","7yd9t1ql","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","209310","0.0-23.0","7yd9t1ql","","","null","","Agent B","scrambled","STIM_SET_2/285684.bmp_pp80_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","24","209311","0.0-24.0","7yd9t1ql","","","","","","","",""
"1538.5599999999977","{""judgement"":0}","[0]","survey-likert","25","210850","0.0-25.0","7yd9t1ql","","","","","","","","0"
