"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"14314.235","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","14322","0.0-0.0","81ul4xkq","","","","","","","",""
"20231.895","","","instructions","1","34556","0.0-1.0","81ul4xkq","[{""page_index"":0,""viewing_time"":20231.34}]","","","","","","",""
"10405.265","","","instructions","2","44962","0.0-2.0","81ul4xkq","[{""page_index"":0,""viewing_time"":2965.854999999996},{""page_index"":1,""viewing_time"":1311.0450000000055},{""page_index"":2,""viewing_time"":6128.235000000001}]","","","","","","",""
"1430.7449999999953","","","instructions","3","46394","0.0-3.0","81ul4xkq","[{""page_index"":0,""viewing_time"":1430.6449999999968}]","","","","","","",""
"null","","","video-keyboard-response","4","49468","0.0-4.0","81ul4xkq","","","null","","","","",""
"8383.980000000003","","","instructions","5","57853","0.0-5.0","81ul4xkq","[{""page_index"":0,""viewing_time"":3085.6200000000026},{""page_index"":1,""viewing_time"":1580.0599999999977},{""page_index"":2,""viewing_time"":3718.2000000000044}]","","","","","","",""
"2917.449999999997","","","instructions","6","60771","0.0-6.0","81ul4xkq","[{""page_index"":0,""viewing_time"":2917.355000000003}]","","","","","","",""
"1015.6900000000023","","","instructions","7","61787","0.0-7.0","81ul4xkq","[{""page_index"":0,""viewing_time"":1015.4700000000012}]","","","","","","",""
"null","","","video-keyboard-response","8","64860","0.0-8.0","81ul4xkq","","","null","","","","",""
"4617.480000000003","","","instructions","9","69478","0.0-9.0","81ul4xkq","[{""page_index"":0,""viewing_time"":1233.9749999999985},{""page_index"":1,""viewing_time"":1210.5149999999994},{""page_index"":2,""viewing_time"":2172.8550000000105}]","","","","","","",""
"4397.639999999999","","","instructions","10","73876","0.0-10.0","81ul4xkq","[{""page_index"":0,""viewing_time"":4397.5199999999895}]","","","","","","",""
"","","","call-function","11","73876","0.0-11.0","81ul4xkq","","","","","","","",""
"null","","","html-keyboard-response","12","75378","0.0-12.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","78455","0.0-13.0","81ul4xkq","","","null","","Agent A","scrambled","STIM_SET_2/285946.bmp_pp79_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","79960","0.0-14.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","83038","0.0-15.0","81ul4xkq","","","null","","Agent B","veridical","STIM_SET_2/285946.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","83039","0.0-16.0","81ul4xkq","","","","","","","",""
"3636.5850000000064","{""judgement"":0}","[0]","survey-likert","17","86677","0.0-17.0","81ul4xkq","","","","","","","","1"
"1626.8550000000105","{""confidence"":1}","[0]","survey-likert","18","88305","0.0-18.0","81ul4xkq","","","","","","","",""
"","","","call-function","19","88305","0.0-19.0","81ul4xkq","","","","","","","",""
"null","","","html-keyboard-response","20","89810","0.0-20.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","92913","0.0-21.0","81ul4xkq","","","null","","Agent A","veridical","STIM_SET_2/1592350.bmp_pp55_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","94417","0.0-22.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","97518","0.0-23.0","81ul4xkq","","","null","","Agent B","scrambled","STIM_SET_2/1592350.bmp_pp55_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","24","97518","0.0-24.0","81ul4xkq","","","","","","","",""
"2124.7899999999936","{""judgement"":0}","[0]","survey-likert","25","99644","0.0-25.0","81ul4xkq","","","","","","","","0"
"995.3600000000006","{""confidence"":2}","[0]","survey-likert","26","100640","0.0-26.0","81ul4xkq","","","","","","","",""
"","","","call-function","27","100641","0.0-27.0","81ul4xkq","","","","","","","",""
"null","","","html-keyboard-response","28","102146","0.0-28.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","105248","0.0-29.0","81ul4xkq","","","null","","Agent A","scrambled","STIM_SET_2/713274.bmp_pp73_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","106753","0.0-30.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","109816","0.0-31.0","81ul4xkq","","","null","","Agent B","veridical","STIM_SET_2/713274.bmp_pp73_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","32","109816","0.0-32.0","81ul4xkq","","","","","","","",""
"2089.4349999999977","{""judgement"":1}","[0]","survey-likert","33","111906","0.0-33.0","81ul4xkq","","","","","","","","1"
"974.0299999999988","{""confidence"":1}","[0]","survey-likert","34","112882","0.0-34.0","81ul4xkq","","","","","","","",""
"","","","call-function","35","112882","0.0-35.0","81ul4xkq","","","","","","","",""
"null","","","html-keyboard-response","36","114385","0.0-36.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","117459","0.0-37.0","81ul4xkq","","","null","","Agent A","scrambled","STIM_SET_2/1159329.bmp_pp61_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","118962","0.0-38.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","122062","0.0-39.0","81ul4xkq","","","null","","Agent B","veridical","STIM_SET_2/1159329.bmp_pp61_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","40","122063","0.0-40.0","81ul4xkq","","","","","","","",""
"2116.3699999999953","{""judgement"":1}","[0]","survey-likert","41","124180","0.0-41.0","81ul4xkq","","","","","","","","1"
"1631.9900000000052","{""confidence"":2}","[0]","survey-likert","42","125813","0.0-42.0","81ul4xkq","","","","","","","",""
"","","","call-function","43","125814","0.0-43.0","81ul4xkq","","","","","","","",""
"null","","","html-keyboard-response","44","127315","0.0-44.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","130373","0.0-45.0","81ul4xkq","","","null","","Agent A","veridical","STIM_SET_2/1159325.bmp_pp67_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","46","131878","0.0-46.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","134946","0.0-47.0","81ul4xkq","","","null","","Agent B","scrambled","STIM_SET_2/1159325.bmp_pp67_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","48","134947","0.0-48.0","81ul4xkq","","","","","","","",""
"3435.5200000000186","{""judgement"":0}","[0]","survey-likert","49","138383","0.0-49.0","81ul4xkq","","","","","","","","0"
"1617.9300000000221","{""confidence"":1}","[0]","survey-likert","50","140002","0.0-50.0","81ul4xkq","","","","","","","",""
"","","","call-function","51","140003","0.0-51.0","81ul4xkq","","","","","","","",""
"null","","","html-keyboard-response","52","141509","0.0-52.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","53","144581","0.0-53.0","81ul4xkq","","","null","","Agent A","scrambled","STIM_SET_2/1592289.bmp_pp92_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","54","146085","0.0-54.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","55","149161","0.0-55.0","81ul4xkq","","","null","","Agent B","veridical","STIM_SET_2/1592289.bmp_pp92_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","56","149162","0.0-56.0","81ul4xkq","","","","","","","",""
"3453.274999999994","{""judgement"":1}","[0]","survey-likert","57","152617","0.0-57.0","81ul4xkq","","","","","","","","1"
"1435.5849999999919","{""confidence"":0}","[0]","survey-likert","58","154054","0.0-58.0","81ul4xkq","","","","","","","",""
"","","","call-function","59","154055","0.0-59.0","81ul4xkq","","","","","","","",""
"null","","","html-keyboard-response","60","155556","0.0-60.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","61","158633","0.0-61.0","81ul4xkq","","","null","","Agent A","veridical","STIM_SET_2/713770.bmp_pp89_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","62","160136","0.0-62.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","63","163216","0.0-63.0","81ul4xkq","","","null","","Agent B","scrambled","STIM_SET_2/713770.bmp_pp89_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","64","163216","0.0-64.0","81ul4xkq","","","","","","","",""
"1594.6749999999884","{""judgement"":1}","[0]","survey-likert","65","164812","0.0-65.0","81ul4xkq","","","","","","","","0"
"1589.2400000000198","{""confidence"":1}","[0]","survey-likert","66","166403","0.0-66.0","81ul4xkq","","","","","","","",""
"","","","call-function","67","166403","0.0-67.0","81ul4xkq","","","","","","","",""
"null","","","html-keyboard-response","68","167905","0.0-68.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","69","170972","0.0-69.0","81ul4xkq","","","null","","Agent A","scrambled","STIM_SET_2/1592150.bmp_pp77_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","70","172476","0.0-70.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","71","175571","0.0-71.0","81ul4xkq","","","null","","Agent B","veridical","STIM_SET_2/1592150.bmp_pp77_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","72","175571","0.0-72.0","81ul4xkq","","","","","","","",""
"1621.9700000000012","{""judgement"":0}","[0]","survey-likert","73","177194","0.0-73.0","81ul4xkq","","","","","","","","1"
"1711.265000000014","{""confidence"":1}","[0]","survey-likert","74","178906","0.0-74.0","81ul4xkq","","","","","","","",""
"","","","call-function","75","178908","0.0-75.0","81ul4xkq","","","","","","","",""
"null","","","html-keyboard-response","76","180411","0.0-76.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","77","183508","0.0-77.0","81ul4xkq","","","null","","Agent A","scrambled","STIM_SET_2/1592129.bmp_pp153_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","78","185014","0.0-78.0","81ul4xkq","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","79","188071","0.0-79.0","81ul4xkq","","","null","","Agent B","veridical","STIM_SET_2/1592129.bmp_pp153_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","80","188071","0.0-80.0","81ul4xkq","","","","","","","",""
"3767.1849999999977","{""judgement"":1}","[0]","survey-likert","81","191839","0.0-81.0","81ul4xkq","","","","","","","","1"
