"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"91072.485","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","91082","0.0-0.0","8fqlb0sm","","","","","","","",""
"19617.79999999999","","","instructions","1","110702","0.0-1.0","8fqlb0sm","[{""page_index"":0,""viewing_time"":19617.649999999994}]","","","","","","",""
"5714.069999999992","{""Age"":0,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","116418","0.0-2.0","8fqlb0sm","","","","","","","",""
"11247.62000000001","","","instructions","3","127666","0.0-3.0","8fqlb0sm","[{""page_index"":0,""viewing_time"":5863.560000000012},{""page_index"":1,""viewing_time"":848.0499999999884},{""page_index"":2,""viewing_time"":4535.889999999999}]","","","","","","",""
"2070.8650000000052","","","instructions","4","129738","0.0-4.0","8fqlb0sm","[{""page_index"":0,""viewing_time"":2070.7599999999948}]","","","","","","",""
"null","","","video-keyboard-response","5","132818","0.0-5.0","8fqlb0sm","","","null","","","","",""
"8009.820000000007","","","instructions","6","140828","0.0-6.0","8fqlb0sm","[{""page_index"":0,""viewing_time"":2115.110000000015},{""page_index"":1,""viewing_time"":1648.2299999999814},{""page_index"":2,""viewing_time"":4245.900000000023}]","","","","","","",""
"2093.3800000000047","","","instructions","7","142923","0.0-7.0","8fqlb0sm","[{""page_index"":0,""viewing_time"":2093.274999999994}]","","","","","","",""
"2101.1199999999953","","","instructions","8","145025","0.0-8.0","8fqlb0sm","[{""page_index"":0,""viewing_time"":2101.00999999998}]","","","","","","",""
"null","","","video-keyboard-response","9","148097","0.0-9.0","8fqlb0sm","","","null","","","","",""
"12161.400000000023","","","instructions","10","160259","0.0-10.0","8fqlb0sm","[{""page_index"":0,""viewing_time"":1127.1000000000058},{""page_index"":1,""viewing_time"":4411.25},{""page_index"":2,""viewing_time"":6622.890000000014}]","","","","","","",""
"2485.25","","","instructions","11","162745","0.0-11.0","8fqlb0sm","[{""page_index"":0,""viewing_time"":2485.139999999985}]","","","","","","",""
"","","","call-function","12","162745","0.0-12.0","8fqlb0sm","","","","","","","",""
"null","","","html-keyboard-response","13","164247","0.0-13.0","8fqlb0sm","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","167135","0.0-14.0","8fqlb0sm","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1160189.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","15","168638","0.0-15.0","8fqlb0sm","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","171499","0.0-16.0","8fqlb0sm","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1160189.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","17","171500","0.0-17.0","8fqlb0sm","","","","","","","",""
"2223.319999999978","{""judgement"":1}","[0]","survey-likert","18","173724","0.0-18.0","8fqlb0sm","","","","","","","","1"
"2572.764999999985","{""confidence"":2}","[0]","survey-likert","19","176298","0.0-19.0","8fqlb0sm","","","","","","","",""
"","","","call-function","20","176299","0.0-20.0","8fqlb0sm","","","","","","","",""
"null","","","html-keyboard-response","21","177805","0.0-21.0","8fqlb0sm","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","22","180396","0.0-22.0","8fqlb0sm","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/713633.bmp_pp58_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","23","181902","0.0-23.0","8fqlb0sm","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","24","184513","0.0-24.0","8fqlb0sm","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/713633.bmp_pp58_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
