"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"27304.19","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","27313","0.0-0.0","8q7zbw0m","","","","","","","",""
"2445.84","","","instructions","1","29761","0.0-1.0","8q7zbw0m","[{""page_index"":0,""viewing_time"":2445.6800000000003}]","","","","","","",""
"18110.765000000003","","","instructions","2","47872","0.0-2.0","8q7zbw0m","[{""page_index"":0,""viewing_time"":2086.6500000000015},{""page_index"":1,""viewing_time"":8851.045000000002},{""page_index"":2,""viewing_time"":7172.945}]","","","","","","",""
"3160.345000000001","","","instructions","3","51033","0.0-3.0","8q7zbw0m","[{""page_index"":0,""viewing_time"":3160.239999999998}]","","","","","","",""
"null","","","video-keyboard-response","4","54105","0.0-4.0","8q7zbw0m","","","null","","","","",""
"22787.655","","","instructions","5","76894","0.0-5.0","8q7zbw0m","[{""page_index"":0,""viewing_time"":4285.4749999999985},{""page_index"":1,""viewing_time"":1880.9099999999962},{""page_index"":2,""viewing_time"":995.0149999999994},{""page_index"":3,""viewing_time"":7883.025000000009},{""page_index"":4,""viewing_time"":7743.095000000001}]","","","","","","",""
"5068.380000000005","","","instructions","6","81963","0.0-6.0","8q7zbw0m","[{""page_index"":0,""viewing_time"":5068.255000000005}]","","","","","","",""
"","","","call-function","7","81963","0.0-7.0","8q7zbw0m","","","","","","","",""
"null","","","html-keyboard-response","8","83465","0.0-8.0","8q7zbw0m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","86531","0.0-9.0","8q7zbw0m","","","null","","Agent A","scrambled","STIM_SET_1/713760.bmp_pp81_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","88035","0.0-10.0","8q7zbw0m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","91098","0.0-11.0","8q7zbw0m","","","null","","Agent B","veridical","STIM_SET_1/713760.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","12","91098","0.0-12.0","8q7zbw0m","","","","","","","",""
"11663.75499999999","{""judgement"":0}","[0]","survey-likert","13","102763","0.0-13.0","8q7zbw0m","","","","","","","","1"
"1486.4349999999977","{""confidence"":1}","[0]","survey-likert","14","104251","0.0-14.0","8q7zbw0m","","","","","","","",""
"","","","call-function","15","104251","0.0-15.0","8q7zbw0m","","","","","","","",""
"null","","","html-keyboard-response","16","105755","0.0-16.0","8q7zbw0m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","108835","0.0-17.0","8q7zbw0m","","","null","","Agent A","veridical","STIM_SET_1/1159675.bmp_pp77_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","110339","0.0-18.0","8q7zbw0m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","113423","0.0-19.0","8q7zbw0m","","","null","","Agent B","scrambled","STIM_SET_1/1159675.bmp_pp77_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","113424","0.0-20.0","8q7zbw0m","","","","","","","",""
"3448.8300000000017","{""judgement"":0}","[0]","survey-likert","21","116875","0.0-21.0","8q7zbw0m","","","","","","","","0"
"1578.6399999999994","{""confidence"":2}","[0]","survey-likert","22","118455","0.0-22.0","8q7zbw0m","","","","","","","",""
"","","","call-function","23","118455","0.0-23.0","8q7zbw0m","","","","","","","",""
"null","","","html-keyboard-response","24","119962","0.0-24.0","8q7zbw0m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","123039","0.0-25.0","8q7zbw0m","","","null","","Agent A","scrambled","STIM_SET_1/498253.bmp_pp67_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","124544","0.0-26.0","8q7zbw0m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","127664","0.0-27.0","8q7zbw0m","","","null","","Agent B","veridical","STIM_SET_1/498253.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","28","127664","0.0-28.0","8q7zbw0m","","","","","","","",""
"2326.804999999993","{""judgement"":0}","[0]","survey-likert","29","129992","0.0-29.0","8q7zbw0m","","","","","","","","1"
"3320.145000000004","{""confidence"":3}","[0]","survey-likert","30","133313","0.0-30.0","8q7zbw0m","","","","","","","",""
"","","","call-function","31","133314","0.0-31.0","8q7zbw0m","","","","","","","",""
"null","","","html-keyboard-response","32","134817","0.0-32.0","8q7zbw0m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","137935","0.0-33.0","8q7zbw0m","","","null","","Agent A","veridical","STIM_SET_1/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","139441","0.0-34.0","8q7zbw0m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","142518","0.0-35.0","8q7zbw0m","","","null","","Agent B","scrambled","STIM_SET_1/1592499.bmp_pp96_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","36","142519","0.0-36.0","8q7zbw0m","","","","","","","",""
"2027.6849999999977","{""judgement"":0}","[0]","survey-likert","37","144547","0.0-37.0","8q7zbw0m","","","","","","","","0"
"1091.9250000000175","{""confidence"":2}","[0]","survey-likert","38","145641","0.0-38.0","8q7zbw0m","","","","","","","",""
"","","","call-function","39","145642","0.0-39.0","8q7zbw0m","","","","","","","",""
"null","","","html-keyboard-response","40","147145","0.0-40.0","8q7zbw0m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","150213","0.0-41.0","8q7zbw0m","","","null","","Agent A","scrambled","STIM_SET_1/1592817.bmp_pp55_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
