"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"12234.195","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","12244","0.0-0.0","91acsgym","","","","","","","",""
"13907.635","","","instructions","1","26153","0.0-1.0","91acsgym","[{""page_index"":0,""viewing_time"":13907.085000000001}]","","","","","","",""
"8786.654999999999","","","instructions","2","34941","0.0-2.0","91acsgym","[{""page_index"":0,""viewing_time"":1920.9500000000007},{""page_index"":1,""viewing_time"":1127.0400000000009},{""page_index"":2,""viewing_time"":5737.744999999999}]","","","","","","",""
"1837.5449999999983","","","instructions","3","36779","0.0-3.0","91acsgym","[{""page_index"":0,""viewing_time"":1836.6549999999988}]","","","","","","",""
"null","","","video-keyboard-response","4","39854","0.0-4.0","91acsgym","","","null","","","","",""
"5652.659999999996","","","instructions","5","45508","0.0-5.0","91acsgym","[{""page_index"":0,""viewing_time"":1931.8399999999965},{""page_index"":1,""viewing_time"":471.8400000000038},{""page_index"":2,""viewing_time"":1823.9300000000003},{""page_index"":1,""viewing_time"":856.0049999999974},{""page_index"":2,""viewing_time"":568.2200000000012}]","","","","","","",""
"2407.3150000000023","","","instructions","6","47915","0.0-6.0","91acsgym","[{""page_index"":0,""viewing_time"":2406.5149999999994}]","","","","","","",""
"943.4249999999956","","","instructions","7","48859","0.0-7.0","91acsgym","[{""page_index"":0,""viewing_time"":942.5249999999942}]","","","","","","",""
"null","","","video-keyboard-response","8","51937","0.0-8.0","91acsgym","","","null","","","","",""
"8649.534999999996","","","instructions","9","60587","0.0-9.0","91acsgym","[{""page_index"":0,""viewing_time"":720.625},{""page_index"":1,""viewing_time"":3536.149999999994},{""page_index"":2,""viewing_time"":4391.875}]","","","","","","",""
"1103.375","","","instructions","10","61691","0.0-10.0","91acsgym","[{""page_index"":0,""viewing_time"":1102.5699999999997}]","","","","","","",""
"","","","call-function","11","61692","0.0-11.0","91acsgym","","","","","","","",""
"1189.6449999999968","","","html-keyboard-response","12","62883","0.0-12.0","91acsgym","","<span style=""color:Black; font-size:50px;"">Agent A","39","","","","",""
