"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"18645.065","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","18653","0.0-0.0","9afnfr99","","","","","","","",""
"160917.075","","","instructions","1","179571","0.0-1.0","9afnfr99","[{""page_index"":0,""viewing_time"":160916.92500000002}]","","","","","","",""
"14112.270000000019","","","instructions","2","193684","0.0-2.0","9afnfr99","[{""page_index"":0,""viewing_time"":6538.920000000013},{""page_index"":1,""viewing_time"":1451.8550000000105},{""page_index"":2,""viewing_time"":6121.375}]","","","","","","",""
"2371.5449999999837","","","instructions","3","196056","0.0-3.0","9afnfr99","[{""page_index"":0,""viewing_time"":2371.414999999979}]","","","","","","",""
"null","","","video-keyboard-response","4","199133","0.0-4.0","9afnfr99","","","null","","","","",""
"6358.729999999981","","","instructions","5","205492","0.0-5.0","9afnfr99","[{""page_index"":0,""viewing_time"":2213.8399999999965},{""page_index"":1,""viewing_time"":91.06500000000233},{""page_index"":2,""viewing_time"":4053.720000000001}]","","","","","","",""
"2785.6849999999977","","","instructions","6","208278","0.0-6.0","9afnfr99","[{""page_index"":0,""viewing_time"":2785.5800000000163}]","","","","","","",""
"1191.789999999979","","","instructions","7","209470","0.0-7.0","9afnfr99","[{""page_index"":0,""viewing_time"":1191.5}]","","","","","","",""
"null","","","video-keyboard-response","8","212542","0.0-8.0","9afnfr99","","","null","","","","",""
"25053.160000000003","","","instructions","9","237596","0.0-9.0","9afnfr99","[{""page_index"":0,""viewing_time"":1099.125},{""page_index"":1,""viewing_time"":3946.8699999999953},{""page_index"":2,""viewing_time"":20007.03}]","","","","","","",""
"2681.649999999994","","","instructions","10","240278","0.0-10.0","9afnfr99","[{""page_index"":0,""viewing_time"":2681.529999999999}]","","","","","","",""
"","","","call-function","11","240279","0.0-11.0","9afnfr99","","","","","","","",""
"null","","","html-keyboard-response","12","241784","0.0-12.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","244859","0.0-13.0","9afnfr99","","","null","","Agent A","veridical","STIM_SET_2_144/498372.bmp_pp95_L2_V1_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","14","246363","0.0-14.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","249439","0.0-15.0","9afnfr99","","","null","","Agent B","scrambled","STIM_SET_5/498372.bmp_pp95_L2_V1_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","16","249439","0.0-16.0","9afnfr99","","","","","","","",""
"2724.8150000000023","{""judgement"":1}","[0]","survey-likert","17","252165","0.0-17.0","9afnfr99","","","","","","","","0"
"2966.1849999999977","{""confidence"":2}","[0]","survey-likert","18","255133","0.0-18.0","9afnfr99","","","","","","","",""
"","","","call-function","19","255133","0.0-19.0","9afnfr99","","","","","","","",""
"null","","","html-keyboard-response","20","256637","0.0-20.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","259807","0.0-21.0","9afnfr99","","","null","","Agent A","scrambled","STIM_SET_5/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","22","261310","0.0-22.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","264379","0.0-23.0","9afnfr99","","","null","","Agent B","veridical","STIM_SET_2_144/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","24","264380","0.0-24.0","9afnfr99","","","","","","","",""
"3948.6450000000186","{""judgement"":0}","[0]","survey-likert","25","268329","0.0-25.0","9afnfr99","","","","","","","","1"
"2543.2750000000233","{""confidence"":1}","[0]","survey-likert","26","270873","0.0-26.0","9afnfr99","","","","","","","",""
"","","","call-function","27","270874","0.0-27.0","9afnfr99","","","","","","","",""
"null","","","html-keyboard-response","28","272379","0.0-28.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","275470","0.0-29.0","9afnfr99","","","null","","Agent A","scrambled","STIM_SET_5/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","30","276976","0.0-30.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","280038","0.0-31.0","9afnfr99","","","null","","Agent B","veridical","STIM_SET_2_144/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","32","280038","0.0-32.0","9afnfr99","","","","","","","",""
"4345.289999999979","{""judgement"":1}","[0]","survey-likert","33","284384","0.0-33.0","9afnfr99","","","","","","","","1"
"2669.4099999999744","{""confidence"":1}","[0]","survey-likert","34","287054","0.0-34.0","9afnfr99","","","","","","","",""
"","","","call-function","35","287055","0.0-35.0","9afnfr99","","","","","","","",""
"null","","","html-keyboard-response","36","288557","0.0-36.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","291661","0.0-37.0","9afnfr99","","","null","","Agent A","veridical","STIM_SET_2_144/713790.bmp_pp100_L3_V1_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","38","293163","0.0-38.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","296274","0.0-39.0","9afnfr99","","","null","","Agent B","scrambled","STIM_SET_5/713790.bmp_pp100_L3_V1_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","40","296274","0.0-40.0","9afnfr99","","","","","","","",""
"2366.475000000035","{""judgement"":1}","[0]","survey-likert","41","298642","0.0-41.0","9afnfr99","","","","","","","","0"
"1793.0599999999977","{""confidence"":2}","[0]","survey-likert","42","300436","0.0-42.0","9afnfr99","","","","","","","",""
"","","","call-function","43","300436","0.0-43.0","9afnfr99","","","","","","","",""
"null","","","html-keyboard-response","44","301940","0.0-44.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","305001","0.0-45.0","9afnfr99","","","null","","Agent A","veridical","STIM_SET_2_144/1592857.bmp_pp52_L1_V1_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","46","306508","0.0-46.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","309571","0.0-47.0","9afnfr99","","","null","","Agent B","scrambled","STIM_SET_5/1592857.bmp_pp52_L1_V1_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","48","309571","0.0-48.0","9afnfr99","","","","","","","",""
"2626.5299999999697","{""judgement"":1}","[0]","survey-likert","49","312199","0.0-49.0","9afnfr99","","","","","","","","0"
"1710.1699999999837","{""confidence"":2}","[0]","survey-likert","50","313910","0.0-50.0","9afnfr99","","","","","","","",""
"","","","call-function","51","313911","0.0-51.0","9afnfr99","","","","","","","",""
"null","","","html-keyboard-response","52","315413","0.0-52.0","9afnfr99","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
