"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"60301.145","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","60309","0.0-0.0","9hc6u1hw","","","","","","","",""
"8929.824999999997","","","instructions","1","69240","0.0-1.0","9hc6u1hw","[{""page_index"":0,""viewing_time"":8929.660000000003}]","","","","","","",""
"6521.25","{""Age"":12,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","75764","0.0-2.0","9hc6u1hw","","","","","","","",""
"7094.87999999999","","","instructions","3","82859","0.0-3.0","9hc6u1hw","[{""page_index"":0,""viewing_time"":3637.7999999999884},{""page_index"":1,""viewing_time"":1529.87000000001},{""page_index"":2,""viewing_time"":1927.0800000000017}]","","","","","","",""
"2302.4900000000052","","","instructions","4","85163","0.0-4.0","9hc6u1hw","[{""page_index"":0,""viewing_time"":2302.3899999999994}]","","","","","","",""
"null","","","video-keyboard-response","5","88237","0.0-5.0","9hc6u1hw","","","null","","","","",""
"3426.1900000000023","","","instructions","6","91664","0.0-6.0","9hc6u1hw","[{""page_index"":0,""viewing_time"":1175.0100000000093},{""page_index"":1,""viewing_time"":961},{""page_index"":2,""viewing_time"":1290.074999999997}]","","","","","","",""
"4696.845000000001","","","instructions","7","96362","0.0-7.0","9hc6u1hw","[{""page_index"":0,""viewing_time"":4696.735000000001}]","","","","","","",""
"915.1600000000035","","","instructions","8","97278","0.0-8.0","9hc6u1hw","[{""page_index"":0,""viewing_time"":914.9400000000023}]","","","","","","",""
"null","","","video-keyboard-response","9","100349","0.0-9.0","9hc6u1hw","","","null","","","","",""
"4709.459999999992","","","instructions","10","105059","0.0-10.0","9hc6u1hw","[{""page_index"":0,""viewing_time"":1094.4949999999953},{""page_index"":1,""viewing_time"":1509.300000000003},{""page_index"":2,""viewing_time"":2105.5350000000035}]","","","","","","",""
"3676.100000000006","","","instructions","11","108736","0.0-11.0","9hc6u1hw","[{""page_index"":0,""viewing_time"":3675.9850000000006}]","","","","","","",""
"","","","call-function","12","108737","0.0-12.0","9hc6u1hw","","","","","","","",""
"null","","","html-keyboard-response","13","110243","0.0-13.0","9hc6u1hw","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","113056","0.0-14.0","9hc6u1hw","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1159508.bmp_pp151_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","15","114561","0.0-15.0","9hc6u1hw","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","117374","0.0-16.0","9hc6u1hw","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1159508.bmp_pp151_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
