"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"33377.075","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","33384","0.0-0.0","9qycu3ld","","","","","","","",""
"2365.7350000000006","","","instructions","1","35752","0.0-1.0","9qycu3ld","[{""page_index"":0,""viewing_time"":2365.5550000000003}]","","","","","","",""
"3575.9349999999977","","","instructions","2","39328","0.0-2.0","9qycu3ld","[{""page_index"":0,""viewing_time"":1723.5699999999997},{""page_index"":1,""viewing_time"":824.2599999999948},{""page_index"":2,""viewing_time"":1027.9800000000032}]","","","","","","",""
"901.3550000000032","","","instructions","3","40230","0.0-3.0","9qycu3ld","[{""page_index"":0,""viewing_time"":901.2450000000026}]","","","","","","",""
"null","","","video-keyboard-response","4","43305","0.0-4.0","9qycu3ld","","","null","","","","",""
"4033.8800000000047","","","instructions","5","47340","0.0-5.0","9qycu3ld","[{""page_index"":0,""viewing_time"":829.1450000000041},{""page_index"":1,""viewing_time"":48.06999999999971},{""page_index"":2,""viewing_time"":3156.5599999999977}]","","","","","","",""
"1457.8099999999977","","","instructions","6","48798","0.0-6.0","9qycu3ld","[{""page_index"":0,""viewing_time"":1457.699999999997}]","","","","","","",""
"836.4750000000058","","","instructions","7","49635","0.0-7.0","9qycu3ld","[{""page_index"":0,""viewing_time"":836.2550000000047}]","","","","","","",""
"null","","","video-keyboard-response","8","52709","0.0-8.0","9qycu3ld","","","null","","","","",""
"4732.905000000006","","","instructions","9","57443","0.0-9.0","9qycu3ld","[{""page_index"":0,""viewing_time"":948.2150000000038},{""page_index"":1,""viewing_time"":1936.4949999999953},{""page_index"":2,""viewing_time"":1848.0650000000023}]","","","","","","",""
