"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"247397.20500000002","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","247405","0.0-0.0","9v82yq1m","","","","","","","",""
"137696.31999999998","","","instructions","1","385103","0.0-1.0","9v82yq1m","[{""page_index"":0,""viewing_time"":137695.68499999997}]","","","","","","",""
"14439.450000000012","","","instructions","2","399544","0.0-2.0","9v82yq1m","[{""page_index"":0,""viewing_time"":1252.554999999993},{""page_index"":1,""viewing_time"":4904.330000000016},{""page_index"":2,""viewing_time"":8282.445000000007}]","","","","","","",""
"72244.40000000002","","","instructions","3","471790","0.0-3.0","9v82yq1m","[{""page_index"":0,""viewing_time"":72244.26000000001}]","","","","","","",""
"null","","","video-keyboard-response","4","474864","0.0-4.0","9v82yq1m","","","null","","","","",""
"21156.255000000005","","","instructions","5","496021","0.0-5.0","9v82yq1m","[{""page_index"":0,""viewing_time"":3421.414999999979},{""page_index"":1,""viewing_time"":6340.680000000051},{""page_index"":2,""viewing_time"":1774.234999999986},{""page_index"":3,""viewing_time"":4659.705000000016},{""page_index"":4,""viewing_time"":4960.065000000002}]","","","","","","",""
"3682.1600000000326","","","instructions","6","499704","0.0-6.0","9v82yq1m","[{""page_index"":0,""viewing_time"":3682.054999999993}]","","","","","","",""
"","","","call-function","7","499705","0.0-7.0","9v82yq1m","","","","","","","",""
"null","","","html-keyboard-response","8","501210","0.0-8.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","504030","0.0-9.0","9v82yq1m","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592807.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","505532","0.0-10.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","508353","0.0-11.0","9v82yq1m","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592807.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","12","508354","0.0-12.0","9v82yq1m","","","","","","","",""
"3597.679999999993","{""judgement"":0}","[0]","survey-likert","13","511952","0.0-13.0","9v82yq1m","","","","","","","","0"
"4888.924999999988","{""confidence"":2}","[0]","survey-likert","14","516843","0.0-14.0","9v82yq1m","","","","","","","",""
"","","","call-function","15","516843","0.0-15.0","9v82yq1m","","","","","","","",""
"null","","","html-keyboard-response","16","518346","0.0-16.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","521142","0.0-17.0","9v82yq1m","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/713666.bmp_pp97_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","522647","0.0-18.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","525485","0.0-19.0","9v82yq1m","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/713666.bmp_pp97_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","525485","0.0-20.0","9v82yq1m","","","","","","","",""
"2524.6600000000326","{""judgement"":0}","[0]","survey-likert","21","528012","0.0-21.0","9v82yq1m","","","","","","","","0"
"2231.835000000079","{""confidence"":1}","[0]","survey-likert","22","530245","0.0-22.0","9v82yq1m","","","","","","","",""
"","","","call-function","23","530245","0.0-23.0","9v82yq1m","","","","","","","",""
"null","","","html-keyboard-response","24","531750","0.0-24.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","534538","0.0-25.0","9v82yq1m","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","26","536042","0.0-26.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","538806","0.0-27.0","9v82yq1m","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","538806","0.0-28.0","9v82yq1m","","","","","","","",""
"4618.280000000028","{""judgement"":1}","[0]","survey-likert","29","543425","0.0-29.0","9v82yq1m","","","","","","","","1"
"2210.2399999999907","{""confidence"":1}","[0]","survey-likert","30","545637","0.0-30.0","9v82yq1m","","","","","","","",""
"","","","call-function","31","545637","0.0-31.0","9v82yq1m","","","","","","","",""
"null","","","html-keyboard-response","32","547139","0.0-32.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","549865","0.0-33.0","9v82yq1m","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","551369","0.0-34.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","554093","0.0-35.0","9v82yq1m","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","36","554093","0.0-36.0","9v82yq1m","","","","","","","",""
"2069.420000000042","{""judgement"":0}","[0]","survey-likert","37","556163","0.0-37.0","9v82yq1m","","","","","","","","0"
"2438.4850000001024","{""confidence"":2}","[0]","survey-likert","38","558603","0.0-38.0","9v82yq1m","","","","","","","",""
"","","","call-function","39","558603","0.0-39.0","9v82yq1m","","","","","","","",""
"null","","","html-keyboard-response","40","560107","0.0-40.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","562922","0.0-41.0","9v82yq1m","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159829.bmp_pp91_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","42","564428","0.0-42.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","567211","0.0-43.0","9v82yq1m","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1159829.bmp_pp91_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","44","567212","0.0-44.0","9v82yq1m","","","","","","","",""
"2188.0999999999767","{""judgement"":0}","[0]","survey-likert","45","569401","0.0-45.0","9v82yq1m","","","","","","","","0"
"1987.9449999999488","{""confidence"":3}","[0]","survey-likert","46","571389","0.0-46.0","9v82yq1m","","","","","","","",""
"","","","call-function","47","571390","0.0-47.0","9v82yq1m","","","","","","","",""
"null","","","html-keyboard-response","48","572894","0.0-48.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","575692","0.0-49.0","9v82yq1m","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592362.bmp_pp95_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","50","577195","0.0-50.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","580017","0.0-51.0","9v82yq1m","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592362.bmp_pp95_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","52","580018","0.0-52.0","9v82yq1m","","","","","","","",""
"2843.319999999949","{""judgement"":1}","[0]","survey-likert","53","582862","0.0-53.0","9v82yq1m","","","","","","","","1"
"1439.5","{""confidence"":1}","[0]","survey-likert","54","584302","0.0-54.0","9v82yq1m","","","","","","","",""
"","","","call-function","55","584303","0.0-55.0","9v82yq1m","","","","","","","",""
"null","","","html-keyboard-response","56","585807","0.0-56.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","588620","0.0-57.0","9v82yq1m","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1159882.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","58","590123","0.0-58.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","592979","0.0-59.0","9v82yq1m","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1159882.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","60","592980","0.0-60.0","9v82yq1m","","","","","","","",""
"4546.045000000042","{""judgement"":1}","[0]","survey-likert","61","597528","0.0-61.0","9v82yq1m","","","","","","","","1"
"1402.890000000014","{""confidence"":1}","[0]","survey-likert","62","598932","0.0-62.0","9v82yq1m","","","","","","","",""
"","","","call-function","63","598933","0.0-63.0","9v82yq1m","","","","","","","",""
"null","","","html-keyboard-response","64","600434","0.0-64.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","603211","0.0-65.0","9v82yq1m","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/713135.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","66","604717","0.0-66.0","9v82yq1m","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","607489","0.0-67.0","9v82yq1m","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/713135.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
