"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"7884.135","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","7893","0.0-0.0","9wfg8atd","","","","","","","",""
"10580.53","","","instructions","1","18475","0.0-1.0","9wfg8atd","[{""page_index"":0,""viewing_time"":10579.980000000001}]","","","","","","",""
"7827.755000000001","","","instructions","2","26304","0.0-2.0","9wfg8atd","[{""page_index"":0,""viewing_time"":4289.805},{""page_index"":1,""viewing_time"":1902.8950000000004},{""page_index"":2,""viewing_time"":1634.9350000000013}]","","","","","","",""
"3181.994999999999","","","instructions","3","29487","0.0-3.0","9wfg8atd","[{""page_index"":0,""viewing_time"":3181.8899999999994}]","","","","","","",""
"null","","","video-keyboard-response","4","32560","0.0-4.0","9wfg8atd","","","null","","","","",""
"47623.369999999995","","","instructions","5","80184","0.0-5.0","9wfg8atd","[{""page_index"":0,""viewing_time"":41027.295},{""page_index"":1,""viewing_time"":3779.029999999999},{""page_index"":2,""viewing_time"":2816.9349999999977}]","","","","","","",""
"2113.6500000000087","","","instructions","6","82298","0.0-6.0","9wfg8atd","[{""page_index"":0,""viewing_time"":2113.550000000003}]","","","","","","",""
"3113.7050000000017","","","instructions","7","85412","0.0-7.0","9wfg8atd","[{""page_index"":0,""viewing_time"":3113.49500000001}]","","","","","","",""
"null","","","video-keyboard-response","8","88488","0.0-8.0","9wfg8atd","","","null","","","","",""
"12154.015","","","instructions","9","100642","0.0-9.0","9wfg8atd","[{""page_index"":0,""viewing_time"":1321.0399999999936},{""page_index"":1,""viewing_time"":2792.965000000011},{""page_index"":2,""viewing_time"":8039.875}]","","","","","","",""
"2120.6699999999983","","","instructions","10","102763","0.0-10.0","9wfg8atd","[{""page_index"":0,""viewing_time"":2120.5550000000076}]","","","","","","",""
"","","","call-function","11","102764","0.0-11.0","9wfg8atd","","","","","","","",""
"null","","","html-keyboard-response","12","104271","0.0-12.0","9wfg8atd","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","107338","0.0-13.0","9wfg8atd","","","null","","Agent A","veridical","STIM_SET_2_144/1592201.bmp_pp97_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","14","108845","0.0-14.0","9wfg8atd","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","111914","0.0-15.0","9wfg8atd","","","null","","Agent B","scrambled","STIM_SET_5/1592201.bmp_pp97_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","16","111914","0.0-16.0","9wfg8atd","","","","","","","",""
"2827.7750000000087","{""judgement"":0}","[0]","survey-likert","17","114743","0.0-17.0","9wfg8atd","","","","","","","","0"
"1078.929999999993","{""confidence"":0}","[0]","survey-likert","18","115823","0.0-18.0","9wfg8atd","","","","","","","",""
"","","","call-function","19","115824","0.0-19.0","9wfg8atd","","","","","","","",""
"null","","","html-keyboard-response","20","117327","0.0-20.0","9wfg8atd","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","120407","0.0-21.0","9wfg8atd","","","null","","Agent A","scrambled","STIM_SET_5/1160247.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","22","121913","0.0-22.0","9wfg8atd","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
