"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"13694.17","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","13708","0.0-0.0","affmy50w","","","","","","","",""
"22649.980000000003","","","instructions","1","36361","0.0-1.0","affmy50w","[{""page_index"":0,""viewing_time"":22649.355000000003}]","","","","","","",""
"9349.745000000003","","","instructions","2","45713","0.0-2.0","affmy50w","[{""page_index"":0,""viewing_time"":5251.635000000002},{""page_index"":1,""viewing_time"":1405.9449999999997},{""page_index"":2,""viewing_time"":2692.029999999999}]","","","","","","",""
"2312.209999999999","","","instructions","3","48027","0.0-3.0","affmy50w","[{""page_index"":0,""viewing_time"":2312.0799999999945}]","","","","","","",""
"null","","","video-keyboard-response","4","51109","0.0-4.0","affmy50w","","","null","","","","",""
"8841.050000000003","","","instructions","5","59951","0.0-5.0","affmy50w","[{""page_index"":0,""viewing_time"":3381.875},{""page_index"":1,""viewing_time"":1748},{""page_index"":2,""viewing_time"":3711.0599999999977}]","","","","","","",""
"2674.739999999998","","","instructions","6","62627","0.0-6.0","affmy50w","[{""page_index"":0,""viewing_time"":2674.635000000002}]","","","","","","",""
"1176.824999999997","","","instructions","7","63805","0.0-7.0","affmy50w","[{""page_index"":0,""viewing_time"":1176.5800000000017}]","","","","","","",""
"null","","","video-keyboard-response","8","66884","0.0-8.0","affmy50w","","","null","","","","",""
"7705.514999999999","","","instructions","9","74590","0.0-9.0","affmy50w","[{""page_index"":0,""viewing_time"":1635.854999999996},{""page_index"":1,""viewing_time"":1911.5050000000047},{""page_index"":2,""viewing_time"":4158.005000000005}]","","","","","","",""
"2889.925000000003","","","instructions","10","77481","0.0-10.0","affmy50w","[{""page_index"":0,""viewing_time"":2889.790000000008}]","","","","","","",""
"","","","call-function","11","77483","0.0-11.0","affmy50w","","","","","","","",""
"null","","","html-keyboard-response","12","78986","0.0-12.0","affmy50w","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","81824","0.0-13.0","affmy50w","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/498261.bmp_pp84_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","14","83327","0.0-14.0","affmy50w","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","86298","0.0-15.0","affmy50w","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/498261.bmp_pp84_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","86300","0.0-16.0","affmy50w","","","","","","","",""
"3213.675000000003","{""judgement"":1}","[0]","survey-likert","17","89515","0.0-17.0","affmy50w","","","","","","","","1"
