"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"1244801.02","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","1244812","0.0-0.0","arkbs5zx","","","","","","","",""
"1332.6100000001024","","","instructions","1","1246146","0.0-1.0","arkbs5zx","[{""page_index"":0,""viewing_time"":1332.405000000028}]","","","","","","",""
"8274.929999999935","","","instructions","2","1254421","0.0-2.0","arkbs5zx","[{""page_index"":0,""viewing_time"":1415.7900000000373},{""page_index"":1,""viewing_time"":4612.97499999986},{""page_index"":2,""viewing_time"":2246.0450000001583}]","","","","","","",""
"1669.4000000001397","","","instructions","3","1256091","0.0-3.0","arkbs5zx","[{""page_index"":0,""viewing_time"":1669.2950000001583}]","","","","","","",""
"null","","","video-keyboard-response","4","1259163","0.0-4.0","arkbs5zx","","","null","","","","",""
"10450.005000000121","","","instructions","5","1269613","0.0-5.0","arkbs5zx","[{""page_index"":0,""viewing_time"":2121.8900000001304},{""page_index"":1,""viewing_time"":1300.3899999998976},{""page_index"":2,""viewing_time"":605.5500000000466},{""page_index"":3,""viewing_time"":3844.530000000028},{""page_index"":4,""viewing_time"":2577.5100000000093}]","","","","","","",""
"2986.064999999944","","","instructions","6","1272600","0.0-6.0","arkbs5zx","[{""page_index"":0,""viewing_time"":2985.9150000000373}]","","","","","","",""
"","","","call-function","7","1272600","0.0-7.0","arkbs5zx","","","","","","","",""
"null","","","html-keyboard-response","8","1274107","0.0-8.0","arkbs5zx","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","1276990","0.0-9.0","arkbs5zx","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1593035.bmp_pp94_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","10","1278491","0.0-10.0","arkbs5zx","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","1281370","0.0-11.0","arkbs5zx","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1593035.bmp_pp94_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","1281370","0.0-12.0","arkbs5zx","","","","","","","",""
"1145.530000000028","{""judgement"":0}","[0]","survey-likert","13","1282517","0.0-13.0","arkbs5zx","","","","","","","","1"
"1601.4499999999534","{""confidence"":3}","[0]","survey-likert","14","1284120","0.0-14.0","arkbs5zx","","","","","","","",""
"","","","call-function","15","1284120","0.0-15.0","arkbs5zx","","","","","","","",""
"null","","","html-keyboard-response","16","1285623","0.0-16.0","arkbs5zx","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","1288393","0.0-17.0","arkbs5zx","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","1289899","0.0-18.0","arkbs5zx","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","1292654","0.0-19.0","arkbs5zx","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","1292655","0.0-20.0","arkbs5zx","","","","","","","",""
