"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"160243.315","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","160251","0.0-0.0","awlqeo5d","","","","","","","",""
"29854.639999999985","","","instructions","1","190107","0.0-1.0","awlqeo5d","[{""page_index"":0,""viewing_time"":29854.48999999999}]","","","","","","",""
"20177.73000000001","","","instructions","2","210286","0.0-2.0","awlqeo5d","[{""page_index"":0,""viewing_time"":13238.915000000008},{""page_index"":1,""viewing_time"":1798.8500000000058},{""page_index"":2,""viewing_time"":5139.779999999999}]","","","","","","",""
"4480.795000000013","","","instructions","3","214767","0.0-3.0","awlqeo5d","[{""page_index"":0,""viewing_time"":4480.684999999998}]","","","","","","",""
"null","","","video-keyboard-response","4","217841","0.0-4.0","awlqeo5d","","","null","","","","",""
"11755.550000000017","","","instructions","5","229597","0.0-5.0","awlqeo5d","[{""page_index"":0,""viewing_time"":3407.5500000000175},{""page_index"":1,""viewing_time"":5006.984999999986},{""page_index"":2,""viewing_time"":3340.9100000000035}]","","","","","","",""
"4620.424999999988","","","instructions","6","234218","0.0-6.0","awlqeo5d","[{""page_index"":0,""viewing_time"":4620.325000000012}]","","","","","","",""
"1354.9049999999988","","","instructions","7","235573","0.0-7.0","awlqeo5d","[{""page_index"":0,""viewing_time"":1354.6849999999977}]","","","","","","",""
"null","","","video-keyboard-response","8","238646","0.0-8.0","awlqeo5d","","","null","","","","",""
"17012.070000000007","","","instructions","9","255659","0.0-9.0","awlqeo5d","[{""page_index"":0,""viewing_time"":2884},{""page_index"":1,""viewing_time"":5168.455000000016},{""page_index"":2,""viewing_time"":8958.979999999981}]","","","","","","",""
"6774.350000000006","","","instructions","10","262434","0.0-10.0","awlqeo5d","[{""page_index"":0,""viewing_time"":6774.24000000002}]","","","","","","",""
"","","","call-function","11","262435","0.0-11.0","awlqeo5d","","","","","","","",""
"null","","","html-keyboard-response","12","263939","0.0-12.0","awlqeo5d","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","267007","0.0-13.0","awlqeo5d","","","null","","Agent A","veridical","STIM_SET_2_144/498396.bmp_pp99_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","14","268511","0.0-14.0","awlqeo5d","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","271577","0.0-15.0","awlqeo5d","","","null","","Agent B","scrambled","STIM_SET_5/498396.bmp_pp99_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","16","271577","0.0-16.0","awlqeo5d","","","","","","","",""
"3753.1300000000047","{""judgement"":1}","[0]","survey-likert","17","275332","0.0-17.0","awlqeo5d","","","","","","","","0"
"4231.084999999963","{""confidence"":2}","[0]","survey-likert","18","279564","0.0-18.0","awlqeo5d","","","","","","","",""
"","","","call-function","19","279564","0.0-19.0","awlqeo5d","","","","","","","",""
"null","","","html-keyboard-response","20","281069","0.0-20.0","awlqeo5d","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","284133","0.0-21.0","awlqeo5d","","","null","","Agent A","scrambled","STIM_SET_5/1159860.bmp_pp152_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","22","285637","0.0-22.0","awlqeo5d","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","288701","0.0-23.0","awlqeo5d","","","null","","Agent B","veridical","STIM_SET_2_144/1159860.bmp_pp152_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","24","288701","0.0-24.0","awlqeo5d","","","","","","","",""
"3336.2700000000186","{""judgement"":1}","[0]","survey-likert","25","292038","0.0-25.0","awlqeo5d","","","","","","","","1"
"3242.585000000021","{""confidence"":0}","[0]","survey-likert","26","295282","0.0-26.0","awlqeo5d","","","","","","","",""
"","","","call-function","27","295282","0.0-27.0","awlqeo5d","","","","","","","",""
"null","","","html-keyboard-response","28","296784","0.0-28.0","awlqeo5d","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","299881","0.0-29.0","awlqeo5d","","","null","","Agent A","veridical","STIM_SET_2_144/713633.bmp_pp58_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","30","301387","0.0-30.0","awlqeo5d","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","304478","0.0-31.0","awlqeo5d","","","null","","Agent B","scrambled","STIM_SET_5/713633.bmp_pp58_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","32","304478","0.0-32.0","awlqeo5d","","","","","","","",""
"2502.3550000000396","{""judgement"":0}","[0]","survey-likert","33","306981","0.0-33.0","awlqeo5d","","","","","","","","0"
"2202.579999999958","{""confidence"":1}","[0]","survey-likert","34","309185","0.0-34.0","awlqeo5d","","","","","","","",""
"","","","call-function","35","309185","0.0-35.0","awlqeo5d","","","","","","","",""
"null","","","html-keyboard-response","36","310688","0.0-36.0","awlqeo5d","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","313763","0.0-37.0","awlqeo5d","","","null","","Agent A","veridical","STIM_SET_2_144/1159427.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","38","315267","0.0-38.0","awlqeo5d","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","318343","0.0-39.0","awlqeo5d","","","null","","Agent B","scrambled","STIM_SET_5/1159427.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","40","318343","0.0-40.0","awlqeo5d","","","","","","","",""
"2852.5800000000163","{""judgement"":1}","[0]","survey-likert","41","321196","0.0-41.0","awlqeo5d","","","","","","","","0"
