"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"14613.535","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","14622","0.0-0.0","ayhrbqjc","","","","","","","",""
"39974.86","","","instructions","1","54599","0.0-1.0","ayhrbqjc","[{""page_index"":0,""viewing_time"":39974.31}]","","","","","","",""
"8020.559999999998","","","instructions","2","62621","0.0-2.0","ayhrbqjc","[{""page_index"":0,""viewing_time"":2761.415000000001},{""page_index"":1,""viewing_time"":3314.0999999999985},{""page_index"":2,""viewing_time"":1944.9049999999988}]","","","","","","",""
"2623.8899999999994","","","instructions","3","65245","0.0-3.0","ayhrbqjc","[{""page_index"":0,""viewing_time"":2623.784999999996}]","","","","","","",""
"null","","","video-keyboard-response","4","68321","0.0-4.0","ayhrbqjc","","","null","","","","",""
"17637.40000000001","","","instructions","5","85959","0.0-5.0","ayhrbqjc","[{""page_index"":0,""viewing_time"":1796.5800000000017},{""page_index"":1,""viewing_time"":3647.9400000000023},{""page_index"":2,""viewing_time"":1056.675000000003},{""page_index"":3,""viewing_time"":6774.934999999998},{""page_index"":4,""viewing_time"":4361.139999999999}]","","","","","","",""
"5013.675000000003","","","instructions","6","90974","0.0-6.0","ayhrbqjc","[{""page_index"":0,""viewing_time"":5013.550000000003}]","","","","","","",""
"","","","call-function","7","90974","0.0-7.0","ayhrbqjc","","","","","","","",""
"null","","","html-keyboard-response","8","92481","0.0-8.0","ayhrbqjc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","95558","0.0-9.0","ayhrbqjc","","","null","","Agent A","scrambled","STIM_SET_1/285905.bmp_pp57_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","97063","0.0-10.0","ayhrbqjc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","100138","0.0-11.0","ayhrbqjc","","","null","","Agent B","veridical","STIM_SET_1/285905.bmp_pp57_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","12","100138","0.0-12.0","ayhrbqjc","","","","","","","",""
"2638.949999999997","{""judgement"":1}","[0]","survey-likert","13","102778","0.0-13.0","ayhrbqjc","","","","","","","","1"
"2185.8699999999953","{""confidence"":2}","[0]","survey-likert","14","104966","0.0-14.0","ayhrbqjc","","","","","","","",""
"","","","call-function","15","104966","0.0-15.0","ayhrbqjc","","","","","","","",""
"null","","","html-keyboard-response","16","106468","0.0-16.0","ayhrbqjc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","109543","0.0-17.0","ayhrbqjc","","","null","","Agent A","veridical","STIM_SET_1/1592397.bmp_pp85_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","111045","0.0-18.0","ayhrbqjc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","114159","0.0-19.0","ayhrbqjc","","","null","","Agent B","scrambled","STIM_SET_1/1592397.bmp_pp85_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","114160","0.0-20.0","ayhrbqjc","","","","","","","",""
"1903.8649999999907","{""judgement"":1}","[0]","survey-likert","21","116065","0.0-21.0","ayhrbqjc","","","","","","","","0"
"1559.929999999993","{""confidence"":3}","[0]","survey-likert","22","117626","0.0-22.0","ayhrbqjc","","","","","","","",""
"","","","call-function","23","117627","0.0-23.0","ayhrbqjc","","","","","","","",""
"null","","","html-keyboard-response","24","119133","0.0-24.0","ayhrbqjc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","122251","0.0-25.0","ayhrbqjc","","","null","","Agent A","veridical","STIM_SET_1/1591876.bmp_pp63_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","123758","0.0-26.0","ayhrbqjc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","126875","0.0-27.0","ayhrbqjc","","","null","","Agent B","scrambled","STIM_SET_1/1591876.bmp_pp63_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","28","126875","0.0-28.0","ayhrbqjc","","","","","","","",""
"1728.12999999999","{""judgement"":0}","[0]","survey-likert","29","128604","0.0-29.0","ayhrbqjc","","","","","","","","0"
"1446.0999999999913","{""confidence"":3}","[0]","survey-likert","30","130052","0.0-30.0","ayhrbqjc","","","","","","","",""
"","","","call-function","31","130052","0.0-31.0","ayhrbqjc","","","","","","","",""
"null","","","html-keyboard-response","32","131557","0.0-32.0","ayhrbqjc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","134629","0.0-33.0","ayhrbqjc","","","null","","Agent A","veridical","STIM_SET_1/1159440.bmp_pp98_L1_V1.0_veridical_freeview_isoFalse.mp4",""
