"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"15780.25","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","15788","0.0-0.0","b2ma874j","","","","","","","",""
"17348.995000000003","","","instructions","1","33138","0.0-1.0","b2ma874j","[{""page_index"":0,""viewing_time"":17348.83}]","","","","","","",""
"7615.605000000003","","","instructions","2","40755","0.0-2.0","b2ma874j","[{""page_index"":0,""viewing_time"":2268.480000000003},{""page_index"":1,""viewing_time"":3076.0699999999997},{""page_index"":2,""viewing_time"":2270.9300000000003}]","","","","","","",""
"1848.8199999999997","","","instructions","3","42604","0.0-3.0","b2ma874j","[{""page_index"":0,""viewing_time"":1848.7149999999965}]","","","","","","",""
"null","","","video-keyboard-response","4","45680","0.0-4.0","b2ma874j","","","null","","","","",""
"9445.854999999996","","","instructions","5","55126","0.0-5.0","b2ma874j","[{""page_index"":0,""viewing_time"":2954.5399999999936},{""page_index"":1,""viewing_time"":2503.1100000000006},{""page_index"":2,""viewing_time"":843.0350000000035},{""page_index"":3,""viewing_time"":1449.885000000002},{""page_index"":4,""viewing_time"":1695.1499999999942}]","","","","","","",""
"5916.574999999997","","","instructions","6","61043","0.0-6.0","b2ma874j","[{""page_index"":0,""viewing_time"":5916.449999999997}]","","","","","","",""
"","","","call-function","7","61044","0.0-7.0","b2ma874j","","","","","","","",""
"null","","","html-keyboard-response","8","62549","0.0-8.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","65317","0.0-9.0","b2ma874j","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","10","66818","0.0-10.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","69589","0.0-11.0","b2ma874j","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","69589","0.0-12.0","b2ma874j","","","","","","","",""
"7273.244999999995","{""judgement"":0}","[0]","survey-likert","13","76863","0.0-13.0","b2ma874j","","","","","","","","1"
"1670.4149999999936","{""confidence"":2}","[0]","survey-likert","14","78535","0.0-14.0","b2ma874j","","","","","","","",""
"","","","call-function","15","78535","0.0-15.0","b2ma874j","","","","","","","",""
"null","","","html-keyboard-response","16","80040","0.0-16.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","82837","0.0-17.0","b2ma874j","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592362.bmp_pp95_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","18","84338","0.0-18.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","87157","0.0-19.0","b2ma874j","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592362.bmp_pp95_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","20","87158","0.0-20.0","b2ma874j","","","","","","","",""
"1446.699999999997","{""judgement"":1}","[0]","survey-likert","21","88606","0.0-21.0","b2ma874j","","","","","","","","1"
"2063.9249999999884","{""confidence"":2}","[0]","survey-likert","22","90671","0.0-22.0","b2ma874j","","","","","","","",""
"","","","call-function","23","90672","0.0-23.0","b2ma874j","","","","","","","",""
"null","","","html-keyboard-response","24","92176","0.0-24.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","95003","0.0-25.0","b2ma874j","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159784.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","26","96504","0.0-26.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","99319","0.0-27.0","b2ma874j","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1159784.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","28","99320","0.0-28.0","b2ma874j","","","","","","","",""
"2263.8150000000023","{""judgement"":1}","[0]","survey-likert","29","101585","0.0-29.0","b2ma874j","","","","","","","","0"
"1694.4749999999913","{""confidence"":1}","[0]","survey-likert","30","103280","0.0-30.0","b2ma874j","","","","","","","",""
"","","","call-function","31","103280","0.0-31.0","b2ma874j","","","","","","","",""
"null","","","html-keyboard-response","32","104787","0.0-32.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","107596","0.0-33.0","b2ma874j","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592351.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","109101","0.0-34.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","111892","0.0-35.0","b2ma874j","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592351.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","36","111892","0.0-36.0","b2ma874j","","","","","","","",""
"1639.0099999999948","{""judgement"":0}","[0]","survey-likert","37","113532","0.0-37.0","b2ma874j","","","","","","","","0"
"1614.0050000000047","{""confidence"":1}","[0]","survey-likert","38","115147","0.0-38.0","b2ma874j","","","","","","","",""
"","","","call-function","39","115148","0.0-39.0","b2ma874j","","","","","","","",""
"null","","","html-keyboard-response","40","116654","0.0-40.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","119408","0.0-41.0","b2ma874j","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592619.bmp_pp56_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","42","120913","0.0-42.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","123667","0.0-43.0","b2ma874j","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592619.bmp_pp56_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","44","123667","0.0-44.0","b2ma874j","","","","","","","",""
"2352.6500000000087","{""judgement"":0}","[0]","survey-likert","45","126020","0.0-45.0","b2ma874j","","","","","","","","0"
"2027.9599999999919","{""confidence"":2}","[0]","survey-likert","46","128049","0.0-46.0","b2ma874j","","","","","","","",""
"","","","call-function","47","128050","0.0-47.0","b2ma874j","","","","","","","",""
"null","","","html-keyboard-response","48","129551","0.0-48.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","132273","0.0-49.0","b2ma874j","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","50","133779","0.0-50.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","136502","0.0-51.0","b2ma874j","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","52","136503","0.0-52.0","b2ma874j","","","","","","","",""
"1519.3349999999919","{""judgement"":1}","[0]","survey-likert","53","138024","0.0-53.0","b2ma874j","","","","","","","","1"
"1561.3649999999907","{""confidence"":2}","[0]","survey-likert","54","139587","0.0-54.0","b2ma874j","","","","","","","",""
"","","","call-function","55","139587","0.0-55.0","b2ma874j","","","","","","","",""
"null","","","html-keyboard-response","56","141093","0.0-56.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","143926","0.0-57.0","b2ma874j","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","58","145431","0.0-58.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","148265","0.0-59.0","b2ma874j","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","60","148266","0.0-60.0","b2ma874j","","","","","","","",""
"2299.8000000000175","{""judgement"":0}","[0]","survey-likert","61","150567","0.0-61.0","b2ma874j","","","","","","","","0"
"1047.5249999999942","{""confidence"":2}","[0]","survey-likert","62","151615","0.0-62.0","b2ma874j","","","","","","","",""
"","","","call-function","63","151616","0.0-63.0","b2ma874j","","","","","","","",""
"null","","","html-keyboard-response","64","153120","0.0-64.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","155817","0.0-65.0","b2ma874j","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","66","157320","0.0-66.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","160020","0.0-67.0","b2ma874j","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","68","160020","0.0-68.0","b2ma874j","","","","","","","",""
"1926.3099999999977","{""judgement"":0}","[0]","survey-likert","69","161947","0.0-69.0","b2ma874j","","","","","","","","0"
"1182.2749999999942","{""confidence"":3}","[0]","survey-likert","70","163131","0.0-70.0","b2ma874j","","","","","","","",""
"","","","call-function","71","163131","0.0-71.0","b2ma874j","","","","","","","",""
"null","","","html-keyboard-response","72","164636","0.0-72.0","b2ma874j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
