"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"906613.97","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","906626","0.0-0.0","bj6o9f2z","","","","","","","",""
"61243.75999999989","","","instructions","1","967872","0.0-1.0","bj6o9f2z","[{""page_index"":0,""viewing_time"":61243.59999999998}]","","","","","","",""
"23088.785000000033","","","instructions","2","990963","0.0-2.0","bj6o9f2z","[{""page_index"":0,""viewing_time"":2175.8850000000093},{""page_index"":1,""viewing_time"":11855.685000000056},{""page_index"":2,""viewing_time"":9057.079999999958}]","","","","","","",""
"3917.6199999999953","","","instructions","3","994882","0.0-3.0","bj6o9f2z","[{""page_index"":0,""viewing_time"":3917.5050000000047}]","","","","","","",""
"null","","","video-keyboard-response","4","997962","0.0-4.0","bj6o9f2z","","","null","","","","",""
"37372.265000000014","","","instructions","5","1035336","0.0-5.0","bj6o9f2z","[{""page_index"":0,""viewing_time"":3679.055000000051},{""page_index"":1,""viewing_time"":4830.869999999995},{""page_index"":2,""viewing_time"":1053.0699999999488},{""page_index"":3,""viewing_time"":12811.025000000023},{""page_index"":4,""viewing_time"":14998.084999999963}]","","","","","","",""
"4159.324999999953","","","instructions","6","1039497","0.0-6.0","bj6o9f2z","[{""page_index"":0,""viewing_time"":4159.1849999999395}]","","","","","","",""
"","","","call-function","7","1039498","0.0-7.0","bj6o9f2z","","","","","","","",""
"null","","","html-keyboard-response","8","1041002","0.0-8.0","bj6o9f2z","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","1043734","0.0-9.0","bj6o9f2z","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592934.bmp_pp63_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
