"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"18110.605","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","18119","0.0-0.0","bkd9kj0a","","","","","","","",""
"253704.55500000002","","","instructions","1","271825","0.0-1.0","bkd9kj0a","[{""page_index"":0,""viewing_time"":253704.41}]","","","","","","",""
"258567.14999999997","{""Age"":13,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","530396","0.0-2.0","bkd9kj0a","","","","","","","",""
"26397.900000000023","","","instructions","3","556794","0.0-3.0","bkd9kj0a","[{""page_index"":0,""viewing_time"":6789.660000000033},{""page_index"":1,""viewing_time"":4176.030000000028},{""page_index"":2,""viewing_time"":15432.089999999967}]","","","","","","",""
"3729.2099999999627","","","instructions","4","560524","0.0-4.0","bkd9kj0a","[{""page_index"":0,""viewing_time"":3729.1049999999814}]","","","","","","",""
"null","","","video-keyboard-response","5","563629","0.0-5.0","bkd9kj0a","","","null","","","","",""
"18648.324999999953","","","instructions","6","582278","0.0-6.0","bkd9kj0a","[{""page_index"":0,""viewing_time"":5429.909999999916},{""page_index"":1,""viewing_time"":6497.9400000000605},{""page_index"":2,""viewing_time"":6720.359999999986}]","","","","","","",""
"45102.64500000002","","","instructions","7","627381","0.0-7.0","bkd9kj0a","[{""page_index"":0,""viewing_time"":45102.1050000001}]","","","","","","",""
"3027.609999999986","","","instructions","8","630410","0.0-8.0","bkd9kj0a","[{""page_index"":0,""viewing_time"":3027.5100000000093}]","","","","","","",""
"null","","","video-keyboard-response","9","633484","0.0-9.0","bkd9kj0a","","","null","","","","",""
"19103.665000000037","","","instructions","10","652588","0.0-10.0","bkd9kj0a","[{""page_index"":0,""viewing_time"":4409.0950000000885},{""page_index"":1,""viewing_time"":4089.7549999998882},{""page_index"":2,""viewing_time"":10604.685000000056}]","","","","","","",""
"11726.75","","","instructions","11","664315","0.0-11.0","bkd9kj0a","[{""page_index"":0,""viewing_time"":11726.630000000005}]","","","","","","",""
"","","","call-function","12","664316","0.0-12.0","bkd9kj0a","","","","","","","",""
"null","","","html-keyboard-response","13","665817","0.0-13.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","668617","0.0-14.0","bkd9kj0a","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592530.bmp_pp75_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","15","670124","0.0-15.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","672927","0.0-16.0","bkd9kj0a","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1592530.bmp_pp75_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","17","672927","0.0-17.0","bkd9kj0a","","","","","","","",""
"3073.9949999999953","{""judgement"":0}","[0]","survey-likert","18","676003","0.0-18.0","bkd9kj0a","","","","","","","","1"
"2916.8800000000047","{""confidence"":1}","[0]","survey-likert","19","678921","0.0-19.0","bkd9kj0a","","","","","","","",""
"","","","call-function","20","678921","0.0-20.0","bkd9kj0a","","","","","","","",""
"null","","","html-keyboard-response","21","680423","0.0-21.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","22","683204","0.0-22.0","bkd9kj0a","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","23","684707","0.0-23.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","24","687535","0.0-24.0","bkd9kj0a","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","25","687535","0.0-25.0","bkd9kj0a","","","","","","","",""
"2853.5800000000745","{""judgement"":1}","[0]","survey-likert","26","690390","0.0-26.0","bkd9kj0a","","","","","","","","0"
"1982.969999999972","{""confidence"":1}","[0]","survey-likert","27","692374","0.0-27.0","bkd9kj0a","","","","","","","",""
"","","","call-function","28","692374","0.0-28.0","bkd9kj0a","","","","","","","",""
"null","","","html-keyboard-response","29","693879","0.0-29.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","30","696724","0.0-30.0","bkd9kj0a","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592201.bmp_pp97_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","31","698228","0.0-31.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","32","701088","0.0-32.0","bkd9kj0a","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1592201.bmp_pp97_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","33","701088","0.0-33.0","bkd9kj0a","","","","","","","",""
"3599.2449999999953","{""judgement"":1}","[0]","survey-likert","34","704688","0.0-34.0","bkd9kj0a","","","","","","","","1"
"3578.280000000028","{""confidence"":1}","[0]","survey-likert","35","708267","0.0-35.0","bkd9kj0a","","","","","","","",""
"","","","call-function","36","708268","0.0-36.0","bkd9kj0a","","","","","","","",""
"null","","","html-keyboard-response","37","709769","0.0-37.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","38","712553","0.0-38.0","bkd9kj0a","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/285932.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","39","714054","0.0-39.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","40","716837","0.0-40.0","bkd9kj0a","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/285932.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","41","716837","0.0-41.0","bkd9kj0a","","","","","","","",""
"11870.119999999995","{""judgement"":0}","[0]","survey-likert","42","728708","0.0-42.0","bkd9kj0a","","","","","","","","0"
"1853.1899999999441","{""confidence"":1}","[0]","survey-likert","43","730562","0.0-43.0","bkd9kj0a","","","","","","","",""
"","","","call-function","44","730563","0.0-44.0","bkd9kj0a","","","","","","","",""
"null","","","html-keyboard-response","45","732066","0.0-45.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","46","734906","0.0-46.0","bkd9kj0a","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/498326.bmp_pp57_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","47","736409","0.0-47.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","48","739246","0.0-48.0","bkd9kj0a","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/498326.bmp_pp57_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","49","739246","0.0-49.0","bkd9kj0a","","","","","","","",""
"2370.359999999986","{""judgement"":1}","[0]","survey-likert","50","741617","0.0-50.0","bkd9kj0a","","","","","","","","1"
"2777.0899999999674","{""confidence"":1}","[0]","survey-likert","51","744395","0.0-51.0","bkd9kj0a","","","","","","","",""
"","","","call-function","52","744396","0.0-52.0","bkd9kj0a","","","","","","","",""
"null","","","html-keyboard-response","53","745898","0.0-53.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","54","748652","0.0-54.0","bkd9kj0a","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592017.bmp_pp154_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","55","750152","0.0-55.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","56","752931","0.0-56.0","bkd9kj0a","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1592017.bmp_pp154_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","57","752931","0.0-57.0","bkd9kj0a","","","","","","","",""
"3881.509999999893","{""judgement"":0}","[0]","survey-likert","58","756814","0.0-58.0","bkd9kj0a","","","","","","","","1"
"2297.5449999999255","{""confidence"":1}","[0]","survey-likert","59","759113","0.0-59.0","bkd9kj0a","","","","","","","",""
"","","","call-function","60","759114","0.0-60.0","bkd9kj0a","","","","","","","",""
"null","","","html-keyboard-response","61","760619","0.0-61.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","62","763473","0.0-62.0","bkd9kj0a","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1160189.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","63","764979","0.0-63.0","bkd9kj0a","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","64","767834","0.0-64.0","bkd9kj0a","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1160189.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","65","767834","0.0-65.0","bkd9kj0a","","","","","","","",""
