"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"7513.01","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","7521","0.0-0.0","bofytzo3","","","","","","","",""
"35449.005000000005","","","instructions","1","42972","0.0-1.0","bofytzo3","[{""page_index"":0,""viewing_time"":35448.44500000001}]","","","","","","",""
"8072.010000000002","","","instructions","2","51046","0.0-2.0","bofytzo3","[{""page_index"":0,""viewing_time"":1105.6100000000006},{""page_index"":1,""viewing_time"":2946.230000000003},{""page_index"":2,""viewing_time"":4020.0449999999983}]","","","","","","",""
"11226.800000000003","","","instructions","3","62273","0.0-3.0","bofytzo3","[{""page_index"":0,""viewing_time"":11226.695}]","","","","","","",""
"null","","","video-keyboard-response","4","65347","0.0-4.0","bofytzo3","","","null","","","","",""
"7744.064999999995","","","instructions","5","73091","0.0-5.0","bofytzo3","[{""page_index"":0,""viewing_time"":3391.1400000000067},{""page_index"":1,""viewing_time"":1030.9199999999983},{""page_index"":2,""viewing_time"":770.1349999999948},{""page_index"":3,""viewing_time"":857.1750000000029},{""page_index"":4,""viewing_time"":1694.5599999999977}]","","","","","","",""
"4700.625","","","instructions","6","77792","0.0-6.0","bofytzo3","[{""page_index"":0,""viewing_time"":4700.494999999995}]","","","","","","",""
"","","","call-function","7","77793","0.0-7.0","bofytzo3","","","","","","","",""
"null","","","html-keyboard-response","8","79294","0.0-8.0","bofytzo3","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","82375","0.0-9.0","bofytzo3","","","null","","Agent A","veridical","STIM_SET_1/1591876.bmp_pp63_L1_V1.0_veridical_freeview_isoFalse.mp4",""
