"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"21682.65","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","21689","0.0-0.0","c0vzcj91","","","","","","","",""
"286640.08","","","instructions","1","308331","0.0-1.0","c0vzcj91","[{""page_index"":0,""viewing_time"":286639.92500000005}]","","","","","","",""
"13563.75","","","instructions","2","321896","0.0-2.0","c0vzcj91","[{""page_index"":0,""viewing_time"":6442.164999999979},{""page_index"":1,""viewing_time"":1178.8800000000047},{""page_index"":2,""viewing_time"":5942.109999999986}]","","","","","","",""
"3312.1300000000047","","","instructions","3","325210","0.0-3.0","c0vzcj91","[{""page_index"":0,""viewing_time"":3312.0299999999697}]","","","","","","",""
"null","","","video-keyboard-response","4","328304","0.0-4.0","c0vzcj91","","","null","","","","",""
"12764.059999999998","","","instructions","5","341068","0.0-5.0","c0vzcj91","[{""page_index"":0,""viewing_time"":5013.899999999965},{""page_index"":1,""viewing_time"":4337.035000000033},{""page_index"":2,""viewing_time"":3413.0250000000233}]","","","","","","",""
"2755.7299999999814","","","instructions","6","343824","0.0-6.0","c0vzcj91","[{""page_index"":0,""viewing_time"":2755.6300000000047}]","","","","","","",""
"1572.719999999972","","","instructions","7","345397","0.0-7.0","c0vzcj91","[{""page_index"":0,""viewing_time"":1572.6199999999953}]","","","","","","",""
"null","","","video-keyboard-response","8","348475","0.0-8.0","c0vzcj91","","","null","","","","",""
"14010.954999999958","","","instructions","9","362486","0.0-9.0","c0vzcj91","[{""page_index"":0,""viewing_time"":1426.7550000000047},{""page_index"":1,""viewing_time"":5233.954999999958},{""page_index"":2,""viewing_time"":7349.989999999991}]","","","","","","",""
