"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"158353.30000000002","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","158362","0.0-0.0","cofr3f5u","","","","","","","",""
"29710.39500000002","","","instructions","1","188075","0.0-1.0","cofr3f5u","[{""page_index"":0,""viewing_time"":29710.244999999995}]","","","","","","",""
"21440.329999999987","","","instructions","2","209517","0.0-2.0","cofr3f5u","[{""page_index"":0,""viewing_time"":1154.2299999999814},{""page_index"":1,""viewing_time"":4613.120000000024},{""page_index"":2,""viewing_time"":15672.854999999981}]","","","","","","",""
"2009.9899999999907","","","instructions","3","211527","0.0-3.0","cofr3f5u","[{""page_index"":0,""viewing_time"":2009.8849999999802}]","","","","","","",""
"null","","","video-keyboard-response","4","214607","0.0-4.0","cofr3f5u","","","null","","","","",""
"19574.419999999984","","","instructions","5","234183","0.0-5.0","cofr3f5u","[{""page_index"":0,""viewing_time"":2533.109999999986},{""page_index"":1,""viewing_time"":2233.345000000001},{""page_index"":2,""viewing_time"":812.5849999999919},{""page_index"":3,""viewing_time"":3129.0500000000175},{""page_index"":4,""viewing_time"":10866.184999999998}]","","","","","","",""
"9495.815000000002","","","instructions","6","243680","0.0-6.0","cofr3f5u","[{""page_index"":0,""viewing_time"":9495.690000000002}]","","","","","","",""
"","","","call-function","7","243681","0.0-7.0","cofr3f5u","","","","","","","",""
"null","","","html-keyboard-response","8","245184","0.0-8.0","cofr3f5u","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","248256","0.0-9.0","cofr3f5u","","","null","","Agent A","scrambled","STIM_SET_3/1159973.bmp_pp98_L1_V2_veridical_freeview_isoFalsemismatch_285933.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","10","249761","0.0-10.0","cofr3f5u","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","252834","0.0-11.0","cofr3f5u","","","null","","Agent B","veridical","STIM_SET_1_REAL/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","252835","0.0-12.0","cofr3f5u","","","","","","","",""
"7924.670000000013","{""judgement"":1}","[0]","survey-likert","13","260761","0.0-13.0","cofr3f5u","","","","","","","","1"
"3568.6449999999895","{""confidence"":1}","[0]","survey-likert","14","264332","0.0-14.0","cofr3f5u","","","","","","","",""
"","","","call-function","15","264334","0.0-15.0","cofr3f5u","","","","","","","",""
"null","","","html-keyboard-response","16","265839","0.0-16.0","cofr3f5u","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","268908","0.0-17.0","cofr3f5u","","","null","","Agent A","veridical","STIM_SET_1_REAL/1159829.bmp_pp91_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","270410","0.0-18.0","cofr3f5u","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","273482","0.0-19.0","cofr3f5u","","","null","","Agent B","scrambled","STIM_SET_3/1159956.bmp_pp59_L3_V2_veridical_freeview_isoFalsemismatch_1159829.bmp_L3_fps90.mp4",""
"","","","call-function","20","273483","0.0-20.0","cofr3f5u","","","","","","","",""
"2486.4000000000233","{""judgement"":0}","[0]","survey-likert","21","275971","0.0-21.0","cofr3f5u","","","","","","","","0"
"4060.634999999951","{""confidence"":2}","[0]","survey-likert","22","280033","0.0-22.0","cofr3f5u","","","","","","","",""
"","","","call-function","23","280034","0.0-23.0","cofr3f5u","","","","","","","",""
"null","","","html-keyboard-response","24","281536","0.0-24.0","cofr3f5u","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","284600","0.0-25.0","cofr3f5u","","","null","","Agent A","veridical","STIM_SET_1_REAL/1159572.bmp_pp71_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","26","286107","0.0-26.0","cofr3f5u","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","289185","0.0-27.0","cofr3f5u","","","null","","Agent B","scrambled","STIM_SET_3/713381.bmp_pp82_L2_V2_veridical_freeview_isoFalsemismatch_1159572.bmp_L1_fps90.mp4",""
"","","","call-function","28","289186","0.0-28.0","cofr3f5u","","","","","","","",""
"3181.5100000000093","{""judgement"":0}","[0]","survey-likert","29","292368","0.0-29.0","cofr3f5u","","","","","","","","0"
"4783.340000000026","{""confidence"":2}","[0]","survey-likert","30","297153","0.0-30.0","cofr3f5u","","","","","","","",""
"","","","call-function","31","297154","0.0-31.0","cofr3f5u","","","","","","","",""
"null","","","html-keyboard-response","32","298657","0.0-32.0","cofr3f5u","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","301752","0.0-33.0","cofr3f5u","","","null","","Agent A","veridical","STIM_SET_1_REAL/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","303260","0.0-34.0","cofr3f5u","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","306357","0.0-35.0","cofr3f5u","","","null","","Agent B","scrambled","STIM_SET_3/1159819.bmp_pp151_L1_V2_veridical_freeview_isoFalsemismatch_1592499.bmp_L2_fps90.mp4",""
"","","","call-function","36","306358","0.0-36.0","cofr3f5u","","","","","","","",""
"4644.815000000002","{""judgement"":0}","[0]","survey-likert","37","311004","0.0-37.0","cofr3f5u","","","","","","","","0"
