"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"66380.17","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","66408","0.0-0.0","cr9glvn8","","","","","","","",""
"19952.160000000003","","","instructions","1","86363","0.0-1.0","cr9glvn8","[{""page_index"":0,""viewing_time"":19951.990000000005}]","","","","","","",""
"9739.055000000008","","","instructions","2","96103","0.0-2.0","cr9glvn8","[{""page_index"":0,""viewing_time"":3435.8650000000052},{""page_index"":1,""viewing_time"":1238.0149999999994},{""page_index"":2,""viewing_time"":5065.044999999998}]","","","","","","",""
"2200.4349999999977","","","instructions","3","98305","0.0-3.0","cr9glvn8","[{""page_index"":0,""viewing_time"":2200.3199999999924}]","","","","","","",""
"null","","","video-keyboard-response","4","101385","0.0-4.0","cr9glvn8","","","null","","","","",""
"11978.414999999994","","","instructions","5","113365","0.0-5.0","cr9glvn8","[{""page_index"":0,""viewing_time"":2783.229999999996},{""page_index"":1,""viewing_time"":4598.915000000008},{""page_index"":2,""viewing_time"":4596.149999999994}]","","","","","","",""
"3380.145000000004","","","instructions","6","116746","0.0-6.0","cr9glvn8","[{""page_index"":0,""viewing_time"":3379.9949999999953}]","","","","","","",""
"1201.4149999999936","","","instructions","7","117949","0.0-7.0","cr9glvn8","[{""page_index"":0,""viewing_time"":1200.9399999999878}]","","","","","","",""
"null","","","video-keyboard-response","8","121028","0.0-8.0","cr9glvn8","","","null","","","","",""
"11296.50499999999","","","instructions","9","132325","0.0-9.0","cr9glvn8","[{""page_index"":0,""viewing_time"":1164.6000000000058},{""page_index"":1,""viewing_time"":2514.6949999999924},{""page_index"":2,""viewing_time"":7617.059999999998}]","","","","","","",""
"3378.595000000001","","","instructions","10","135706","0.0-10.0","cr9glvn8","[{""page_index"":0,""viewing_time"":3377.9400000000023}]","","","","","","",""
"","","","call-function","11","135708","0.0-11.0","cr9glvn8","","","","","","","",""
"null","","","html-keyboard-response","12","137211","0.0-12.0","cr9glvn8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","139973","0.0-13.0","cr9glvn8","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592047.bmp_pp51_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
