"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"13116.69","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","13125","0.0-0.0","ctrcrfzz","","","","","","","",""
"1436510.325","","","instructions","1","1449640","0.0-1.0","ctrcrfzz","[{""page_index"":0,""viewing_time"":1436510.1700000002}]","","","","","","",""
"20348.350000000093","","","instructions","2","1469990","0.0-2.0","ctrcrfzz","[{""page_index"":0,""viewing_time"":8936.27500000014},{""page_index"":1,""viewing_time"":2617.8599999998696},{""page_index"":2,""viewing_time"":8794.075000000186}]","","","","","","",""
"5153.274999999907","","","instructions","3","1475144","0.0-3.0","ctrcrfzz","[{""page_index"":0,""viewing_time"":5153.1699999999255}]","","","","","","",""
"null","","","video-keyboard-response","4","1478220","0.0-4.0","ctrcrfzz","","","null","","","","",""
"26245.52000000002","","","instructions","5","1504466","0.0-5.0","ctrcrfzz","[{""page_index"":0,""viewing_time"":5964.445000000065},{""page_index"":1,""viewing_time"":12109},{""page_index"":2,""viewing_time"":8171.964999999851}]","","","","","","",""
"4825.659999999916","","","instructions","6","1509292","0.0-6.0","ctrcrfzz","[{""page_index"":0,""viewing_time"":4825.554999999935}]","","","","","","",""
"1733.7399999999907","","","instructions","7","1511026","0.0-7.0","ctrcrfzz","[{""page_index"":0,""viewing_time"":1733.5249999999069}]","","","","","","",""
"null","","","video-keyboard-response","8","1514101","0.0-8.0","ctrcrfzz","","","null","","","","",""
"16383.054999999935","","","instructions","9","1530484","0.0-9.0","ctrcrfzz","[{""page_index"":0,""viewing_time"":2125.1299999998882},{""page_index"":1,""viewing_time"":5065.860000000102},{""page_index"":2,""viewing_time"":9191.925000000047}]","","","","","","",""
