"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"139267.555","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","139275","0.0-0.0","cvg0wyka","","","","","","","",""
"57530.07000000001","","","instructions","1","196806","0.0-1.0","cvg0wyka","[{""page_index"":0,""viewing_time"":57529.92000000001}]","","","","","","",""
"12767.084999999992","","","instructions","2","209574","0.0-2.0","cvg0wyka","[{""page_index"":0,""viewing_time"":4817.9649999999965},{""page_index"":1,""viewing_time"":1508.9750000000058},{""page_index"":2,""viewing_time"":6440.0199999999895}]","","","","","","",""
"3773.345000000001","","","instructions","3","213348","0.0-3.0","cvg0wyka","[{""page_index"":0,""viewing_time"":3773.1999999999825}]","","","","","","",""
"null","","","video-keyboard-response","4","216424","0.0-4.0","cvg0wyka","","","null","","","","",""
"13721.51000000001","","","instructions","5","230146","0.0-5.0","cvg0wyka","[{""page_index"":0,""viewing_time"":3050.429999999993},{""page_index"":1,""viewing_time"":3448.6300000000047},{""page_index"":2,""viewing_time"":7221.869999999995}]","","","","","","",""
"2908.415000000008","","","instructions","6","233056","0.0-6.0","cvg0wyka","[{""page_index"":0,""viewing_time"":2908.3150000000023}]","","","","","","",""
"1661.2449999999953","","","instructions","7","234717","0.0-7.0","cvg0wyka","[{""page_index"":0,""viewing_time"":1661.1450000000186}]","","","","","","",""
"null","","","video-keyboard-response","8","237787","0.0-8.0","cvg0wyka","","","null","","","","",""
"16531.190000000002","","","instructions","9","254319","0.0-9.0","cvg0wyka","[{""page_index"":0,""viewing_time"":1617.9150000000081},{""page_index"":1,""viewing_time"":5095.904999999999},{""page_index"":2,""viewing_time"":9817.179999999993}]","","","","","","",""
"5928.3949999999895","","","instructions","10","260248","0.0-10.0","cvg0wyka","[{""page_index"":0,""viewing_time"":5928.279999999999}]","","","","","","",""
"","","","call-function","11","260249","0.0-11.0","cvg0wyka","","","","","","","",""
"null","","","html-keyboard-response","12","261752","0.0-12.0","cvg0wyka","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","264854","0.0-13.0","cvg0wyka","","","null","","Agent A","scrambled","STIM_SET_5/1592017.bmp_pp154_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","14","266358","0.0-14.0","cvg0wyka","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","269440","0.0-15.0","cvg0wyka","","","null","","Agent B","veridical","STIM_SET_2_144/1592017.bmp_pp154_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","269440","0.0-16.0","cvg0wyka","","","","","","","",""
"27566.090000000026","{""judgement"":0}","[0]","survey-likert","17","297008","0.0-17.0","cvg0wyka","","","","","","","","1"
"5141.914999999979","{""confidence"":0}","[0]","survey-likert","18","302151","0.0-18.0","cvg0wyka","","","","","","","",""
"","","","call-function","19","302151","0.0-19.0","cvg0wyka","","","","","","","",""
"null","","","html-keyboard-response","20","303653","0.0-20.0","cvg0wyka","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","306721","0.0-21.0","cvg0wyka","","","null","","Agent A","veridical","STIM_SET_2_144/1159392.bmp_pp96_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","22","308229","0.0-22.0","cvg0wyka","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","311315","0.0-23.0","cvg0wyka","","","null","","Agent B","scrambled","STIM_SET_5/1159392.bmp_pp96_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","24","311315","0.0-24.0","cvg0wyka","","","","","","","",""
"5843.284999999974","{""judgement"":1}","[0]","survey-likert","25","317159","0.0-25.0","cvg0wyka","","","","","","","","0"
"4067.164999999979","{""confidence"":0}","[0]","survey-likert","26","321228","0.0-26.0","cvg0wyka","","","","","","","",""
"","","","call-function","27","321228","0.0-27.0","cvg0wyka","","","","","","","",""
