"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"23667.010000000002","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","23676","0.0-0.0","d3ml0pg6","","","","","","","",""
"9213.720000000001","","","instructions","1","32891","0.0-1.0","d3ml0pg6","[{""page_index"":0,""viewing_time"":9213.565000000002}]","","","","","","",""
"8057.739999999998","","","instructions","2","40950","0.0-2.0","d3ml0pg6","[{""page_index"":0,""viewing_time"":3686.5399999999936},{""page_index"":1,""viewing_time"":944.9850000000006},{""page_index"":2,""viewing_time"":3426.090000000004}]","","","","","","",""
"3932.324999999997","","","instructions","3","44883","0.0-3.0","d3ml0pg6","[{""page_index"":0,""viewing_time"":3932.220000000001}]","","","","","","",""
"null","","","video-keyboard-response","4","47959","0.0-4.0","d3ml0pg6","","","null","","","","",""
"4857.504999999997","","","instructions","5","52817","0.0-5.0","d3ml0pg6","[{""page_index"":0,""viewing_time"":845.3549999999959},{""page_index"":1,""viewing_time"":759.8800000000047},{""page_index"":2,""viewing_time"":3252.165000000001}]","","","","","","",""
"2033.3300000000017","","","instructions","6","54851","0.0-6.0","d3ml0pg6","[{""page_index"":0,""viewing_time"":2033.1949999999997}]","","","","","","",""
"943.5799999999945","","","instructions","7","55795","0.0-7.0","d3ml0pg6","[{""page_index"":0,""viewing_time"":943.3699999999953}]","","","","","","",""
"null","","","video-keyboard-response","8","58868","0.0-8.0","d3ml0pg6","","","null","","","","",""
"5739.739999999998","","","instructions","9","64608","0.0-9.0","d3ml0pg6","[{""page_index"":0,""viewing_time"":1061.0550000000003},{""page_index"":1,""viewing_time"":2833.0499999999956},{""page_index"":2,""viewing_time"":1845.4950000000026}]","","","","","","",""
"1617.864999999998","","","instructions","10","66227","0.0-10.0","d3ml0pg6","[{""page_index"":0,""viewing_time"":1617.7499999999927}]","","","","","","",""
"","","","call-function","11","66228","0.0-11.0","d3ml0pg6","","","","","","","",""
"null","","","html-keyboard-response","12","67731","0.0-12.0","d3ml0pg6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","70807","0.0-13.0","d3ml0pg6","","","null","","Agent A","scrambled","STIM_SET_2/498025.bmp_pp81_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
