"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"6836.93","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","6846","0.0-0.0","d9jc26z3","","","","","","","",""
"19394.66","","","instructions","1","26243","0.0-1.0","d9jc26z3","[{""page_index"":0,""viewing_time"":19394.045000000002}]","","","","","","",""
"45149.380000000005","","","instructions","2","71394","0.0-2.0","d9jc26z3","[{""page_index"":0,""viewing_time"":29799.345000000005},{""page_index"":1,""viewing_time"":6765.004999999997},{""page_index"":2,""viewing_time"":8584.904999999999}]","","","","","","",""
"3606.4850000000006","","","instructions","3","75001","0.0-3.0","d9jc26z3","[{""page_index"":0,""viewing_time"":3606.3800000000047}]","","","","","","",""
"null","","","video-keyboard-response","4","78075","0.0-4.0","d9jc26z3","","","null","","","","",""
"19622.92","","","instructions","5","97699","0.0-5.0","d9jc26z3","[{""page_index"":0,""viewing_time"":4719.884999999995},{""page_index"":1,""viewing_time"":3945.0050000000047},{""page_index"":2,""viewing_time"":1173.9600000000064},{""page_index"":3,""viewing_time"":3852.0650000000023},{""page_index"":4,""viewing_time"":5931.875}]","","","","","","",""
"3628.6500000000087","","","instructions","6","101328","0.0-6.0","d9jc26z3","[{""page_index"":0,""viewing_time"":3628.5250000000087}]","","","","","","",""
"","","","call-function","7","101329","0.0-7.0","d9jc26z3","","","","","","","",""
"null","","","html-keyboard-response","8","102832","0.0-8.0","d9jc26z3","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","105899","0.0-9.0","d9jc26z3","","","null","","Agent A","veridical","STIM_SET_1_REAL/713403.bmp_pp80_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","107403","0.0-10.0","d9jc26z3","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","110466","0.0-11.0","d9jc26z3","","","null","","Agent B","scrambled","STIM_SET_3/286034.bmp_pp69_L3_V2_veridical_freeview_isoFalsemismatch_713403.bmp_L3_fps90.mp4",""
"","","","call-function","12","110467","0.0-12.0","d9jc26z3","","","","","","","",""
"4081.3050000000076","{""judgement"":0}","[0]","survey-likert","13","114550","0.0-13.0","d9jc26z3","","","","","","","","0"
"1713.3699999999953","{""confidence"":3}","[0]","survey-likert","14","116265","0.0-14.0","d9jc26z3","","","","","","","",""
"","","","call-function","15","116265","0.0-15.0","d9jc26z3","","","","","","","",""
"null","","","html-keyboard-response","16","117769","0.0-16.0","d9jc26z3","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","120836","0.0-17.0","d9jc26z3","","","null","","Agent A","scrambled","STIM_SET_3/107955.bmp_pp90_L2_V2_veridical_freeview_isoFalsemismatch_498149.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","18","122340","0.0-18.0","d9jc26z3","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","125433","0.0-19.0","d9jc26z3","","","null","","Agent B","veridical","STIM_SET_1_REAL/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","20","125434","0.0-20.0","d9jc26z3","","","","","","","",""
"1373.840000000011","{""judgement"":1}","[0]","survey-likert","21","126809","0.0-21.0","d9jc26z3","","","","","","","","1"
"1331.3999999999942","{""confidence"":3}","[0]","survey-likert","22","128142","0.0-22.0","d9jc26z3","","","","","","","",""
"","","","call-function","23","128143","0.0-23.0","d9jc26z3","","","","","","","",""
"null","","","html-keyboard-response","24","129646","0.0-24.0","d9jc26z3","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","132745","0.0-25.0","d9jc26z3","","","null","","Agent A","scrambled","STIM_SET_3/1592857.bmp_pp52_L1_V2_veridical_freeview_isoFalsemismatch_1160168.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","26","134248","0.0-26.0","d9jc26z3","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","137352","0.0-27.0","d9jc26z3","","","null","","Agent B","veridical","STIM_SET_1_REAL/1160168.bmp_pp53_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","137353","0.0-28.0","d9jc26z3","","","","","","","",""
"1421.054999999993","{""judgement"":1}","[0]","survey-likert","29","138774","0.0-29.0","d9jc26z3","","","","","","","","1"
