"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"14284.035","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","14292","0.0-0.0","dcz3wszs","","","","","","","",""
"15576.144999999999","","","instructions","1","29869","0.0-1.0","dcz3wszs","[{""page_index"":0,""viewing_time"":15575.995}]","","","","","","",""
"9179.954999999998","","","instructions","2","39050","0.0-2.0","dcz3wszs","[{""page_index"":0,""viewing_time"":3465.8849999999984},{""page_index"":1,""viewing_time"":1035.1050000000032},{""page_index"":2,""viewing_time"":4678.8399999999965}]","","","","","","",""
"1959.5599999999977","","","instructions","3","41010","0.0-3.0","dcz3wszs","[{""page_index"":0,""viewing_time"":1959.4549999999945}]","","","","","","",""
"null","","","video-keyboard-response","4","44084","0.0-4.0","dcz3wszs","","","null","","","","",""
"6751.730000000003","","","instructions","5","50836","0.0-5.0","dcz3wszs","[{""page_index"":0,""viewing_time"":2540.510000000002},{""page_index"":1,""viewing_time"":2000.2999999999956},{""page_index"":2,""viewing_time"":2210.8150000000023}]","","","","","","",""
"1835.3050000000003","","","instructions","6","52672","0.0-6.0","dcz3wszs","[{""page_index"":0,""viewing_time"":1835.199999999997}]","","","","","","",""
"3457.824999999997","","","instructions","7","56130","0.0-7.0","dcz3wszs","[{""page_index"":0,""viewing_time"":3457.604999999996}]","","","","","","",""
"null","","","video-keyboard-response","8","59204","0.0-8.0","dcz3wszs","","","null","","","","",""
"8076.82","","","instructions","9","67282","0.0-9.0","dcz3wszs","[{""page_index"":0,""viewing_time"":1668.4749999999985},{""page_index"":1,""viewing_time"":2957.9500000000044},{""page_index"":2,""viewing_time"":3450.264999999992}]","","","","","","",""
"2161.7000000000116","","","instructions","10","69444","0.0-10.0","dcz3wszs","[{""page_index"":0,""viewing_time"":2161.435000000012}]","","","","","","",""
"","","","call-function","11","69445","0.0-11.0","dcz3wszs","","","","","","","",""
"null","","","html-keyboard-response","12","70949","0.0-12.0","dcz3wszs","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","74017","0.0-13.0","dcz3wszs","","","null","","Agent A","veridical","STIM_SET_2_144/1159329.bmp_pp61_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","14","75521","0.0-14.0","dcz3wszs","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","78593","0.0-15.0","dcz3wszs","","","null","","Agent B","scrambled","STIM_SET_5/1159329.bmp_pp61_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","16","78593","0.0-16.0","dcz3wszs","","","","","","","",""
"4093.709999999992","{""judgement"":0}","[0]","survey-likert","17","82688","0.0-17.0","dcz3wszs","","","","","","","","0"
"1738.590000000011","{""confidence"":1}","[0]","survey-likert","18","84428","0.0-18.0","dcz3wszs","","","","","","","",""
"","","","call-function","19","84428","0.0-19.0","dcz3wszs","","","","","","","",""
"null","","","html-keyboard-response","20","85932","0.0-20.0","dcz3wszs","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
