"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"16412.45","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","16421","0.0-0.0","dhxxfzr9","","","","","","","",""
"90478.63500000001","","","instructions","1","106901","0.0-1.0","dhxxfzr9","[{""page_index"":0,""viewing_time"":90478.49}]","","","","","","",""
"7241.389999999999","","","instructions","2","114143","0.0-2.0","dhxxfzr9","[{""page_index"":0,""viewing_time"":1686.199999999997},{""page_index"":1,""viewing_time"":3429.2050000000017},{""page_index"":2,""viewing_time"":2125.8650000000052}]","","","","","","",""
"1769.1399999999994","","","instructions","3","115913","0.0-3.0","dhxxfzr9","[{""page_index"":0,""viewing_time"":1769.0449999999983}]","","","","","","",""
"null","","","video-keyboard-response","4","118986","0.0-4.0","dhxxfzr9","","","null","","","","",""
"5283.669999999998","","","instructions","5","124270","0.0-5.0","dhxxfzr9","[{""page_index"":0,""viewing_time"":1214.854999999996},{""page_index"":1,""viewing_time"":96.08000000000175},{""page_index"":2,""viewing_time"":878.6949999999924},{""page_index"":3,""viewing_time"":1279.9100000000035},{""page_index"":4,""viewing_time"":1814.0099999999948}]","","","","","","",""
"1342.8699999999953","","","instructions","6","125613","0.0-6.0","dhxxfzr9","[{""page_index"":0,""viewing_time"":1342.7399999999907}]","","","","","","",""
"","","","call-function","7","125614","0.0-7.0","dhxxfzr9","","","","","","","",""
"null","","","html-keyboard-response","8","127115","0.0-8.0","dhxxfzr9","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","130183","0.0-9.0","dhxxfzr9","","","null","","Agent A","veridical","STIM_SET_1_REAL/1592581.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","131685","0.0-10.0","dhxxfzr9","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","134757","0.0-11.0","dhxxfzr9","","","null","","Agent B","scrambled","STIM_SET_3/1160189.bmp_pp64_L1_V2_veridical_freeview_isoFalsemismatch_1592581.bmp_L3_fps90.mp4",""
"","","","call-function","12","134757","0.0-12.0","dhxxfzr9","","","","","","","",""
"2463.774999999994","{""judgement"":0}","[0]","survey-likert","13","137222","0.0-13.0","dhxxfzr9","","","","","","","","0"
"1848.7449999999953","{""confidence"":3}","[0]","survey-likert","14","139072","0.0-14.0","dhxxfzr9","","","","","","","",""
"","","","call-function","15","139072","0.0-15.0","dhxxfzr9","","","","","","","",""
"null","","","html-keyboard-response","16","140575","0.0-16.0","dhxxfzr9","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","143649","0.0-17.0","dhxxfzr9","","","null","","Agent A","veridical","STIM_SET_1_REAL/1591954.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","145151","0.0-18.0","dhxxfzr9","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
