"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"10967.66","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","10976","0.0-0.0","e1pueloc","","","","","","","",""
"129349.63","","","instructions","1","140328","0.0-1.0","e1pueloc","[{""page_index"":0,""viewing_time"":129349.48000000001}]","","","","","","",""
"6624.084999999992","","","instructions","2","146954","0.0-2.0","e1pueloc","[{""page_index"":0,""viewing_time"":1395.4899999999907},{""page_index"":1,""viewing_time"":3003.484999999986},{""page_index"":2,""viewing_time"":2224.9649999999965}]","","","","","","",""
"2026.054999999993","","","instructions","3","148981","0.0-3.0","e1pueloc","[{""page_index"":0,""viewing_time"":2025.9500000000116}]","","","","","","",""
"null","","","video-keyboard-response","4","152056","0.0-4.0","e1pueloc","","","null","","","","",""
"14603.10500000001","","","instructions","5","166660","0.0-5.0","e1pueloc","[{""page_index"":0,""viewing_time"":3788.085000000021},{""page_index"":1,""viewing_time"":2682},{""page_index"":2,""viewing_time"":918.9899999999907},{""page_index"":3,""viewing_time"":3629.8850000000093},{""page_index"":4,""viewing_time"":3584.0199999999895}]","","","","","","",""
"2508.3649999999907","","","instructions","6","169170","0.0-6.0","e1pueloc","[{""page_index"":0,""viewing_time"":2508.2299999999814}]","","","","","","",""
"","","","call-function","7","169171","0.0-7.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","8","170677","0.0-8.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","173759","0.0-9.0","e1pueloc","","","null","","Agent A","scrambled","STIM_SET_3/1592857.bmp_pp52_L1_V2_veridical_freeview_isoFalsemismatch_1160168.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","10","175266","0.0-10.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","178335","0.0-11.0","e1pueloc","","","null","","Agent B","veridical","STIM_SET_1_REAL/1160168.bmp_pp53_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","178337","0.0-12.0","e1pueloc","","","","","","","",""
"1363.2250000000058","{""judgement"":1}","[0]","survey-likert","13","179701","0.0-13.0","e1pueloc","","","","","","","","1"
"1239.5899999999965","{""confidence"":2}","[0]","survey-likert","14","180942","0.0-14.0","e1pueloc","","","","","","","",""
"","","","call-function","15","180943","0.0-15.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","16","182446","0.0-16.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","185516","0.0-17.0","e1pueloc","","","null","","Agent A","veridical","STIM_SET_1_REAL/1159829.bmp_pp91_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","187018","0.0-18.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","190126","0.0-19.0","e1pueloc","","","null","","Agent B","scrambled","STIM_SET_3/1159956.bmp_pp59_L3_V2_veridical_freeview_isoFalsemismatch_1159829.bmp_L3_fps90.mp4",""
"","","","call-function","20","190127","0.0-20.0","e1pueloc","","","","","","","",""
"2522.2399999999907","{""judgement"":0}","[0]","survey-likert","21","192652","0.0-21.0","e1pueloc","","","","","","","","0"
"2060.0199999999895","{""confidence"":1}","[0]","survey-likert","22","194713","0.0-22.0","e1pueloc","","","","","","","",""
"","","","call-function","23","194714","0.0-23.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","24","196219","0.0-24.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","199327","0.0-25.0","e1pueloc","","","null","","Agent A","scrambled","STIM_SET_3/1592150.bmp_pp77_L3_V2_veridical_freeview_isoFalsemismatch_1159447.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","26","200829","0.0-26.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","203920","0.0-27.0","e1pueloc","","","null","","Agent B","veridical","STIM_SET_1_REAL/1159447.bmp_pp70_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","203921","0.0-28.0","e1pueloc","","","","","","","",""
"1283.2000000000116","{""judgement"":1}","[0]","survey-likert","29","205205","0.0-29.0","e1pueloc","","","","","","","","1"
"1388.0149999999849","{""confidence"":2}","[0]","survey-likert","30","206595","0.0-30.0","e1pueloc","","","","","","","",""
"","","","call-function","31","206596","0.0-31.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","32","208098","0.0-32.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","211189","0.0-33.0","e1pueloc","","","null","","Agent A","veridical","STIM_SET_1_REAL/498170.bmp_pp153_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","212692","0.0-34.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","215784","0.0-35.0","e1pueloc","","","null","","Agent B","scrambled","STIM_SET_3/713742.bmp_pp91_L3_V2_veridical_freeview_isoFalsemismatch_498170.bmp_L3_fps90.mp4",""
"","","","call-function","36","215785","0.0-36.0","e1pueloc","","","","","","","",""
"1772.929999999993","{""judgement"":0}","[0]","survey-likert","37","217558","0.0-37.0","e1pueloc","","","","","","","","0"
"6839.235000000015","{""confidence"":2}","[0]","survey-likert","38","224399","0.0-38.0","e1pueloc","","","","","","","",""
"","","","call-function","39","224400","0.0-39.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","40","225903","0.0-40.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","229017","0.0-41.0","e1pueloc","","","null","","Agent A","scrambled","STIM_SET_3/150277.bmp_pp65_L3_V2_veridical_freeview_isoFalsemismatch_1592362.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","42","230520","0.0-42.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","233610","0.0-43.0","e1pueloc","","","null","","Agent B","veridical","STIM_SET_1_REAL/1592362.bmp_pp95_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","44","233612","0.0-44.0","e1pueloc","","","","","","","",""
"3031.2050000000163","{""judgement"":0}","[0]","survey-likert","45","236644","0.0-45.0","e1pueloc","","","","","","","","1"
"2765.625","{""confidence"":2}","[0]","survey-likert","46","239411","0.0-46.0","e1pueloc","","","","","","","",""
"","","","call-function","47","239412","0.0-47.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","48","240915","0.0-48.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","244007","0.0-49.0","e1pueloc","","","null","","Agent A","scrambled","STIM_SET_3/285959.bmp_pp93_L1_V2_veridical_freeview_isoFalsemismatch_498253.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","50","245512","0.0-50.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","248592","0.0-51.0","e1pueloc","","","null","","Agent B","veridical","STIM_SET_1_REAL/498253.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","52","248594","0.0-52.0","e1pueloc","","","","","","","",""
"2878.9349999999977","{""judgement"":1}","[0]","survey-likert","53","251475","0.0-53.0","e1pueloc","","","","","","","","1"
"7234.850000000006","{""confidence"":3}","[0]","survey-likert","54","258712","0.0-54.0","e1pueloc","","","","","","","",""
"","","","call-function","55","258714","0.0-55.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","56","260216","0.0-56.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","263293","0.0-57.0","e1pueloc","","","null","","Agent A","veridical","STIM_SET_1_REAL/1159675.bmp_pp77_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","58","264797","0.0-58.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","267881","0.0-59.0","e1pueloc","","","null","","Agent B","scrambled","STIM_SET_3/1159508.bmp_pp151_L1_V2_veridical_freeview_isoFalsemismatch_1159675.bmp_L3_fps90.mp4",""
"","","","call-function","60","267882","0.0-60.0","e1pueloc","","","","","","","",""
"1716.484999999986","{""judgement"":0}","[0]","survey-likert","61","269599","0.0-61.0","e1pueloc","","","","","","","","0"
"1321.009999999951","{""confidence"":3}","[0]","survey-likert","62","270922","0.0-62.0","e1pueloc","","","","","","","",""
"","","","call-function","63","270923","0.0-63.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","64","272428","0.0-64.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","275515","0.0-65.0","e1pueloc","","","null","","Agent A","scrambled","STIM_SET_3/107955.bmp_pp90_L2_V2_veridical_freeview_isoFalsemismatch_498149.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","66","277018","0.0-66.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","280082","0.0-67.0","e1pueloc","","","null","","Agent B","veridical","STIM_SET_1_REAL/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","68","280083","0.0-68.0","e1pueloc","","","","","","","",""
"1428.0499999999884","{""judgement"":1}","[0]","survey-likert","69","281512","0.0-69.0","e1pueloc","","","","","","","","1"
"1474.274999999965","{""confidence"":3}","[0]","survey-likert","70","282988","0.0-70.0","e1pueloc","","","","","","","",""
"","","","call-function","71","282989","0.0-71.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","72","284492","0.0-72.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","287591","0.0-73.0","e1pueloc","","","null","","Agent A","veridical","STIM_SET_1_REAL/713796.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","74","289099","0.0-74.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","292221","0.0-75.0","e1pueloc","","","null","","Agent B","scrambled","STIM_SET_3/713633.bmp_pp58_L1_V2_veridical_freeview_isoFalsemismatch_713796.bmp_L3_fps90.mp4",""
"","","","call-function","76","292222","0.0-76.0","e1pueloc","","","","","","","",""
"1692.234999999986","{""judgement"":0}","[0]","survey-likert","77","293915","0.0-77.0","e1pueloc","","","","","","","","0"
"2438.1399999999558","{""confidence"":1}","[0]","survey-likert","78","296355","0.0-78.0","e1pueloc","","","","","","","",""
"","","","call-function","79","296356","0.0-79.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","80","297857","0.0-80.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","81","301079","0.0-81.0","e1pueloc","","","null","","Agent A","scrambled","STIM_SET_3/1159392.bmp_pp96_L2_V2_veridical_freeview_isoFalsemismatch_1592934.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","82","302584","0.0-82.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","83","305680","0.0-83.0","e1pueloc","","","null","","Agent B","veridical","STIM_SET_1_REAL/1592934.bmp_pp63_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","84","305681","0.0-84.0","e1pueloc","","","","","","","",""
"1618.2000000000116","{""judgement"":0}","[0]","survey-likert","85","307300","0.0-85.0","e1pueloc","","","","","","","","1"
"2320.5599999999977","{""confidence"":2}","[0]","survey-likert","86","309622","0.0-86.0","e1pueloc","","","","","","","",""
"4092.484999999986","","","instructions","87","313716","0.0-87.0","e1pueloc","[{""page_index"":0,""viewing_time"":1582.2999999999884},{""page_index"":1,""viewing_time"":1588.109999999986},{""page_index"":2,""viewing_time"":921.9150000000373}]","","","","","","",""
"1951.085000000021","","","instructions","88","315668","0.0-88.0","e1pueloc","[{""page_index"":0,""viewing_time"":671.109999999986},{""page_index"":1,""viewing_time"":611.2399999999907},{""page_index"":2,""viewing_time"":668.625}]","","","","","","",""
"","","","call-function","89","315669","0.0-89.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","90","317173","0.0-90.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","91","320286","0.0-91.0","e1pueloc","","","null","","Agent A","scrambled","STIM_SET_3/1159329.bmp_pp61_L2_V2_veridical_freeview_isoFalsemismatch_1592817.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","92","321792","0.0-92.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","93","324883","0.0-93.0","e1pueloc","","","null","","Agent B","veridical","STIM_SET_1_REAL/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","94","324885","0.0-94.0","e1pueloc","","","","","","","",""
"1949.2900000000373","{""judgement"":0}","[0]","survey-likert","95","326835","0.0-95.0","e1pueloc","","","","","","","","1"
"1385.75","{""confidence"":1}","[0]","survey-likert","96","328222","0.0-96.0","e1pueloc","","","","","","","",""
"","","","call-function","97","328223","0.0-97.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","98","329728","0.0-98.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","99","332805","0.0-99.0","e1pueloc","","","null","","Agent A","veridical","STIM_SET_1_REAL/1591954.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","100","334309","0.0-100.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","101","337390","0.0-101.0","e1pueloc","","","null","","Agent B","scrambled","STIM_SET_3/1160049.bmp_pp53_L2_V2_veridical_freeview_isoFalsemismatch_1591954.bmp_L2_fps90.mp4",""
"","","","call-function","102","337391","0.0-102.0","e1pueloc","","","","","","","",""
"2819.9799999999814","{""judgement"":0}","[0]","survey-likert","103","340212","0.0-103.0","e1pueloc","","","","","","","","0"
"1180.7799999999697","{""confidence"":2}","[0]","survey-likert","104","341395","0.0-104.0","e1pueloc","","","","","","","",""
"","","","call-function","105","341396","0.0-105.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","106","342897","0.0-106.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","107","347408","0.0-107.0","e1pueloc","","","null","","Agent A","scrambled","STIM_SET_3/285946.bmp_pp79_L2_V2_veridical_freeview_isoFalsemismatch_285751.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","108","348911","0.0-108.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","109","351991","0.0-109.0","e1pueloc","","","null","","Agent B","veridical","STIM_SET_1_REAL/285751.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","110","351993","0.0-110.0","e1pueloc","","","","","","","",""
"2898.4500000000116","{""judgement"":1}","[0]","survey-likert","111","354893","0.0-111.0","e1pueloc","","","","","","","","1"
"2073.0849999999627","{""confidence"":2}","[0]","survey-likert","112","356968","0.0-112.0","e1pueloc","","","","","","","",""
"","","","call-function","113","356969","0.0-113.0","e1pueloc","","","","","","","",""
"null","","","html-keyboard-response","114","358471","0.0-114.0","e1pueloc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","115","361553","0.0-115.0","e1pueloc","","","null","","Agent A","scrambled","STIM_SET_3/1591975.bmp_pp88_L2_V2_veridical_freeview_isoFalsemismatch_713017.bmp_L2_fps90.mp4",""
