"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"9087.925","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","9095","0.0-0.0","e3gaamyz","","","","","","","",""
"162991.12000000002","","","instructions","1","172088","0.0-1.0","e3gaamyz","[{""page_index"":0,""viewing_time"":162990.97}]","","","","","","",""
"5929.635000000009","","","instructions","2","178019","0.0-2.0","e3gaamyz","[{""page_index"":0,""viewing_time"":2068.540000000008},{""page_index"":1,""viewing_time"":2366.13499999998},{""page_index"":2,""viewing_time"":1494.8400000000256}]","","","","","","",""
"1945.2600000000093","","","instructions","3","179965","0.0-3.0","e3gaamyz","[{""page_index"":0,""viewing_time"":1945.1549999999988}]","","","","","","",""
"null","","","video-keyboard-response","4","183041","0.0-4.0","e3gaamyz","","","null","","","","",""
"12449.190000000002","","","instructions","5","195491","0.0-5.0","e3gaamyz","[{""page_index"":0,""viewing_time"":2519.970000000001},{""page_index"":1,""viewing_time"":4190.029999999999},{""page_index"":2,""viewing_time"":1207.0350000000035},{""page_index"":3,""viewing_time"":1566.3500000000058},{""page_index"":4,""viewing_time"":2965.670000000013}]","","","","","","",""
"5718.529999999999","","","instructions","6","201210","0.0-6.0","e3gaamyz","[{""page_index"":0,""viewing_time"":5718.390000000014}]","","","","","","",""
"","","","call-function","7","201211","0.0-7.0","e3gaamyz","","","","","","","",""
"null","","","html-keyboard-response","8","202715","0.0-8.0","e3gaamyz","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","205784","0.0-9.0","e3gaamyz","","","null","","Agent A","veridical","STIM_SET_1_REAL/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","207286","0.0-10.0","e3gaamyz","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","210355","0.0-11.0","e3gaamyz","","","null","","Agent B","scrambled","STIM_SET_3/1159973.bmp_pp98_L1_V2_veridical_freeview_isoFalsemismatch_285933.bmp_L1_fps90.mp4",""
"","","","call-function","12","210356","0.0-12.0","e3gaamyz","","","","","","","",""
"1846.1100000000151","{""judgement"":0}","[0]","survey-likert","13","212203","0.0-13.0","e3gaamyz","","","","","","","","0"
"1904.5100000000093","{""confidence"":3}","[0]","survey-likert","14","214109","0.0-14.0","e3gaamyz","","","","","","","",""
"","","","call-function","15","214110","0.0-15.0","e3gaamyz","","","","","","","",""
"null","","","html-keyboard-response","16","215612","0.0-16.0","e3gaamyz","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","218683","0.0-17.0","e3gaamyz","","","null","","Agent A","scrambled","STIM_SET_3/1159329.bmp_pp61_L2_V2_veridical_freeview_isoFalsemismatch_1592817.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","18","220187","0.0-18.0","e3gaamyz","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","223279","0.0-19.0","e3gaamyz","","","null","","Agent B","veridical","STIM_SET_1_REAL/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","20","223279","0.0-20.0","e3gaamyz","","","","","","","",""
"2143.149999999994","{""judgement"":1}","[0]","survey-likert","21","225424","0.0-21.0","e3gaamyz","","","","","","","","1"
"2449.2299999999814","{""confidence"":3}","[0]","survey-likert","22","227875","0.0-22.0","e3gaamyz","","","","","","","",""
"","","","call-function","23","227875","0.0-23.0","e3gaamyz","","","","","","","",""
"null","","","html-keyboard-response","24","229380","0.0-24.0","e3gaamyz","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","232471","0.0-25.0","e3gaamyz","","","null","","Agent A","scrambled","STIM_SET_3/1592305.bmp_pp65_L3_V2_veridical_freeview_isoFalsemismatch_713779.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","26","233978","0.0-26.0","e3gaamyz","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","237066","0.0-27.0","e3gaamyz","","","null","","Agent B","veridical","STIM_SET_1_REAL/713779.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","237067","0.0-28.0","e3gaamyz","","","","","","","",""
"1900.2950000000128","{""judgement"":1}","[0]","survey-likert","29","238969","0.0-29.0","e3gaamyz","","","","","","","","1"
"1494.4100000000035","{""confidence"":1}","[0]","survey-likert","30","240465","0.0-30.0","e3gaamyz","","","","","","","",""
"","","","call-function","31","240466","0.0-31.0","e3gaamyz","","","","","","","",""
"null","","","html-keyboard-response","32","241971","0.0-32.0","e3gaamyz","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
