"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"9381.324999999999","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","9390","0.0-0.0","edepucu8","","","","","","","",""
"18481.525","","","instructions","1","27873","0.0-1.0","edepucu8","[{""page_index"":0,""viewing_time"":18480.97}]","","","","","","",""
"4369.395","","","instructions","2","32244","0.0-2.0","edepucu8","[{""page_index"":0,""viewing_time"":729.0449999999983},{""page_index"":1,""viewing_time"":1692.5650000000023},{""page_index"":2,""viewing_time"":1947.6499999999978}]","","","","","","",""
"1739.7150000000001","","","instructions","3","33985","0.0-3.0","edepucu8","[{""page_index"":0,""viewing_time"":1739.6150000000016}]","","","","","","",""
"null","","","video-keyboard-response","4","37057","0.0-4.0","edepucu8","","","null","","","","",""
"6823.93","","","instructions","5","43882","0.0-5.0","edepucu8","[{""page_index"":0,""viewing_time"":1837.3400000000038},{""page_index"":1,""viewing_time"":1460.364999999998},{""page_index"":2,""viewing_time"":459.66999999999825},{""page_index"":3,""viewing_time"":1563.9200000000055},{""page_index"":4,""viewing_time"":1502.4749999999985}]","","","","","","",""
"2181.270000000004","","","instructions","6","46063","0.0-6.0","edepucu8","[{""page_index"":0,""viewing_time"":2181.145000000004}]","","","","","","",""
"","","","call-function","7","46064","0.0-7.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","8","47567","0.0-8.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","50408","0.0-9.0","edepucu8","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592657.bmp_pp98_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","10","51912","0.0-10.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","54745","0.0-11.0","edepucu8","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592657.bmp_pp98_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","54746","0.0-12.0","edepucu8","","","","","","","",""
"1213.0650000000023","{""judgement"":1}","[0]","survey-likert","13","55960","0.0-13.0","edepucu8","","","","","","","","1"
"2231.8250000000044","{""confidence"":3}","[0]","survey-likert","14","58193","0.0-14.0","edepucu8","","","","","","","",""
"","","","call-function","15","58194","0.0-15.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","16","59696","0.0-16.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","62343","0.0-17.0","edepucu8","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","63849","0.0-18.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","66508","0.0-19.0","edepucu8","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","66508","0.0-20.0","edepucu8","","","","","","","",""
"2471.439999999988","{""judgement"":1}","[0]","survey-likert","21","68982","0.0-21.0","edepucu8","","","","","","","","0"
"1270.2749999999942","{""confidence"":1}","[0]","survey-likert","22","70253","0.0-22.0","edepucu8","","","","","","","",""
"","","","call-function","23","70254","0.0-23.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","24","71760","0.0-24.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","74302","0.0-25.0","edepucu8","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/713513.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","26","75805","0.0-26.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","78356","0.0-27.0","edepucu8","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/713513.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","78357","0.0-28.0","edepucu8","","","","","","","",""
"3092.5899999999965","{""judgement"":1}","[0]","survey-likert","29","81450","0.0-29.0","edepucu8","","","","","","","","1"
"2256.1600000000035","{""confidence"":1}","[0]","survey-likert","30","83707","0.0-30.0","edepucu8","","","","","","","",""
"","","","call-function","31","83708","0.0-31.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","32","85211","0.0-32.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","87975","0.0-33.0","edepucu8","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/498111.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","89478","0.0-34.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","92229","0.0-35.0","edepucu8","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/498111.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","36","92229","0.0-36.0","edepucu8","","","","","","","",""
"1939.770000000004","{""judgement"":0}","[0]","survey-likert","37","94170","0.0-37.0","edepucu8","","","","","","","","0"
"1823.715000000011","{""confidence"":2}","[0]","survey-likert","38","95995","0.0-38.0","edepucu8","","","","","","","",""
"","","","call-function","39","95995","0.0-39.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","40","97497","0.0-40.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","100327","0.0-41.0","edepucu8","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159882.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","42","101830","0.0-42.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","104669","0.0-43.0","edepucu8","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1159882.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","44","104670","0.0-44.0","edepucu8","","","","","","","",""
"3311.8099999999977","{""judgement"":1}","[0]","survey-likert","45","107983","0.0-45.0","edepucu8","","","","","","","","0"
"942.8799999999901","{""confidence"":2}","[0]","survey-likert","46","108927","0.0-46.0","edepucu8","","","","","","","",""
"","","","call-function","47","108928","0.0-47.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","48","110429","0.0-48.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","112987","0.0-49.0","edepucu8","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/713760.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","50","114491","0.0-50.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","117046","0.0-51.0","edepucu8","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/713760.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","52","117046","0.0-52.0","edepucu8","","","","","","","",""
"1750.125","{""judgement"":1}","[0]","survey-likert","53","118797","0.0-53.0","edepucu8","","","","","","","","1"
"1618.6300000000047","{""confidence"":2}","[0]","survey-likert","54","120417","0.0-54.0","edepucu8","","","","","","","",""
"","","","call-function","55","120418","0.0-55.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","56","121923","0.0-56.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","124648","0.0-57.0","edepucu8","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","58","126151","0.0-58.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","128854","0.0-59.0","edepucu8","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","60","128854","0.0-60.0","edepucu8","","","","","","","",""
"1998.050000000003","{""judgement"":0}","[0]","survey-likert","61","130853","0.0-61.0","edepucu8","","","","","","","","0"
"1376.1050000000105","{""confidence"":2}","[0]","survey-likert","62","132230","0.0-62.0","edepucu8","","","","","","","",""
"","","","call-function","63","132231","0.0-63.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","64","133735","0.0-64.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","136513","0.0-65.0","edepucu8","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/713749.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","66","138019","0.0-66.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","140787","0.0-67.0","edepucu8","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/713749.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","68","140788","0.0-68.0","edepucu8","","","","","","","",""
"2114.304999999993","{""judgement"":0}","[0]","survey-likert","69","142903","0.0-69.0","edepucu8","","","","","","","","1"
"1833.1100000000151","{""confidence"":3}","[0]","survey-likert","70","144737","0.0-70.0","edepucu8","","","","","","","",""
"","","","call-function","71","144737","0.0-71.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","72","146241","0.0-72.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","149042","0.0-73.0","edepucu8","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","74","150544","0.0-74.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","153334","0.0-75.0","edepucu8","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","76","153334","0.0-76.0","edepucu8","","","","","","","",""
"1897.5599999999977","{""judgement"":1}","[0]","survey-likert","77","155233","0.0-77.0","edepucu8","","","","","","","","1"
"2756.4100000000035","{""confidence"":3}","[0]","survey-likert","78","157990","0.0-78.0","edepucu8","","","","","","","",""
"","","","call-function","79","157990","0.0-79.0","edepucu8","","","","","","","",""
"null","","","html-keyboard-response","80","159494","0.0-80.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","81","162420","0.0-81.0","edepucu8","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159572.bmp_pp71_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","82","163925","0.0-82.0","edepucu8","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
