"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"21049.675","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","21058","0.0-0.0","eeddyect","","","","","","","",""
"494859.995","","","instructions","1","515921","0.0-1.0","eeddyect","[{""page_index"":0,""viewing_time"":494859.435}]","","","","","","",""
"10566.97000000003","","","instructions","2","526489","0.0-2.0","eeddyect","[{""page_index"":0,""viewing_time"":1272.7550000000047},{""page_index"":1,""viewing_time"":41.59000000002561},{""page_index"":2,""viewing_time"":9252.494999999995}]","","","","","","",""
"4393.144999999902","","","instructions","3","530883","0.0-3.0","eeddyect","[{""page_index"":0,""viewing_time"":4393.039999999921}]","","","","","","",""
"null","","","video-keyboard-response","4","533955","0.0-4.0","eeddyect","","","null","","","","",""
"24723.849999999977","","","instructions","5","558679","0.0-5.0","eeddyect","[{""page_index"":0,""viewing_time"":2576.689999999944},{""page_index"":1,""viewing_time"":4186.125},{""page_index"":2,""viewing_time"":1053.8800000000047},{""page_index"":3,""viewing_time"":10336.07500000007},{""page_index"":4,""viewing_time"":6570.949999999953}]","","","","","","",""
"4427.8300000000745","","","instructions","6","563107","0.0-6.0","eeddyect","[{""page_index"":0,""viewing_time"":4427.70000000007}]","","","","","","",""
"","","","call-function","7","563108","0.0-7.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","8","564613","0.0-8.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","567676","0.0-9.0","eeddyect","","","null","","Agent A","scrambled","STIM_SET_1/713760.bmp_pp81_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","569180","0.0-10.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","572245","0.0-11.0","eeddyect","","","null","","Agent B","veridical","STIM_SET_1/713760.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","12","572246","0.0-12.0","eeddyect","","","","","","","",""
"8249.160000000033","{""judgement"":1}","[0]","survey-likert","13","580496","0.0-13.0","eeddyect","","","","","","","","1"
"6074.890000000014","{""confidence"":1}","[0]","survey-likert","14","586572","0.0-14.0","eeddyect","","","","","","","",""
"","","","call-function","15","586573","0.0-15.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","16","588074","0.0-16.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","591155","0.0-17.0","eeddyect","","","null","","Agent A","veridical","STIM_SET_1/1592372.bmp_pp76_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","592660","0.0-18.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","595782","0.0-19.0","eeddyect","","","null","","Agent B","scrambled","STIM_SET_1/1592372.bmp_pp76_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","595782","0.0-20.0","eeddyect","","","","","","","",""
"5612.744999999995","{""judgement"":0}","[0]","survey-likert","21","601397","0.0-21.0","eeddyect","","","","","","","","0"
"2903.234999999986","{""confidence"":1}","[0]","survey-likert","22","604301","0.0-22.0","eeddyect","","","","","","","",""
"","","","call-function","23","604302","0.0-23.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","24","605804","0.0-24.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","608876","0.0-25.0","eeddyect","","","null","","Agent A","veridical","STIM_SET_1/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","610379","0.0-26.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","613490","0.0-27.0","eeddyect","","","null","","Agent B","scrambled","STIM_SET_1/285933.bmp_pp81_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","28","613490","0.0-28.0","eeddyect","","","","","","","",""
"6248.1699999999255","{""judgement"":0}","[0]","survey-likert","29","619739","0.0-29.0","eeddyect","","","","","","","","0"
"2977.25","{""confidence"":2}","[0]","survey-likert","30","622717","0.0-30.0","eeddyect","","","","","","","",""
"","","","call-function","31","622718","0.0-31.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","32","624221","0.0-32.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","627307","0.0-33.0","eeddyect","","","null","","Agent A","veridical","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","628809","0.0-34.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","631887","0.0-35.0","eeddyect","","","null","","Agent B","scrambled","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","36","631887","0.0-36.0","eeddyect","","","","","","","",""
"7988.104999999981","{""judgement"":1}","[0]","survey-likert","37","639876","0.0-37.0","eeddyect","","","","","","","","0"
"3342.064999999944","{""confidence"":1}","[0]","survey-likert","38","643219","0.0-38.0","eeddyect","","","","","","","",""
"","","","call-function","39","643220","0.0-39.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","40","644723","0.0-40.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","647799","0.0-41.0","eeddyect","","","null","","Agent A","scrambled","STIM_SET_1/713796.bmp_pp84_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","42","649304","0.0-42.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","652379","0.0-43.0","eeddyect","","","null","","Agent B","veridical","STIM_SET_1/713796.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","44","652380","0.0-44.0","eeddyect","","","","","","","",""
"2839.2099999999627","{""judgement"":1}","[0]","survey-likert","45","655220","0.0-45.0","eeddyect","","","","","","","","1"
"2912","{""confidence"":2}","[0]","survey-likert","46","658134","0.0-46.0","eeddyect","","","","","","","",""
"","","","call-function","47","658135","0.0-47.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","48","659641","0.0-48.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","662711","0.0-49.0","eeddyect","","","null","","Agent A","scrambled","STIM_SET_1/1592362.bmp_pp95_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","50","664212","0.0-50.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","667286","0.0-51.0","eeddyect","","","null","","Agent B","veridical","STIM_SET_1/1592362.bmp_pp95_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","52","667287","0.0-52.0","eeddyect","","","","","","","",""
"3989.3899999998976","{""judgement"":1}","[0]","survey-likert","53","671277","0.0-53.0","eeddyect","","","","","","","","1"
"2843.719999999972","{""confidence"":1}","[0]","survey-likert","54","674122","0.0-54.0","eeddyect","","","","","","","",""
"","","","call-function","55","674123","0.0-55.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","56","675628","0.0-56.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","678699","0.0-57.0","eeddyect","","","null","","Agent A","scrambled","STIM_SET_1/1159768.bmp_pp89_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","58","680201","0.0-58.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","683272","0.0-59.0","eeddyect","","","null","","Agent B","veridical","STIM_SET_1/1159768.bmp_pp89_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","60","683273","0.0-60.0","eeddyect","","","","","","","",""
"1911.7699999999022","{""judgement"":1}","[0]","survey-likert","61","685185","0.0-61.0","eeddyect","","","","","","","","1"
"2020.1199999999953","{""confidence"":1}","[0]","survey-likert","62","687206","0.0-62.0","eeddyect","","","","","","","",""
"","","","call-function","63","687207","0.0-63.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","64","688709","0.0-64.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","691797","0.0-65.0","eeddyect","","","null","","Agent A","scrambled","STIM_SET_1/713779.bmp_pp152_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","66","693301","0.0-66.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","696386","0.0-67.0","eeddyect","","","null","","Agent B","veridical","STIM_SET_1/713779.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","68","696386","0.0-68.0","eeddyect","","","","","","","",""
"3712.7399999999907","{""judgement"":0}","[0]","survey-likert","69","700100","0.0-69.0","eeddyect","","","","","","","","1"
"1601.6049999999814","{""confidence"":1}","[0]","survey-likert","70","701702","0.0-70.0","eeddyect","","","","","","","",""
"","","","call-function","71","701703","0.0-71.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","72","703207","0.0-72.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","706321","0.0-73.0","eeddyect","","","null","","Agent A","veridical","STIM_SET_1/1159515.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","74","707826","0.0-74.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","710938","0.0-75.0","eeddyect","","","null","","Agent B","scrambled","STIM_SET_1/1159515.bmp_pp84_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","76","710939","0.0-76.0","eeddyect","","","","","","","",""
"3260.5400000000373","{""judgement"":1}","[0]","survey-likert","77","714200","0.0-77.0","eeddyect","","","","","","","","0"
"2872.295000000042","{""confidence"":1}","[0]","survey-likert","78","717073","0.0-78.0","eeddyect","","","","","","","",""
"","","","call-function","79","717074","0.0-79.0","eeddyect","","","","","","","",""
"null","","","html-keyboard-response","80","718575","0.0-80.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","81","721695","0.0-81.0","eeddyect","","","null","","Agent A","veridical","STIM_SET_1/1592890.bmp_pp82_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","82","723197","0.0-82.0","eeddyect","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","83","726264","0.0-83.0","eeddyect","","","null","","Agent B","scrambled","STIM_SET_1/1592890.bmp_pp82_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","84","726264","0.0-84.0","eeddyect","","","","","","","",""
"3973.840000000084","{""judgement"":0}","[0]","survey-likert","85","730239","0.0-85.0","eeddyect","","","","","","","","0"
"2403.2600000000093","{""confidence"":2}","[0]","survey-likert","86","732643","0.0-86.0","eeddyect","","","","","","","",""
"27135.594999999972","","","instructions","87","759779","0.0-87.0","eeddyect","[{""page_index"":0,""viewing_time"":1743.3649999999907},{""page_index"":1,""viewing_time"":19690.030000000028},{""page_index"":2,""viewing_time"":5701.954999999958}]","","","","","","",""
