"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"181517.515","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","181526","0.0-0.0","enfuq804","","","","","","","",""
"25471.42499999999","","","instructions","1","206999","0.0-1.0","enfuq804","[{""page_index"":0,""viewing_time"":25471.28}]","","","","","","",""
"12359.619999999995","","","instructions","2","219360","0.0-2.0","enfuq804","[{""page_index"":0,""viewing_time"":912.6750000000175},{""page_index"":1,""viewing_time"":1815.109999999986},{""page_index"":0,""viewing_time"":671.0400000000081},{""page_index"":1,""viewing_time"":3665.0050000000047},{""page_index"":2,""viewing_time"":5295.6600000000035}]","","","","","","",""
"1588.4349999999977","","","instructions","3","220949","0.0-3.0","enfuq804","[{""page_index"":0,""viewing_time"":1588.335000000021}]","","","","","","",""
"null","","","video-keyboard-response","4","224022","0.0-4.0","enfuq804","","","null","","","","",""
"12319.179999999993","","","instructions","5","236342","0.0-5.0","enfuq804","[{""page_index"":0,""viewing_time"":1541.5199999999895},{""page_index"":1,""viewing_time"":1944.2750000000233},{""page_index"":2,""viewing_time"":661.7599999999802},{""page_index"":3,""viewing_time"":2939.1450000000186},{""page_index"":4,""viewing_time"":5232.334999999992}]","","","","","","",""
"3514.3150000000023","","","instructions","6","239857","0.0-6.0","enfuq804","[{""page_index"":0,""viewing_time"":3514.2000000000116}]","","","","","","",""
"","","","call-function","7","239858","0.0-7.0","enfuq804","","","","","","","",""
"null","","","html-keyboard-response","8","241363","0.0-8.0","enfuq804","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","244101","0.0-9.0","enfuq804","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1591954.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","10","245606","0.0-10.0","enfuq804","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","248343","0.0-11.0","enfuq804","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1591954.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","248344","0.0-12.0","enfuq804","","","","","","","",""
"3001.484999999986","{""judgement"":1}","[0]","survey-likert","13","251346","0.0-13.0","enfuq804","","","","","","","","1"
"1808.8649999999907","{""confidence"":0}","[0]","survey-likert","14","253156","0.0-14.0","enfuq804","","","","","","","",""
"","","","call-function","15","253157","0.0-15.0","enfuq804","","","","","","","",""
"null","","","html-keyboard-response","16","254658","0.0-16.0","enfuq804","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","257528","0.0-17.0","enfuq804","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/285905.bmp_pp57_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","259030","0.0-18.0","enfuq804","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","261898","0.0-19.0","enfuq804","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/285905.bmp_pp57_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","261898","0.0-20.0","enfuq804","","","","","","","",""
"2445.904999999999","{""judgement"":0}","[0]","survey-likert","21","264345","0.0-21.0","enfuq804","","","","","","","","0"
