"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"118948.51500000001","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","118956","0.0-0.0","eo54l9ym","","","","","","","",""
"26949.15000000001","","","instructions","1","145907","0.0-1.0","eo54l9ym","[{""page_index"":0,""viewing_time"":26949.000000000015}]","","","","","","",""
"7335.125","{""Age"":0,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","153244","0.0-2.0","eo54l9ym","","","","","","","",""
"20137.73000000001","","","instructions","3","173382","0.0-3.0","eo54l9ym","[{""page_index"":0,""viewing_time"":5490.955000000016},{""page_index"":1,""viewing_time"":1504.7299999999814},{""page_index"":2,""viewing_time"":13141.920000000013}]","","","","","","",""
"4299.6050000000105","","","instructions","4","177682","0.0-4.0","eo54l9ym","[{""page_index"":0,""viewing_time"":4299.5}]","","","","","","",""
"null","","","video-keyboard-response","5","180757","0.0-5.0","eo54l9ym","","","null","","","","",""
"14646.940000000002","","","instructions","6","195405","0.0-6.0","eo54l9ym","[{""page_index"":0,""viewing_time"":3634.1900000000023},{""page_index"":1,""viewing_time"":3324.0250000000233},{""page_index"":2,""viewing_time"":7688.179999999993}]","","","","","","",""
"2938.0899999999965","","","instructions","7","198345","0.0-7.0","eo54l9ym","[{""page_index"":0,""viewing_time"":2937.9899999999907}]","","","","","","",""
"2394.515000000014","","","instructions","8","200740","0.0-8.0","eo54l9ym","[{""page_index"":0,""viewing_time"":2394.420000000013}]","","","","","","",""
"null","","","video-keyboard-response","9","203815","0.0-9.0","eo54l9ym","","","null","","","","",""
"17112.97","","","instructions","10","220929","0.0-10.0","eo54l9ym","[{""page_index"":0,""viewing_time"":2843.529999999999},{""page_index"":1,""viewing_time"":3269.1149999999907},{""page_index"":2,""viewing_time"":11000.195000000007}]","","","","","","",""
"9658.429999999993","","","instructions","11","230587","0.0-11.0","eo54l9ym","[{""page_index"":0,""viewing_time"":9658.320000000007}]","","","","","","",""
"","","","call-function","12","230588","0.0-12.0","eo54l9ym","","","","","","","",""
"null","","","html-keyboard-response","13","232090","0.0-13.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","234918","0.0-14.0","eo54l9ym","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/713742.bmp_pp91_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","15","236419","0.0-15.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","239244","0.0-16.0","eo54l9ym","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/713742.bmp_pp91_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","17","239245","0.0-17.0","eo54l9ym","","","","","","","",""
"2921.475000000006","{""judgement"":0}","[0]","survey-likert","18","242167","0.0-18.0","eo54l9ym","","","","","","","","0"
"3182.945000000007","{""confidence"":2}","[0]","survey-likert","19","245351","0.0-19.0","eo54l9ym","","","","","","","",""
"","","","call-function","20","245352","0.0-20.0","eo54l9ym","","","","","","","",""
"null","","","html-keyboard-response","21","246854","0.0-21.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","22","249632","0.0-22.0","eo54l9ym","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/713790.bmp_pp100_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","23","251134","0.0-23.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","24","253931","0.0-24.0","eo54l9ym","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/713790.bmp_pp100_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","25","253931","0.0-25.0","eo54l9ym","","","","","","","",""
"3459.600000000006","{""judgement"":1}","[0]","survey-likert","26","257392","0.0-26.0","eo54l9ym","","","","","","","","0"
"1786.0800000000163","{""confidence"":1}","[0]","survey-likert","27","259179","0.0-27.0","eo54l9ym","","","","","","","",""
"","","","call-function","28","259179","0.0-28.0","eo54l9ym","","","","","","","",""
"null","","","html-keyboard-response","29","260683","0.0-29.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","30","263107","0.0-30.0","eo54l9ym","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592951.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","31","264611","0.0-31.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","32","267025","0.0-32.0","eo54l9ym","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1592951.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","33","267025","0.0-33.0","eo54l9ym","","","","","","","",""
"4891.534999999974","{""judgement"":0}","[0]","survey-likert","34","271918","0.0-34.0","eo54l9ym","","","","","","","","1"
"1475.3249999999534","{""confidence"":0}","[0]","survey-likert","35","273394","0.0-35.0","eo54l9ym","","","","","","","",""
"","","","call-function","36","273394","0.0-36.0","eo54l9ym","","","","","","","",""
"null","","","html-keyboard-response","37","274899","0.0-37.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","38","277001","0.0-38.0","eo54l9ym","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1159973.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","39","278505","0.0-39.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","40","280608","0.0-40.0","eo54l9ym","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1159973.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","41","280608","0.0-41.0","eo54l9ym","","","","","","","",""
"2016.125","{""judgement"":1}","[0]","survey-likert","42","282625","0.0-42.0","eo54l9ym","","","","","","","","0"
"2845.1450000000186","{""confidence"":2}","[0]","survey-likert","43","285471","0.0-43.0","eo54l9ym","","","","","","","",""
"","","","call-function","44","285471","0.0-44.0","eo54l9ym","","","","","","","",""
"null","","","html-keyboard-response","45","286976","0.0-45.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","46","289769","0.0-46.0","eo54l9ym","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1159860.bmp_pp152_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","47","291271","0.0-47.0","eo54l9ym","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","48","294052","0.0-48.0","eo54l9ym","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1159860.bmp_pp152_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
