"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"268730.77","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","268739","0.0-0.0","eoycy3ot","","","","","","","",""
"27158.23999999999","","","instructions","1","295899","0.0-1.0","eoycy3ot","[{""page_index"":0,""viewing_time"":27158.08500000002}]","","","","","","",""
"39530.140000000014","","","instructions","2","335431","0.0-2.0","eoycy3ot","[{""page_index"":0,""viewing_time"":2351.070000000007},{""page_index"":1,""viewing_time"":24057.130000000005},{""page_index"":2,""viewing_time"":13121.820000000007}]","","","","","","",""
"5054.915000000037","","","instructions","3","340487","0.0-3.0","eoycy3ot","[{""page_index"":0,""viewing_time"":5054.809999999998}]","","","","","","",""
"null","","","video-keyboard-response","4","343563","0.0-4.0","eoycy3ot","","","null","","","","",""
"40441.185","","","instructions","5","384005","0.0-5.0","eoycy3ot","[{""page_index"":0,""viewing_time"":7582.319999999949},{""page_index"":1,""viewing_time"":9533.85500000004},{""page_index"":2,""viewing_time"":3026.070000000007},{""page_index"":3,""viewing_time"":11521.844999999972},{""page_index"":4,""viewing_time"":8776.875}]","","","","","","",""
"5268.915000000037","","","instructions","6","389275","0.0-6.0","eoycy3ot","[{""page_index"":0,""viewing_time"":5268.785000000033}]","","","","","","",""
"","","","call-function","7","389277","0.0-7.0","eoycy3ot","","","","","","","",""
"null","","","html-keyboard-response","8","390780","0.0-8.0","eoycy3ot","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","393871","0.0-9.0","eoycy3ot","","","null","","Agent A","scrambled","STIM_SET_3/1159508.bmp_pp151_L1_V2_veridical_freeview_isoFalsemismatch_1159675.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","10","395373","0.0-10.0","eoycy3ot","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","398452","0.0-11.0","eoycy3ot","","","null","","Agent B","veridical","STIM_SET_1_REAL/1159675.bmp_pp77_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","398453","0.0-12.0","eoycy3ot","","","","","","","",""
"9170.265000000014","{""judgement"":1}","[0]","survey-likert","13","407625","0.0-13.0","eoycy3ot","","","","","","","","1"
"4001.75","{""confidence"":1}","[0]","survey-likert","14","411628","0.0-14.0","eoycy3ot","","","","","","","",""
"","","","call-function","15","411629","0.0-15.0","eoycy3ot","","","","","","","",""
