"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"141128.905","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","141138","0.0-0.0","fcdq4u3b","","","","","","","",""
"25986.464999999997","","","instructions","1","167126","0.0-1.0","fcdq4u3b","[{""page_index"":0,""viewing_time"":25986.315000000002}]","","","","","","",""
"34716.44","","","instructions","2","201843","0.0-2.0","fcdq4u3b","[{""page_index"":0,""viewing_time"":1343.6849999999977},{""page_index"":1,""viewing_time"":24615.704999999987},{""page_index"":2,""viewing_time"":8756.929999999993}]","","","","","","",""
"2650.320000000007","","","instructions","3","204494","0.0-3.0","fcdq4u3b","[{""page_index"":0,""viewing_time"":2650.2149999999965}]","","","","","","",""
"null","","","video-keyboard-response","4","207574","0.0-4.0","fcdq4u3b","","","null","","","","",""
"17759","","","instructions","5","225334","0.0-5.0","fcdq4u3b","[{""page_index"":0,""viewing_time"":2890.820000000007},{""page_index"":1,""viewing_time"":2357.0899999999965},{""page_index"":2,""viewing_time"":1076.9700000000012},{""page_index"":3,""viewing_time"":4855.1050000000105},{""page_index"":4,""viewing_time"":6578.8949999999895}]","","","","","","",""
"5770.705000000016","","","instructions","6","231105","0.0-6.0","fcdq4u3b","[{""page_index"":0,""viewing_time"":5770.584999999992}]","","","","","","",""
"","","","call-function","7","231106","0.0-7.0","fcdq4u3b","","","","","","","",""
"null","","","html-keyboard-response","8","232612","0.0-8.0","fcdq4u3b","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","235680","0.0-9.0","fcdq4u3b","","","null","","Agent A","veridical","STIM_SET_1/286001.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","237184","0.0-10.0","fcdq4u3b","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","240252","0.0-11.0","fcdq4u3b","","","null","","Agent B","scrambled","STIM_SET_1/286001.bmp_pp54_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","12","240253","0.0-12.0","fcdq4u3b","","","","","","","",""
"2196.154999999999","{""judgement"":0}","[0]","survey-likert","13","242450","0.0-13.0","fcdq4u3b","","","","","","","","0"
"3887.1049999999814","{""confidence"":2}","[0]","survey-likert","14","246339","0.0-14.0","fcdq4u3b","","","","","","","",""
"","","","call-function","15","246339","0.0-15.0","fcdq4u3b","","","","","","","",""
"null","","","html-keyboard-response","16","247841","0.0-16.0","fcdq4u3b","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","250917","0.0-17.0","fcdq4u3b","","","null","","Agent A","veridical","STIM_SET_1/713135.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","252420","0.0-18.0","fcdq4u3b","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","255489","0.0-19.0","fcdq4u3b","","","null","","Agent B","scrambled","STIM_SET_1/713135.bmp_pp54_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","255490","0.0-20.0","fcdq4u3b","","","","","","","",""
"2916.149999999994","{""judgement"":0}","[0]","survey-likert","21","258408","0.0-21.0","fcdq4u3b","","","","","","","","0"
"2606.2050000000163","{""confidence"":3}","[0]","survey-likert","22","261016","0.0-22.0","fcdq4u3b","","","","","","","",""
"","","","call-function","23","261016","0.0-23.0","fcdq4u3b","","","","","","","",""
"null","","","html-keyboard-response","24","262520","0.0-24.0","fcdq4u3b","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","265599","0.0-25.0","fcdq4u3b","","","null","","Agent A","scrambled","STIM_SET_1/498175.bmp_pp154_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","267102","0.0-26.0","fcdq4u3b","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","270181","0.0-27.0","fcdq4u3b","","","null","","Agent B","veridical","STIM_SET_1/498175.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","28","270181","0.0-28.0","fcdq4u3b","","","","","","","",""
"2019.2099999999627","{""judgement"":1}","[0]","survey-likert","29","272203","0.0-29.0","fcdq4u3b","","","","","","","","1"
"2381.4949999999953","{""confidence"":3}","[0]","survey-likert","30","274586","0.0-30.0","fcdq4u3b","","","","","","","",""
"","","","call-function","31","274586","0.0-31.0","fcdq4u3b","","","","","","","",""
"null","","","html-keyboard-response","32","276088","0.0-32.0","fcdq4u3b","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","279168","0.0-33.0","fcdq4u3b","","","null","","Agent A","veridical","STIM_SET_1/1592372.bmp_pp76_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","280674","0.0-34.0","fcdq4u3b","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","283798","0.0-35.0","fcdq4u3b","","","null","","Agent B","scrambled","STIM_SET_1/1592372.bmp_pp76_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","36","283799","0.0-36.0","fcdq4u3b","","","","","","","",""
"3716.625","{""judgement"":1}","[0]","survey-likert","37","287517","0.0-37.0","fcdq4u3b","","","","","","","","0"
"1638.640000000014","{""confidence"":1}","[0]","survey-likert","38","289156","0.0-38.0","fcdq4u3b","","","","","","","",""
"","","","call-function","39","289157","0.0-39.0","fcdq4u3b","","","","","","","",""
"null","","","html-keyboard-response","40","290660","0.0-40.0","fcdq4u3b","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
