"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"7546.235","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","7554","0.0-0.0","g432mzcc","","","","","","","",""
"11666.665","","","instructions","1","19222","0.0-1.0","g432mzcc","[{""page_index"":0,""viewing_time"":11666.11}]","","","","","","",""
"8551.130000000001","","","instructions","2","27775","0.0-2.0","g432mzcc","[{""page_index"":0,""viewing_time"":2890.0650000000023},{""page_index"":1,""viewing_time"":46.11000000000058},{""page_index"":2,""viewing_time"":5614.82}]","","","","","","",""
"2803.800000000003","","","instructions","3","30579","0.0-3.0","g432mzcc","[{""page_index"":0,""viewing_time"":2803.6950000000033}]","","","","","","",""
"null","","","video-keyboard-response","4","33655","0.0-4.0","g432mzcc","","","null","","","","",""
"9930.199999999997","","","instructions","5","43586","0.0-5.0","g432mzcc","[{""page_index"":0,""viewing_time"":3066.824999999997},{""page_index"":1,""viewing_time"":2010.175000000003},{""page_index"":2,""viewing_time"":1654.9749999999985},{""page_index"":3,""viewing_time"":3078.8300000000017},{""page_index"":4,""viewing_time"":119.23500000000058}]","","","","","","",""
"2390.4249999999956","","","instructions","6","45976","0.0-6.0","g432mzcc","[{""page_index"":0,""viewing_time"":2390.2899999999936}]","","","","","","",""
"","","","call-function","7","45977","0.0-7.0","g432mzcc","","","","","","","",""
"null","","","html-keyboard-response","8","47480","0.0-8.0","g432mzcc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","50311","0.0-9.0","g432mzcc","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159675.bmp_pp77_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","51816","0.0-10.0","g432mzcc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","54653","0.0-11.0","g432mzcc","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1159675.bmp_pp77_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
