"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"54604.645000000004","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","54613","0.0-0.0","ggydg62k","","","","","","","",""
"25757.489999999998","","","instructions","1","80372","0.0-1.0","ggydg62k","[{""page_index"":0,""viewing_time"":25757.340000000004}]","","","","","","",""
"15540.775000000009","","","instructions","2","95913","0.0-2.0","ggydg62k","[{""page_index"":0,""viewing_time"":2579.675000000003},{""page_index"":1,""viewing_time"":7393.945000000007},{""page_index"":2,""viewing_time"":5567.034999999989}]","","","","","","",""
"3790.6600000000035","","","instructions","3","99705","0.0-3.0","ggydg62k","[{""page_index"":0,""viewing_time"":3790.5550000000076}]","","","","","","",""
"null","","","video-keyboard-response","4","102784","0.0-4.0","ggydg62k","","","null","","","","",""
"24741.86","","","instructions","5","127527","0.0-5.0","ggydg62k","[{""page_index"":0,""viewing_time"":3664.8350000000064},{""page_index"":1,""viewing_time"":3879.899999999994},{""page_index"":2,""viewing_time"":2361.0850000000064},{""page_index"":3,""viewing_time"":9490.845000000001},{""page_index"":4,""viewing_time"":5345.064999999988}]","","","","","","",""
"3907.590000000011","","","instructions","6","131435","0.0-6.0","ggydg62k","[{""page_index"":0,""viewing_time"":3907.465000000011}]","","","","","","",""
"","","","call-function","7","131435","0.0-7.0","ggydg62k","","","","","","","",""
"null","","","html-keyboard-response","8","132938","0.0-8.0","ggydg62k","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","136013","0.0-9.0","ggydg62k","","","null","","Agent A","veridical","STIM_SET_1/1592581.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","137544","0.0-10.0","ggydg62k","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","140620","0.0-11.0","ggydg62k","","","null","","Agent B","scrambled","STIM_SET_1/1592581.bmp_pp100_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","12","140621","0.0-12.0","ggydg62k","","","","","","","",""
"3477.6050000000105","{""judgement"":0}","[0]","survey-likert","13","144100","0.0-13.0","ggydg62k","","","","","","","","0"
"2944.665000000008","{""confidence"":1}","[0]","survey-likert","14","147046","0.0-14.0","ggydg62k","","","","","","","",""
"","","","call-function","15","147047","0.0-15.0","ggydg62k","","","","","","","",""
"null","","","html-keyboard-response","16","148548","0.0-16.0","ggydg62k","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","151615","0.0-17.0","ggydg62k","","","null","","Agent A","veridical","STIM_SET_1/1593035.bmp_pp94_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","153123","0.0-18.0","ggydg62k","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","156190","0.0-19.0","ggydg62k","","","null","","Agent B","scrambled","STIM_SET_1/1593035.bmp_pp94_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","156190","0.0-20.0","ggydg62k","","","","","","","",""
"2112.694999999978","{""judgement"":0}","[0]","survey-likert","21","158304","0.0-21.0","ggydg62k","","","","","","","","0"
"2588.609999999986","{""confidence"":2}","[0]","survey-likert","22","160894","0.0-22.0","ggydg62k","","","","","","","",""
"","","","call-function","23","160895","0.0-23.0","ggydg62k","","","","","","","",""
"null","","","html-keyboard-response","24","162398","0.0-24.0","ggydg62k","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","165466","0.0-25.0","ggydg62k","","","null","","Agent A","scrambled","STIM_SET_1/713403.bmp_pp80_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","166967","0.0-26.0","ggydg62k","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","170073","0.0-27.0","ggydg62k","","","null","","Agent B","veridical","STIM_SET_1/713403.bmp_pp80_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","28","170073","0.0-28.0","ggydg62k","","","","","","","",""
"2801.1449999999895","{""judgement"":1}","[0]","survey-likert","29","172875","0.0-29.0","ggydg62k","","","","","","","","1"
"1768.5749999999825","{""confidence"":3}","[0]","survey-likert","30","174645","0.0-30.0","ggydg62k","","","","","","","",""
"","","","call-function","31","174646","0.0-31.0","ggydg62k","","","","","","","",""
"null","","","html-keyboard-response","32","176150","0.0-32.0","ggydg62k","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","179268","0.0-33.0","ggydg62k","","","null","","Agent A","veridical","STIM_SET_1/713749.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","180773","0.0-34.0","ggydg62k","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","183890","0.0-35.0","ggydg62k","","","null","","Agent B","scrambled","STIM_SET_1/713749.bmp_pp88_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","36","183890","0.0-36.0","ggydg62k","","","","","","","",""
"1833.0849999999919","{""judgement"":0}","[0]","survey-likert","37","185724","0.0-37.0","ggydg62k","","","","","","","","0"
"2009.8099999999977","{""confidence"":3}","[0]","survey-likert","38","187735","0.0-38.0","ggydg62k","","","","","","","",""
"","","","call-function","39","187735","0.0-39.0","ggydg62k","","","","","","","",""
"null","","","html-keyboard-response","40","189240","0.0-40.0","ggydg62k","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
