"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"22249.695000000003","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","22257","0.0-0.0","guk1mo2t","","","","","","","",""
"15600.674999999996","","","instructions","1","37859","0.0-1.0","guk1mo2t","[{""page_index"":0,""viewing_time"":15600.529999999999}]","","","","","","",""
"27863.754999999997","{""Age"":4,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","65725","0.0-2.0","guk1mo2t","","","","","","","",""
"9877.240000000005","","","instructions","3","75603","0.0-3.0","guk1mo2t","[{""page_index"":0,""viewing_time"":4063.915000000008},{""page_index"":1,""viewing_time"":1269.2400000000052},{""page_index"":2,""viewing_time"":4543.9649999999965}]","","","","","","",""
"1812.2250000000058","","","instructions","4","77416","0.0-4.0","guk1mo2t","[{""page_index"":0,""viewing_time"":1812.1150000000052}]","","","","","","",""
"null","","","video-keyboard-response","5","80492","0.0-5.0","guk1mo2t","","","null","","","","",""
"8743.195000000007","","","instructions","6","89236","0.0-6.0","guk1mo2t","[{""page_index"":0,""viewing_time"":1365.0149999999994},{""page_index"":1,""viewing_time"":2087.37000000001},{""page_index"":2,""viewing_time"":5290.684999999998}]","","","","","","",""
"2760.6199999999953","","","instructions","7","91997","0.0-7.0","guk1mo2t","[{""page_index"":0,""viewing_time"":2760.5199999999895}]","","","","","","",""
"1234.645000000004","","","instructions","8","93232","0.0-8.0","guk1mo2t","[{""page_index"":0,""viewing_time"":1234.429999999993}]","","","","","","",""
"null","","","video-keyboard-response","9","96316","0.0-9.0","guk1mo2t","","","null","","","","",""
"10083.820000000007","","","instructions","10","106401","0.0-10.0","guk1mo2t","[{""page_index"":0,""viewing_time"":1710.675000000003},{""page_index"":1,""viewing_time"":2966.824999999997},{""page_index"":2,""viewing_time"":5405.684999999998}]","","","","","","",""
"3729.9900000000052","","","instructions","11","110132","0.0-11.0","guk1mo2t","[{""page_index"":0,""viewing_time"":3729.8800000000047}]","","","","","","",""
"","","","call-function","12","110133","0.0-12.0","guk1mo2t","","","","","","","",""
"null","","","html-keyboard-response","13","111637","0.0-13.0","guk1mo2t","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","114387","0.0-14.0","guk1mo2t","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1159819.bmp_pp151_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
