"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"64078.04","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","64087","0.0-0.0","gzw0vx7n","","","","","","","",""
"36122.48499999999","","","instructions","1","100211","0.0-1.0","gzw0vx7n","[{""page_index"":0,""viewing_time"":36122.32}]","","","","","","",""
"18656.770000000004","","","instructions","2","118869","0.0-2.0","gzw0vx7n","[{""page_index"":0,""viewing_time"":11754.61},{""page_index"":1,""viewing_time"":871.9850000000006},{""page_index"":2,""viewing_time"":6029.985000000001}]","","","","","","",""
"3043.7899999999936","","","instructions","3","121913","0.0-3.0","gzw0vx7n","[{""page_index"":0,""viewing_time"":3043.679999999993}]","","","","","","",""
"null","","","video-keyboard-response","4","124984","0.0-4.0","gzw0vx7n","","","null","","","","",""
"14175.14","","","instructions","5","139160","0.0-5.0","gzw0vx7n","[{""page_index"":0,""viewing_time"":4474.774999999994},{""page_index"":1,""viewing_time"":3576.159999999989},{""page_index"":2,""viewing_time"":6124.100000000006}]","","","","","","",""
"4459.279999999999","","","instructions","6","143620","0.0-6.0","gzw0vx7n","[{""page_index"":0,""viewing_time"":4459.174999999988}]","","","","","","",""
"1039.7050000000163","","","instructions","7","144660","0.0-7.0","gzw0vx7n","[{""page_index"":0,""viewing_time"":1039.4850000000151}]","","","","","","",""
"null","","","video-keyboard-response","8","147736","0.0-8.0","gzw0vx7n","","","null","","","","",""
"12827.459999999992","","","instructions","9","160564","0.0-9.0","gzw0vx7n","[{""page_index"":0,""viewing_time"":1064.414999999979},{""page_index"":1,""viewing_time"":6594.880000000005},{""page_index"":2,""viewing_time"":5168.029999999999}]","","","","","","",""
"8509.525000000023","","","instructions","10","169074","0.0-10.0","gzw0vx7n","[{""page_index"":0,""viewing_time"":8509.410000000003}]","","","","","","",""
"","","","call-function","11","169075","0.0-11.0","gzw0vx7n","","","","","","","",""
"null","","","html-keyboard-response","12","170577","0.0-12.0","gzw0vx7n","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","173651","0.0-13.0","gzw0vx7n","","","null","","Agent A","veridical","STIM_SET_2/1159427.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","175158","0.0-14.0","gzw0vx7n","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","178227","0.0-15.0","gzw0vx7n","","","null","","Agent B","scrambled","STIM_SET_2/1159427.bmp_pp98_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
