"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"14730.539999999999","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","14737","0.0-0.0","h4aexfks","","","","","","","",""
"25306.059999999998","","","instructions","1","40045","0.0-1.0","h4aexfks","[{""page_index"":0,""viewing_time"":25305.515}]","","","","","","",""
"7403.264999999999","","","instructions","2","47449","0.0-2.0","h4aexfks","[{""page_index"":0,""viewing_time"":1214.875},{""page_index"":1,""viewing_time"":3791.050000000003},{""page_index"":2,""viewing_time"":2397.095000000001}]","","","","","","",""
"1504.7350000000006","","","instructions","3","48955","0.0-3.0","h4aexfks","[{""page_index"":0,""viewing_time"":1504.6299999999974}]","","","","","","",""
"null","","","video-keyboard-response","4","52028","0.0-4.0","h4aexfks","","","null","","","","",""
"12378.309999999998","","","instructions","5","64407","0.0-5.0","h4aexfks","[{""page_index"":0,""viewing_time"":2737.215000000004},{""page_index"":1,""viewing_time"":1786.0199999999968},{""page_index"":2,""viewing_time"":861.9800000000032},{""page_index"":3,""viewing_time"":3750.0399999999936},{""page_index"":4,""viewing_time"":3242.9300000000003}]","","","","","","",""
"3225.8499999999913","","","instructions","6","67633","0.0-6.0","h4aexfks","[{""page_index"":0,""viewing_time"":3225.7249999999913}]","","","","","","",""
"","","","call-function","7","67634","0.0-7.0","h4aexfks","","","","","","","",""
"null","","","html-keyboard-response","8","69136","0.0-8.0","h4aexfks","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","72212","0.0-9.0","h4aexfks","","","null","","Agent A","veridical","STIM_SET_1/1591961.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","73715","0.0-10.0","h4aexfks","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","76788","0.0-11.0","h4aexfks","","","null","","Agent B","scrambled","STIM_SET_1/1591961.bmp_pp67_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","12","76789","0.0-12.0","h4aexfks","","","","","","","",""
"2436.7850000000035","{""judgement"":0}","[0]","survey-likert","13","79226","0.0-13.0","h4aexfks","","","","","","","","0"
"2818.8350000000064","{""confidence"":2}","[0]","survey-likert","14","82046","0.0-14.0","h4aexfks","","","","","","","",""
"","","","call-function","15","82047","0.0-15.0","h4aexfks","","","","","","","",""
"null","","","html-keyboard-response","16","83549","0.0-16.0","h4aexfks","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","86626","0.0-17.0","h4aexfks","","","null","","Agent A","scrambled","STIM_SET_1/498155.bmp_pp61_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","88131","0.0-18.0","h4aexfks","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","91255","0.0-19.0","h4aexfks","","","null","","Agent B","veridical","STIM_SET_1/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","20","91255","0.0-20.0","h4aexfks","","","","","","","",""
"2661.814999999988","{""judgement"":0}","[0]","survey-likert","21","93919","0.0-21.0","h4aexfks","","","","","","","","1"
"2306.029999999999","{""confidence"":1}","[0]","survey-likert","22","96226","0.0-22.0","h4aexfks","","","","","","","",""
"","","","call-function","23","96227","0.0-23.0","h4aexfks","","","","","","","",""
"null","","","html-keyboard-response","24","97733","0.0-24.0","h4aexfks","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","100850","0.0-25.0","h4aexfks","","","null","","Agent A","scrambled","STIM_SET_1/713620.bmp_pp65_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","102352","0.0-26.0","h4aexfks","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","105470","0.0-27.0","h4aexfks","","","null","","Agent B","veridical","STIM_SET_1/713620.bmp_pp65_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","28","105470","0.0-28.0","h4aexfks","","","","","","","",""
"2111.4349999999977","{""judgement"":1}","[0]","survey-likert","29","107582","0.0-29.0","h4aexfks","","","","","","","","1"
"1226.99500000001","{""confidence"":2}","[0]","survey-likert","30","108810","0.0-30.0","h4aexfks","","","","","","","",""
