"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"8223.535","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","8232","0.0-0.0","hflxzz25","","","","","","","",""
"15285.96","","","instructions","1","23519","0.0-1.0","hflxzz25","[{""page_index"":0,""viewing_time"":15285.36}]","","","","","","",""
"5958.040000000001","","","instructions","2","29479","0.0-2.0","hflxzz25","[{""page_index"":0,""viewing_time"":2244.7700000000004},{""page_index"":1,""viewing_time"":984.0099999999984},{""page_index"":2,""viewing_time"":2729.135000000002}]","","","","","","",""
"2848.9500000000007","","","instructions","3","32328","0.0-3.0","hflxzz25","[{""page_index"":0,""viewing_time"":2848.845000000001}]","","","","","","",""
"null","","","video-keyboard-response","4","35402","0.0-4.0","hflxzz25","","","null","","","","",""
"5318.369999999995","","","instructions","5","40720","0.0-5.0","hflxzz25","[{""page_index"":0,""viewing_time"":1597.3299999999945},{""page_index"":1,""viewing_time"":1197.895000000004},{""page_index"":2,""viewing_time"":2523.034999999996}]","","","","","","",""
"1869.7850000000035","","","instructions","6","42591","0.0-6.0","hflxzz25","[{""page_index"":0,""viewing_time"":1869.6800000000003}]","","","","","","",""
"1237.449999999997","","","instructions","7","43829","0.0-7.0","hflxzz25","[{""page_index"":0,""viewing_time"":1237.229999999996}]","","","","","","",""
"null","","","video-keyboard-response","8","46900","0.0-8.0","hflxzz25","","","null","","","","",""
"3745.864999999998","","","instructions","9","50647","0.0-9.0","hflxzz25","[{""page_index"":0,""viewing_time"":1086.7750000000015},{""page_index"":1,""viewing_time"":1300.8600000000006},{""page_index"":2,""viewing_time"":1358.0950000000012}]","","","","","","",""
"2679.5499999999956","","","instructions","10","53326","0.0-10.0","hflxzz25","[{""page_index"":0,""viewing_time"":2679.4300000000003}]","","","","","","",""
"","","","call-function","11","53327","0.0-11.0","hflxzz25","","","","","","","",""
"null","","","html-keyboard-response","12","54830","0.0-12.0","hflxzz25","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","57898","0.0-13.0","hflxzz25","","","null","","Agent A","scrambled","STIM_SET_2/1592314.bmp_pp100_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","59400","0.0-14.0","hflxzz25","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","62468","0.0-15.0","hflxzz25","","","null","","Agent B","veridical","STIM_SET_2/1592314.bmp_pp100_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","62468","0.0-16.0","hflxzz25","","","","","","","",""
"2008.7250000000058","{""judgement"":0}","[0]","survey-likert","17","64478","0.0-17.0","hflxzz25","","","","","","","","1"
"1349.739999999998","{""confidence"":0}","[0]","survey-likert","18","65829","0.0-18.0","hflxzz25","","","","","","","",""
"","","","call-function","19","65829","0.0-19.0","hflxzz25","","","","","","","",""
"null","","","html-keyboard-response","20","67333","0.0-20.0","hflxzz25","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","70440","0.0-21.0","hflxzz25","","","null","","Agent A","scrambled","STIM_SET_2/1159956.bmp_pp59_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","71942","0.0-22.0","hflxzz25","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","75040","0.0-23.0","hflxzz25","","","null","","Agent B","veridical","STIM_SET_2/1159956.bmp_pp59_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","24","75040","0.0-24.0","hflxzz25","","","","","","","",""
"1785.824999999997","{""judgement"":0}","[0]","survey-likert","25","76827","0.0-25.0","hflxzz25","","","","","","","","1"
"1913.729999999996","{""confidence"":0}","[0]","survey-likert","26","78742","0.0-26.0","hflxzz25","","","","","","","",""
