"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"181511.355","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","181519","0.0-0.0","hmnw51ko","","","","","","","",""
"37390.80000000002","","","instructions","1","218912","0.0-1.0","hmnw51ko","[{""page_index"":0,""viewing_time"":37390.655}]","","","","","","",""
"16003.5","","","instructions","2","234916","0.0-2.0","hmnw51ko","[{""page_index"":0,""viewing_time"":8484.589999999997},{""page_index"":1,""viewing_time"":1482.0450000000128},{""page_index"":2,""viewing_time"":6036.744999999995}]","","","","","","",""
"3106.390000000014","","","instructions","3","238024","0.0-3.0","hmnw51ko","[{""page_index"":0,""viewing_time"":3106.2850000000035}]","","","","","","",""
"null","","","video-keyboard-response","4","241100","0.0-4.0","hmnw51ko","","","null","","","","",""
"10381.744999999995","","","instructions","5","251483","0.0-5.0","hmnw51ko","[{""page_index"":0,""viewing_time"":3772.6199999999953},{""page_index"":1,""viewing_time"":3618.9100000000035},{""page_index"":2,""viewing_time"":2990.110000000015}]","","","","","","",""
"4047.100000000006","","","instructions","6","255531","0.0-6.0","hmnw51ko","[{""page_index"":0,""viewing_time"":4046.9949999999953}]","","","","","","",""
"1348.3450000000012","","","instructions","7","256880","0.0-7.0","hmnw51ko","[{""page_index"":0,""viewing_time"":1348.1300000000047}]","","","","","","",""
"null","","","video-keyboard-response","8","259954","0.0-8.0","hmnw51ko","","","null","","","","",""
"17930.744999999995","","","instructions","9","277886","0.0-9.0","hmnw51ko","[{""page_index"":0,""viewing_time"":1797.4649999999965},{""page_index"":1,""viewing_time"":4251.954999999987},{""page_index"":2,""viewing_time"":11881.190000000002}]","","","","","","",""
"4914.075000000012","","","instructions","10","282801","0.0-10.0","hmnw51ko","[{""page_index"":0,""viewing_time"":4913.965000000026}]","","","","","","",""
"","","","call-function","11","282802","0.0-11.0","hmnw51ko","","","","","","","",""
"null","","","html-keyboard-response","12","284306","0.0-12.0","hmnw51ko","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","287370","0.0-13.0","hmnw51ko","","","null","","Agent A","scrambled","STIM_SET_5/1592857.bmp_pp52_L1_V1_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","14","288875","0.0-14.0","hmnw51ko","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","291937","0.0-15.0","hmnw51ko","","","null","","Agent B","veridical","STIM_SET_2_144/1592857.bmp_pp52_L1_V1_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","291938","0.0-16.0","hmnw51ko","","","","","","","",""
"4630.390000000014","{""judgement"":1}","[0]","survey-likert","17","296569","0.0-17.0","hmnw51ko","","","","","","","","1"
"6585.109999999986","{""confidence"":1}","[0]","survey-likert","18","303156","0.0-18.0","hmnw51ko","","","","","","","",""
"","","","call-function","19","303158","0.0-19.0","hmnw51ko","","","","","","","",""
"null","","","html-keyboard-response","20","304661","0.0-20.0","hmnw51ko","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
