"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"27036.855000000003","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","27044","0.0-0.0","j058zhu1","","","","","","","",""
"1176414.26","","","instructions","1","1203463","0.0-1.0","j058zhu1","[{""page_index"":0,""viewing_time"":1176413.705}]","","","","","","",""
"45838.070000000065","","","instructions","2","1249303","0.0-2.0","j058zhu1","[{""page_index"":0,""viewing_time"":11221.679999999935},{""page_index"":1,""viewing_time"":21308.03500000015},{""page_index"":0,""viewing_time"":1506.9749999998603},{""page_index"":1,""viewing_time"":4253.594999999972},{""page_index"":2,""viewing_time"":7547.655000000028}]","","","","","","",""
"4782.429999999935","","","instructions","3","1254086","0.0-3.0","j058zhu1","[{""page_index"":0,""viewing_time"":4782.329999999842}]","","","","","","",""
"null","","","video-keyboard-response","4","1257162","0.0-4.0","j058zhu1","","","null","","","","",""
"29285.165000000037","","","instructions","5","1286448","0.0-5.0","j058zhu1","[{""page_index"":0,""viewing_time"":3464.274999999907},{""page_index"":1,""viewing_time"":9227.660000000149},{""page_index"":2,""viewing_time"":1952.9799999999814},{""page_index"":3,""viewing_time"":6938.034999999916},{""page_index"":4,""viewing_time"":7702.074999999953}]","","","","","","",""
"5754.550000000047","","","instructions","6","1292203","0.0-6.0","j058zhu1","[{""page_index"":0,""viewing_time"":5754.435000000056}]","","","","","","",""
"","","","call-function","7","1292203","0.0-7.0","j058zhu1","","","","","","","",""
"null","","","html-keyboard-response","8","1293709","0.0-8.0","j058zhu1","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","1296781","0.0-9.0","j058zhu1","","","null","","Agent A","veridical","STIM_SET_1_REAL/713513.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","1298284","0.0-10.0","j058zhu1","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","1301350","0.0-11.0","j058zhu1","","","null","","Agent B","scrambled","STIM_SET_3/1592047.bmp_pp51_L1_V2_veridical_freeview_isoFalsemismatch_713513.bmp_L2_fps90.mp4",""
"","","","call-function","12","1301351","0.0-12.0","j058zhu1","","","","","","","",""
